signal_time,entry_time,trade_date,year,month,day_of_week,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20,atr_14,atr_50,dist_vwap,dist_vwap_day,dist_ema_20,dist_ema_50,dist_dol,dist_pdh,dist_pdl,dist_or_high_30m,dist_or_low_30m,or_range_30m,premarket_range,prior_day_range,liquidity_sweep_reclaim_count_last_30m,has_high_impact_usd_event,has_cpi,has_fomc,has_nfp,has_ppi,has_pmi_ism,has_jobs,has_fed_speech
2025-08-13T08:31:00.000000,2025-08-13T08:32:00.000000,2025-08-13,2025,2025-08,3,8,32,short,23962.94,23970.5,23947.81,7.56,15.12,2.0,target,1,1,16.94,-0.81,0.0449438202247191,0.7415730337078652,1.6435826408125578,1.183427659265709,13.660714285714286,14.71,-58.345404341558606,-58.345404341558606,-30.14404701965759,-50.34570518383771,17.25,-6.25,351.25,-26.0,14.75,40.75,121.5,221.0,3,false,false,false,false,false,false,false,false
2025-08-14T10:14:00.000000,2025-08-14T10:15:00.000000,2025-08-14,2025,2025-08,4,10,15,short,23879.75,23886.75,23865.75,7.0,14.0,2.0,target,1,1,15.0,-2.25,0.1125,0.7,1.7278617710583155,1.109744699690098,12.303571428571429,12.985,-45.4737406263157,-45.4737406263157,-32.04446343619202,-41.5663686219923,-81.75,-201.5,-19.0,-140.75,-73.5,67.25,143.75,87.25,2,false,false,false,false,false,false,false,false
2025-09-03T10:40:00.000000,2025-09-03T10:41:00.000000,2025-09-03,2025,2025-09,3,10,41,short,23415.56,23424.0,23398.69,8.44,16.88,2.0,target,1,1,17.81,-0.44,0.04854368932038835,0.9514563106796117,2.3303167420814477,5.126650790214333,9.464285714285714,10.895,-25.817315708249225,-25.817315708249225,-30.976090621508774,-34.29874412771096,56.0,-87.0,372.25,-127.75,-34.75,93.0,102.25,359.0,1,false,false,false,false,false,false,false,false
2025-11-04T10:40:00.000000,2025-11-04T10:41:00.000000,2025-11-04,2025,2025-11,2,10,41,short,25780.38,25790.25,25760.62,9.88,19.75,2.0,target,1,1,24.62,-1.12,0.05555555555555555,0.8492063492063492,1.992094861660079,1.311795874273368,16.0,17.045,-38.87731181982599,-38.87731181982599,-13.147674471114442,-24.56383940051819,-346.0,-507.5,-254.25,-122.25,95.5,217.75,82.0,250.5,1,false,false,false,false,false,false,false,false
2025-12-04T08:34:00.000000,2025-12-04T08:35:00.000000,2025-12-04,2025,2025-12,4,8,35,short,25604.44,25621.25,25570.81,16.81,33.62,2.0,target,1,1,53.69,-9.81,0.10970464135021098,0.8818565400843882,3.4649122807017543,4.388793350530238,20.535714285714285,12.49,-85.4535655949112,-85.4535655949112,-104.38500498604117,-106.7324048954033,-83.75,-118.75,145.0,-146.5,26.25,172.75,114.25,255.25,4,false,false,false,false,false,false,false,false
2026-01-02T08:35:00.000000,2026-01-02T08:36:00.000000,2026-01-02,2026,2026-01,5,8,36,short,25676.19,25686.0,25656.56,9.81,-9.81,-1.0,stop_same_bar,1,1,25.44,-22.31,0.088,0.736,1.846381093057607,1.717796151765706,21.607142857142858,11.045,-9.25556650508588,-9.25556650508588,-24.841565768732835,-29.315344141425157,177.0,-61.25,226.5,-148.25,17.25,165.5,46.75,247.5,3,false,false,false,false,false,false,false,false
2026-02-10T10:09:00.000000,2026-02-10T10:10:00.000000,2026-02-10,2026,2026-02,2,10,10,short,25374.12,25384.0,25354.38,9.88,19.75,2.0,target,1,1,23.12,-4.38,0.007936507936507936,0.9682539682539683,1.721311475409836,1.4190364013685568,19.017857142857142,18.42,-10.39686689482187,-10.39686689482187,-29.05453323628899,-36.51722861812232,-12.25,-78.0,395.25,-59.25,95.0,154.25,105.75,473.25,4,false,false,false,false,false,false,false,false
2026-02-18T08:34:00.000000,2026-02-18T08:35:00.000000,2026-02-18,2026,2026-02,3,8,35,short,24799.31,24812.5,24772.94,13.19,26.38,2.0,target,1,1,43.56,-6.94,0.0446927374301676,0.7988826815642458,2.1034077555816686,1.6544065638704202,25.892857142857142,14.385,-71.41989205759091,-71.41989205759091,-45.683536079795886,-62.57887559949813,-6.0,-122.0,318.5,-190.75,15.75,206.5,113.25,440.5,2,false,false,false,false,false,false,false,false
2026-03-16T08:47:00.000000,2026-03-16T08:48:00.000000,2026-03-16,2026,2026-03,1,8,48,short,24658.12,24669.5,24635.38,11.38,22.75,2.0,target,1,1,25.62,-4.12,0.06666666666666667,0.84,1.6939582156973463,1.1218889597957882,109.26785714285714,92.415,-132.07659334763957,-132.07659334763957,-147.03213955740648,-192.41444347296783,163.75,-39.5,354.5,-303.5,21.75,325.25,330.75,394.5,3,false,false,false,false,false,false,false,false
2026-03-18T10:35:00.000000,2026-03-18T10:36:00.000000,2026-03-18,2026,2026-03,3,10,36,short,24848.75,24856.75,24832.75,8.0,16.0,2.0,target,1,1,16.75,-1.0,0.03125,0.8958333333333334,1.855072463768116,2.2199798183652875,13.553571428571429,14.235,-131.14005838797675,-131.14005838797675,-49.79069652898761,-56.30223674209992,-175.25,-285.5,251.5,-51.75,14.0,65.75,186.5,145.75,1,false,false,false,false,false,false,false,false
