candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,max_sl,stop_was_capped,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,largest_open_adverse_points,result
29,true,"",2026-01-20T08:00:00.000000,2026-01-20T14:30:00.000000,bear,NQH6,25288.25,25323.75,25306.0,35.5,25288.25,25323.75,35.5,35.5,100,false,2026-01-20T14:31:00.000000,25288.25,true,false,false,true,false,25.0,50.0,-16.0,tp1_partial_or_be
30,true,"",2026-01-20T20:00:00.000000,2026-01-20T23:02:00.000000,bear,NQH6,25175.25,25181.0,25178.125,5.75,25175.25,25181.0,5.75,5.75,100,false,2026-01-21T00:38:00.000000,25175.25,true,true,false,true,false,75.0,150.0,-1.75,tp2_partial_or_eod
31,true,"",2026-01-21T04:00:00.000000,2026-01-21T04:15:00.000000,bull,NQH6,25175.25,25183.0,25179.125,7.75,25183.0,25175.25,7.75,7.75,100,false,2026-01-21T09:24:00.000000,25183.0,true,true,false,true,false,75.0,150.0,-0.5,tp2_partial_or_eod
27,true,"",2026-01-19T00:00:00.000000,2026-01-21T15:46:00.000000,bear,NQH6,25470.0,25671.0,25570.5,201.0,25470.0,25570.0,201.0,100.0,100,true,2026-01-21T16:28:00.000000,25470.0,true,false,false,true,false,25.0,50.0,-24.25,tp1_partial_or_be
32,true,"",2026-01-23T04:00:00.000000,2026-01-23T07:46:00.000000,bull,NQH6,25676.5,25682.25,25679.375,5.75,25682.25,25676.5,5.75,5.75,100,false,2026-01-23T08:01:00.000000,25676.5,false,false,false,true,false,-17.25,-34.5,-8.25,stop
33,true,"",2026-01-25T20:00:00.000000,2026-01-25T23:00:00.000000,bear,NQH6,25585.5,25683.0,25634.25,97.5,25585.5,25683.0,97.5,97.5,100,false,2026-01-25T23:03:00.000000,25510.5,true,true,true,false,false,150.0,300.0,0.0,tp3
34,true,"",2026-01-26T00:00:00.000000,2026-01-26T01:53:00.000000,bear,NQH6,25668.75,25672.25,25670.5,3.5,25668.75,25672.25,3.5,3.5,100,false,2026-01-26T05:34:00.000000,25668.75,true,true,false,true,false,75.0,150.0,-7.25,tp2_partial_or_eod
36,true,"",2026-01-26T16:00:00.000000,2026-01-26T16:21:00.000000,bull,NQH6,25742.0,25850.75,25796.375,108.75,25850.75,25750.75,108.75,100.0,100,true,2026-01-26T16:32:00.000000,25925.75,true,true,true,false,false,150.0,300.0,0.0,tp3
37,true,"",2026-01-27T04:00:00.000000,2026-01-27T04:04:00.000000,bull,NQH6,25897.0,25971.5,25934.25,74.5,25971.5,25897.0,74.5,74.5,100,false,2026-01-27T08:36:00.000000,25971.5,true,true,false,true,false,75.0,150.0,-2.5,tp2_partial_or_eod
40,true,"",2026-01-28T08:00:00.000000,2026-01-28T09:32:00.000000,bull,NQH6,26228.25,26252.5,26240.375,24.25,26252.5,26228.25,24.25,24.25,100,false,2026-01-28T14:08:00.000000,26252.5,true,true,false,true,false,75.0,150.0,-0.75,tp2_partial_or_eod
39,true,"",2026-01-28T04:00:00.000000,2026-01-28T15:34:00.000000,bull,NQH6,26148.0,26200.5,26174.25,52.5,26200.5,26148.0,52.5,52.5,100,false,2026-01-28T15:41:00.000000,26200.5,true,false,false,true,false,25.0,50.0,-10.25,tp1_partial_or_be
38,true,"",2026-01-28T00:00:00.000000,2026-01-28T16:42:00.000000,bull,NQH6,26106.75,26135.5,26121.125,28.75,26135.5,26106.75,28.75,28.75,100,false,2026-01-28T16:53:00.000000,26106.75,false,false,false,true,false,-86.25,-172.5,-32.0,stop
41,true,"",2026-01-28T16:00:00.000000,2026-01-28T19:52:00.000000,bear,NQH6,26210.25,26252.5,26231.375,42.25,26210.25,26252.5,42.25,42.25,100,false,2026-01-28T20:11:00.000000,26210.25,true,true,false,true,false,75.0,150.0,-2.0,tp2_partial_or_eod
42,true,"",2026-01-29T16:00:00.000000,2026-01-29T19:18:00.000000,bear,NQH6,25898.5,26175.25,26036.875,276.75,25898.5,25998.5,276.75,100.0,100,true,2026-01-29T20:30:00.000000,25851.75,true,true,false,false,true,121.75,243.5,0.0,tp2_partial_or_eod
43,true,"",2026-01-30T20:00:00.000000,2026-01-30T20:50:00.000000,bear,NQH6,25731.75,25752.5,25742.125,20.75,25731.75,25752.5,20.75,20.75,100,false,2026-01-30T20:53:00.000000,25656.75,true,true,true,false,false,150.0,300.0,0.0,tp3
45,true,"",2026-02-02T16:00:00.000000,2026-02-02T16:06:00.000000,bull,NQH6,25491.25,25803.0,25647.125,311.75,25803.0,25703.0,311.75,100.0,100,true,2026-02-02T16:18:00.000000,25878.0,true,true,true,false,false,150.0,300.0,0.0,tp3
44,true,"",2026-02-02T12:00:00.000000,2026-02-03T17:12:00.000000,bull,NQH6,25376.0,25450.0,25413.0,74.0,25450.0,25376.0,74.0,74.0,100,false,2026-02-03T17:36:00.000000,25376.0,false,false,false,true,false,-222.0,-444.0,-88.0,stop
47,true,"",2026-02-04T16:00:00.000000,2026-02-04T21:34:00.000000,bear,NQH6,25171.5,25354.5,25263.0,183.0,25171.5,25271.5,183.0,100.0,100,true,2026-02-04T21:38:00.000000,25171.5,true,false,false,true,false,25.0,50.0,-9.75,tp1_partial_or_be
48,true,"",2026-02-05T16:00:00.000000,2026-02-05T17:47:00.000000,bear,NQH6,24887.5,24978.75,24933.125,91.25,24887.5,24978.75,91.25,91.25,100,false,2026-02-05T17:50:00.000000,24812.5,true,true,true,false,false,150.0,300.0,0.0,tp3
49,true,"",2026-02-06T12:00:00.000000,2026-02-06T14:32:00.000000,bull,NQH6,24613.75,24700.75,24657.25,87.0,24700.75,24613.75,87.0,87.0,100,false,2026-02-06T14:35:00.000000,24775.75,true,true,true,false,false,150.0,300.0,0.0,tp3
52,true,"",2026-02-08T20:00:00.000000,2026-02-08T23:00:00.000000,bull,NQH6,25124.0,25153.75,25138.875,29.75,25153.75,25124.0,29.75,29.75,100,false,2026-02-08T23:03:00.000000,25228.75,true,true,true,false,false,150.0,300.0,0.0,tp3
51,true,"",2026-02-06T20:00:00.000000,2026-02-09T10:06:00.000000,bull,NQH6,24984.0,25052.75,25018.375,68.75,25052.75,24984.0,68.75,68.75,100,false,2026-02-09T10:16:00.000000,25052.75,true,false,false,true,false,25.0,50.0,-9.0,tp1_partial_or_be
53,true,"",2026-02-09T16:00:00.000000,2026-02-09T16:06:00.000000,bull,NQH6,25215.25,25305.75,25260.5,90.5,25305.75,25215.25,90.5,90.5,100,false,2026-02-09T16:45:00.000000,25380.75,true,true,true,false,false,150.0,300.0,0.0,tp3
54,true,"",2026-02-12T08:00:00.000000,2026-02-12T08:40:00.000000,bull,NQH6,25320.75,25324.75,25322.75,4.0,25324.75,25320.75,4.0,4.0,100,false,2026-02-12T13:15:00.000000,25324.75,true,true,false,true,false,75.0,150.0,-3.0,tp2_partial_or_eod
55,true,"",2026-02-12T16:00:00.000000,2026-02-12T16:03:00.000000,bear,NQH6,25031.75,25324.75,25178.25,293.0,25031.75,25131.75,293.0,100.0,100,true,2026-02-12T16:07:00.000000,24956.75,true,true,true,false,false,150.0,300.0,0.0,tp3
50,true,"",2026-02-06T16:00:00.000000,2026-02-12T16:20:00.000000,bull,NQH6,24873.25,24880.5,24876.875,7.25,24880.5,24873.25,7.25,7.25,100,false,2026-02-12T16:21:00.000000,24873.25,false,false,false,true,false,-21.75,-43.5,-10.25,stop
56,true,"",2026-02-12T20:00:00.000000,2026-02-13T15:33:00.000000,bear,NQH6,24912.75,25006.5,24959.625,93.75,24912.75,25006.5,93.75,93.75,100,false,2026-02-13T15:40:00.000000,24837.75,true,true,true,false,false,150.0,300.0,-14.5,tp3
57,true,"",2026-02-16T16:00:00.000000,2026-02-16T17:51:00.000000,bear,NQH6,24770.75,24841.0,24805.875,70.25,24770.75,24841.0,70.25,70.25,100,false,2026-02-16T17:59:00.000000,24747.25,true,false,false,false,true,72.0,144.0,0.0,tp1_partial_or_be
