setup_family,direction,trade_date,year,month,hour_ct,minute_ct,signal_ts,entry_ts,vwap_aligned,directional_v_reversal,directional_displacement,has_liq_sweep,body_lt_60,rel_vol_ge_1_25,risk_le_20,body_pct,rel_vol_20,dist_vwap,atr_14,entry,stop,risk_points,mfe_points,mae_points,tp1_hit,tp2_hit,tp3_hit,scaleout_r,fixed_1R,fixed_1_5R,fixed_2R,ifvg_score,ifvg_grade,combo
ifvg_strict,long,2018-01-26,2018,1,8,38,2018-01-26T08:34:00.000000,2018-01-26T08:38:00.000000,true,true,false,true,true,true,true,0.2857142857142857,2.180307718391048,0.13502218876874394,4.571428571428571,6955.875,6949.0,6.875,9.875,-3.375,true,false,false,0.333,1.0,-1.0,-1.0,10,A+,VWAP|VREV|LIQ|BODY_LT60|RVOL|RISK20|
ifvg_strict,long,2018-01-26,2018,1,10,43,2018-01-26T10:42:00.000000,2018-01-26T10:43:00.000000,true,true,false,false,true,true,true,0.5,1.6648879402347918,13.973082298401096,2.482142857142857,6979.25,6974.0,5.25,3.5,-6.0,false,false,false,-1.0,-1.0,-1.0,-1.0,9,A+,VWAP|VREV|BODY_LT60|RVOL|RISK20|
ifvg_strict,short,2018-01-29,2018,1,8,31,2018-01-29T08:30:00.000000,2018-01-29T08:31:00.000000,true,true,false,false,true,true,true,0.42857142857142855,4.483616756532559,-10.269215883263314,2.732142857142857,7010.625,7015.5,4.875,10.625,0.0,true,true,true,1.5,1.0,1.5,2.0,9,A+,VWAP|VREV|BODY_LT60|RVOL|RISK20|
ifvg_strict,short,2018-01-29,2018,1,10,42,2018-01-29T10:41:00.000000,2018-01-29T10:42:00.000000,true,true,false,true,true,false,true,0.45454545454545453,0.8249099570117346,-4.262591772369888,3.517857142857143,7000.625,7007.0,6.375,0.125,-7.625,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,short,2018-01-30,2018,1,8,13,2018-01-30T08:10:00.000000,2018-01-30T08:13:00.000000,true,true,false,true,true,false,true,0.16666666666666666,0.9722445050537463,-21.625698789382113,2.8392857142857144,6939.5,6945.0,5.5,11.5,-0.75,true,true,true,1.5,1.0,1.5,2.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,long,2018-01-30,2018,1,10,11,2018-01-30T10:09:00.000000,2018-01-30T10:11:00.000000,true,true,false,true,false,true,true,0.7931034482758621,1.2578282911958647,21.80984528022691,5.982142857142857,6962.125,6951.5,10.625,6.125,-11.125,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|RVOL|RISK20|
ifvg_strict,short,2018-02-01,2018,2,8,10,2018-02-01T08:09:00.000000,2018-02-01T08:10:00.000000,true,true,true,false,true,true,true,0.4857142857142857,2.7342111884592804,-38.019506171177454,4.392857142857143,6907.75,6915.25,7.5,9.75,-3.75,true,false,false,0.333,1.0,-1.0,-1.0,9,A+,VWAP|VREV|DISP|BODY_LT60|RVOL|RISK20|
ifvg_strict,long,2018-02-01,2018,2,10,14,2018-02-01T10:13:00.000000,2018-02-01T10:14:00.000000,true,true,false,true,true,false,true,0.2727272727272727,0.4210840674929073,11.122775735054347,4.589285714285714,6955.25,6950.5,4.75,8.0,0.0,true,true,false,1.167,1.0,1.5,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,long,2018-02-06,2018,2,8,7,2018-02-06T08:06:00.000000,2018-02-06T08:07:00.000000,true,true,false,true,true,false,true,0.45454545454545453,0.6866952789699571,25.66356954006642,9.589285714285714,6438.5,6429.75,8.75,0.0,-9.0,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,long,2018-02-07,2018,2,8,30,2018-02-07T08:09:00.000000,2018-02-07T08:30:00.000000,true,true,false,true,true,true,true,0.13274336283185842,7.701108835369729,25.4981897038615,6.107142857142857,6632.625,6627.25,5.375,18.125,-5.375,false,false,false,-1.0,-1.0,-1.0,-1.0,10,A+,VWAP|VREV|LIQ|BODY_LT60|RVOL|RISK20|
