conditions,trades,winrate,profit_factor,avg_trade,net_points,max_drawdown,sharpe,expectancy_score
large_premarket & large_prior_day & large_lower_wick,58,0.2759,1.0411,0.5,28.75,330.25,0.19,0.3
low_volatility & large_premarket & small_prior_day,26,0.3077,1.0272,0.36,9.25,180.0,0.15,0.1
high_volatility & large_premarket & large_prior_day & below_vwap & large_lower_wick,27,0.2222,1.0265,0.33,9.0,205.5,0.11,0.09
low_volatility & small_prior_day,27,0.2963,0.9701,-0.4,-10.75,180.0,-0.17,-0.1
large_premarket & small_prior_day & below_vwap,28,0.2857,0.8731,-1.81,-50.75,200.0,-0.8,-0.44
high_volatility & large_prior_day & below_vwap & large_lower_wick,34,0.2353,0.8841,-1.5,-51.0,265.5,-0.57,-0.45
strong_trend & compressed & large_premarket & below_vwap,25,0.12,0.1579,-12.8,-320.0,360.0,-14.81,-0.51
bull_trend & expanded & high_volatility & large_prior_day,25,0.08,0.1726,-13.9,-347.5,347.5,-13.45,-0.6
bull_trend & high_volatility & large_premarket & large_prior_day,52,0.1154,0.9207,-1.25,-65.0,600.0,-0.25,-0.6
strong_trend & high_volatility & large_premarket & below_vwap,26,0.0769,0.2181,-10.83,-281.5,281.5,-9.81,-0.61
bull_trend & high_volatility & large_prior_day & large_lower_wick,27,0.0741,0.1636,-14.25,-384.75,384.75,-13.88,-0.63
high_volatility & large_premarket & large_prior_day & large_lower_wick,35,0.2,0.8422,-2.16,-75.75,270.25,-0.81,-0.64
bull_trend & strong_trend & large_premarket & below_vwap,32,0.125,0.1818,-11.25,-360.0,400.0,-12.68,-0.65
compressed & small_prior_day,31,0.129,0.1481,-14.84,-460.0,460.0,-17.57,-0.68
bull_trend & strong_trend & large_prior_day & large_lower_wick,25,0.12,0.2381,-12.19,-304.75,304.75,-10.73,-0.73
bull_trend & strong_trend & compressed & large_lower_wick,25,0.2,0.2632,-11.2,-280.0,280.0,-11.06,-0.74
bull_trend & strong_trend & high_volatility & large_prior_day,49,0.102,0.9003,-1.71,-83.75,500.0,-0.3,-0.75
high_volatility & large_premarket & displacement,27,0.1852,0.2381,-11.85,-320.0,320.0,-12.03,-0.76
bull_trend & large_premarket & large_prior_day & large_lower_wick,27,0.1481,0.2881,-10.55,-284.75,284.75,-9.05,-0.82
small_prior_day & large_lower_wick,28,0.0714,0.212,-14.07,-394.0,420.0,-10.68,-0.84
strong_trend & large_prior_day & large_lower_wick,29,0.1379,0.2505,-11.89,-344.75,344.75,-10.51,-0.86
bull_trend & strong_trend & high_volatility,85,0.1529,0.9271,-1.13,-96.25,615.75,-0.25,-0.89
bull_trend & expanded & high_volatility,30,0.1667,0.3011,-10.25,-307.5,307.5,-8.91,-0.93
bull_trend & strong_trend & high_volatility & large_premarket & large_prior_day,29,0.1034,0.2661,-12.15,-352.25,352.25,-9.67,-0.94
strong_trend & compressed & large_lower_wick,33,0.2121,0.28,-10.91,-360.0,360.0,-10.56,-1.01
bull_trend & strong_trend & large_premarket & large_lower_wick,31,0.1935,0.3375,-9.83,-304.75,324.75,-8.19,-1.03
bull_trend & large_prior_day & large_lower_wick,37,0.1351,0.2332,-12.02,-444.75,444.75,-11.11,-1.04
strong_trend & small_prior_day,28,0.1429,0.5745,-6.99,-195.75,380.0,-3.5,-1.12
bull_trend & strong_trend & high_volatility & large_lower_wick,32,0.0938,0.2986,-11.84,-378.75,378.75,-8.11,-1.13
strong_trend & large_premarket & below_vwap,43,0.1395,0.2642,-10.27,-441.5,481.5,-9.41,-1.17
strong_trend & large_premarket & large_lower_wick,41,0.1951,0.3149,-10.36,-424.75,424.75,-8.95,-1.34
strong_trend & high_volatility & large_lower_wick,41,0.122,0.3049,-11.19,-458.75,458.75,-8.1,-1.4
bull_trend & strong_trend & high_volatility & large_premarket,49,0.1224,0.2537,-11.27,-552.25,552.25,-9.91,-1.4
small_prior_day & below_vwap,39,0.2051,0.5821,-6.43,-250.75,330.75,-3.22,-1.46
high_volatility & small_prior_day,36,0.0833,0.3816,-10.99,-395.75,440.0,-6.22,-1.51
large_premarket & small_prior_day,41,0.1951,0.5457,-7.09,-290.75,410.75,-3.63,-1.59
high_volatility & large_prior_day & large_lower_wick,48,0.1875,0.6346,-5.33,-255.75,430.25,-2.26,-1.62
bull_trend & strong_trend & large_lower_wick,48,0.1667,0.3438,-10.39,-498.75,498.75,-7.56,-1.71
strong_trend & large_lower_wick,62,0.1935,0.363,-9.66,-598.75,598.75,-7.28,-2.17
small_prior_day,63,0.1746,0.5935,-6.45,-406.5,620.0,-3.16,-2.41
