tier,conditions,entry_model,target_model,mbp_overlay,trades,winrate,profit_factor,net_points,avg_trade
A+,CORE_ONLY,10pt_pullback,20pt_target,tight_spread,434,0.7327,2.765,4060.0,9.35
A+,CORE_ONLY,10pt_pullback,20pt_target,tight_spread,434,0.7327,2.765,4060.0,9.35
A+,green_bar,10pt_pullback,20pt_target,tight_spread,424,0.7264,2.655,3840.0,9.06
A+,green_bar,10pt_pullback,20pt_target,tight_spread,424,0.7264,2.655,3840.0,9.06
A+,green_bar,10pt_pullback,20pt_target,tight_spread,424,0.7264,2.655,3840.0,9.06
A+,green_bar,10pt_pullback,20pt_target,tight_spread,424,0.7264,2.655,3840.0,9.06
A+,CORE_ONLY,10pt_pullback,20pt_target,NO_MBP_FILTER,452,0.7257,2.667,4100.0,9.07
A+,CORE_ONLY,10pt_pullback,20pt_target,NO_MBP_FILTER,452,0.7257,2.667,4100.0,9.07
A+,CORE_ONLY,10pt_pullback,20pt_target,NO_MBP_FILTER,452,0.7257,2.667,4100.0,9.07
A+,CORE_ONLY,10pt_pullback,20pt_target,NO_MBP_FILTER,452,0.7257,2.667,4100.0,9.07
A+,green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,441,0.7166,2.528,3820.0,8.66
A+,green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,441,0.7166,2.528,3820.0,8.66
A+,green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,441,0.7166,2.528,3820.0,8.66
A+,green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,441,0.7166,2.528,3820.0,8.66
A+,large_premarket,10pt_pullback,20pt_target,tight_spread,254,0.7087,2.432,2120.0,8.35
A+,large_premarket,10pt_pullback,20pt_target,tight_spread,254,0.7087,2.432,2120.0,8.35
A+,large_premarket,10pt_pullback,20pt_target,tight_spread,254,0.7087,2.432,2120.0,8.35
A+,large_premarket,10pt_pullback,20pt_target,tight_spread,254,0.7087,2.432,2120.0,8.35
A+,large_premarket,10pt_pullback,20pt_target,NO_MBP_FILTER,272,0.6985,2.317,2160.0,7.94
A+,large_premarket,10pt_pullback,20pt_target,NO_MBP_FILTER,272,0.6985,2.317,2160.0,7.94
