model,month,trades,winrate,net_points,avg_trade
VWAP_ALIGN,2025-12,9,0.5556,20.0,2.22
VWAP_ALIGN,2026-01,5,0.8,60.0,12.0
VWAP_ALIGN,2026-02,1,0.0,-20.0,-20.0
VWAP_ALIGN,2026-03,6,1.0,120.0,20.0
VWAP_ALIGN,2026-04,10,0.7,80.0,8.0
VWAP_ALIGN,2026-05,2,0.5,0.0,0.0
VWAP_EMA20_ALIGN,2018-01,11,0.7273,30.0,2.73
VWAP_EMA20_ALIGN,2018-02,19,0.7895,188.75,9.93
VWAP_EMA20_ALIGN,2018-03,15,0.6,60.0,4.0
VWAP_EMA20_ALIGN,2018-04,19,0.6842,129.0,6.79
VWAP_EMA20_ALIGN,2018-05,14,0.7143,122.25,8.73
VWAP_EMA20_ALIGN,2018-06,16,0.6875,89.75,5.61
VWAP_EMA20_ALIGN,2018-07,14,0.7857,168.0,12.0
VWAP_EMA20_ALIGN,2018-08,10,0.4,-0.25,-0.02
VWAP_EMA20_ALIGN,2018-09,14,0.5,37.5,2.68
VWAP_EMA20_ALIGN,2018-10,19,0.7895,232.25,12.22
VWAP_EMA20_ALIGN,2018-11,19,0.6842,140.0,7.37
VWAP_EMA20_ALIGN,2018-12,18,0.5556,41.0,2.28
VWAP_EMA20_ALIGN,2019-01,19,0.6316,117.75,6.2
VWAP_EMA20_ALIGN,2019-02,19,0.4211,-38.25,-2.01
VWAP_EMA20_ALIGN,2019-03,15,0.5333,74.75,4.98
VWAP_EMA20_ALIGN,2019-04,6,0.3333,-30.75,-5.12
VWAP_EMA20_ALIGN,2019-05,18,0.4444,-52.25,-2.9
VWAP_EMA20_ALIGN,2019-06,11,0.4545,-11.5,-1.05
VWAP_EMA20_ALIGN,2019-07,7,0.4286,6.75,0.96
VWAP_EMA20_ALIGN,2019-08,16,0.6875,142.75,8.92
VWAP_EMA20_ALIGN,2019-09,12,0.5833,12.0,1.0
VWAP_EMA20_ALIGN,2019-10,17,0.5294,78.5,4.62
VWAP_EMA20_ALIGN,2019-11,16,0.6875,83.75,5.23
VWAP_EMA20_ALIGN,2019-12,9,0.7778,77.0,8.56
VWAP_EMA20_ALIGN,2020-01,19,0.5789,88.25,4.64
VWAP_EMA20_ALIGN,2020-02,15,0.7333,126.0,8.4
VWAP_EMA20_ALIGN,2020-03,13,0.7692,140.0,10.77
VWAP_EMA20_ALIGN,2020-04,19,0.6842,140.0,7.37
VWAP_EMA20_ALIGN,2020-05,18,0.6667,120.0,6.67
VWAP_EMA20_ALIGN,2020-06,17,0.6471,90.0,5.29
