conditions,trades,expectancy_score,robustness_score,win_10,win_20,win_30,win_40,avg_15m,avg_30m,avg_60m,med_30m,std_30m
below_vwap & red_bar & tight_spread & high_rel_vol & high_volatility,49,0.23071428571428568,8.53061224489796,0.42857142857142855,0.3877551020408163,0.4489795918367347,0.42857142857142855,-9.698979591836734,1.2142857142857142,16.525510204081634,19.0,163.68125147167385
back_inside_or & small_or & green_bar & strong_body,61,0.22684426229508195,3.442622950819672,0.45901639344262296,0.2459016393442623,0.22950819672131148,0.2459016393442623,3.6475409836065573,1.5122950819672132,-1.0737704918032787,13.25,51.21393906589112
back_inside_or & small_or & green_bar & strong_body & tight_spread,61,0.22684426229508195,3.442622950819672,0.45901639344262296,0.2459016393442623,0.22950819672131148,0.2459016393442623,3.6475409836065573,1.5122950819672132,-1.0737704918032787,13.25,51.21393906589112
large_or & green_bar & displacement & tight_spread & high_rel_vol,45,0.22666666666666666,12.266666666666666,0.5333333333333333,0.5333333333333333,0.5111111111111111,0.4,15.022222222222222,0.9444444444444444,-28.005555555555556,45.25,224.1906649033317
below_vwap & green_bar & bull_fvg & high_volatility,42,0.2238095238095238,4.190476190476191,0.4523809523809524,0.38095238095238093,0.2619047619047619,0.40476190476190477,1.2619047619047619,1.3988095238095237,-16.160714285714285,0.125,116.60052790748547
back_inside_or & large_lower_wick & bull_fvg & tight_spread,31,0.2162903225806452,2.903225806451613,0.41935483870967744,0.2903225806451613,0.3225806451612903,0.3225806451612903,-5.362903225806452,2.403225806451613,-6.5,-0.75,143.5677493586703
green_bar & large_lower_wick & high_rel_vol & high_volatility,49,0.20785714285714285,8.142857142857142,0.5102040816326531,0.42857142857142855,0.3877551020408163,0.3673469387755102,2.642857142857143,0.9897959183673469,12.198979591836734,4.75,128.111787521839
large_or & large_lower_wick & expansion_bar & high_volatility,69,0.20778985507246372,14.376811594202898,0.4782608695652174,0.4492753623188406,0.463768115942029,0.42028985507246375,0.6086956521739131,0.6702898550724637,17.92391304347826,-4.75,174.48466398116662
above_vwap & green_bar & strong_body & displacement & tight_spread,50,0.19190000000000002,7.22,0.42,0.38,0.38,0.3,-4.675,1.01,-14.005,1.125,89.5132096054965
small_or & large_lower_wick & high_rel_vol,31,0.18338709677419354,1.5483870967741935,0.3548387096774194,0.1935483870967742,0.25806451612903225,0.22580645161290322,-13.92741935483871,3.056451612903226,-0.6451612903225806,8.0,58.09484736465516
