model,trade_date,entry_time,direction,pnl_points,rolling_50_net,rolling_50_wr
PROD_STACK_STRICT,2019-11-08,2019-11-08 10:06:00,LONG,7.75,87.5,0.52
PROD_STACK_STRICT,2019-11-13,2019-11-13 09:39:00,LONG,8.75,98.75,0.54
PROD_STACK_STRICT,2019-11-14,2019-11-14 09:04:00,LONG,-20.0,98.75,0.54
PROD_STACK_STRICT,2019-11-18,2019-11-18 10:25:00,LONG,-2.25,76.5,0.52
PROD_STACK_STRICT,2019-11-19,2019-11-19 09:47:00,SHORT,20.0,116.5,0.54
PROD_STACK_STRICT,2019-11-21,2019-11-21 09:18:00,SHORT,5.75,120.25,0.54
PROD_STACK_STRICT,2019-11-26,2019-11-26 10:38:00,LONG,9.5,109.75,0.54
PROD_STACK_STRICT,2019-12-06,2019-12-06 11:25:00,LONG,4.25,134.0,0.56
PROD_STACK_STRICT,2019-12-11,2019-12-11 09:02:00,LONG,-11.0,120.75,0.54
PROD_STACK_STRICT,2019-12-13,2019-12-13 09:06:00,LONG,20.0,160.75,0.56
PROD_STACK_STRICT,2019-12-16,2019-12-16 09:19:00,LONG,9.25,172.75,0.58
PROD_STACK_STRICT,2020-01-02,2020-01-02 09:16:00,SHORT,-19.0,164.25,0.58
PROD_STACK_STRICT,2020-01-03,2020-01-03 11:13:00,LONG,4.0,148.25,0.58
PROD_STACK_STRICT,2020-01-08,2020-01-08 10:36:00,LONG,20.0,169.5,0.6
PROD_STACK_STRICT,2020-01-10,2020-01-10 11:07:00,SHORT,-0.25,149.25,0.58
PROD_STACK_STRICT,2020-01-15,2020-01-15 09:38:00,LONG,-5.75,123.5,0.56
PROD_STACK_STRICT,2020-01-17,2020-01-17 10:14:00,SHORT,-13.5,130.0,0.56
PROD_STACK_STRICT,2020-01-23,2020-01-23 09:38:00,LONG,-20.0,90.0,0.54
PROD_STACK_STRICT,2020-01-24,2020-01-24 09:17:00,SHORT,20.0,130.0,0.56
PROD_STACK_STRICT,2020-01-27,2020-01-27 11:18:00,LONG,9.25,119.25,0.56
PROD_STACK_STRICT,2020-01-29,2020-01-29 09:01:00,SHORT,20.0,159.25,0.58
PROD_STACK_STRICT,2020-01-30,2020-01-30 09:46:00,SHORT,20.0,164.0,0.58
PROD_STACK_STRICT,2020-01-31,2020-01-31 09:12:00,SHORT,20.0,190.5,0.6
PROD_STACK_STRICT,2020-02-04,2020-02-04 09:57:00,LONG,20.0,190.5,0.6
PROD_STACK_STRICT,2020-02-05,2020-02-05 11:07:00,SHORT,12.5,207.75,0.62
PROD_STACK_STRICT,2020-02-07,2020-02-07 09:46:00,LONG,20.0,224.5,0.62
PROD_STACK_STRICT,2020-02-10,2020-02-10 09:10:00,LONG,20.0,263.5,0.64
PROD_STACK_STRICT,2020-02-11,2020-02-11 10:31:00,LONG,-20.0,223.5,0.62
PROD_STACK_STRICT,2020-03-05,2020-03-05 10:58:00,LONG,-20.0,223.5,0.62
PROD_STACK_STRICT,2020-03-09,2020-03-09 11:02:00,LONG,-20.0,223.5,0.62
PROD_STACK_STRICT,2020-03-25,2020-03-25 09:26:00,LONG,-20.0,211.75,0.62
PROD_STACK_STRICT,2020-04-01,2020-04-01 09:50:00,SHORT,20.0,211.75,0.62
PROD_STACK_STRICT,2020-04-06,2020-04-06 09:55:00,LONG,20.0,222.0,0.62
PROD_STACK_STRICT,2020-04-09,2020-04-09 10:26:00,LONG,-20.0,182.0,0.6
PROD_STACK_STRICT,2020-04-13,2020-04-13 09:03:00,SHORT,-20.0,142.0,0.58
PROD_STACK_STRICT,2020-04-15,2020-04-15 10:51:00,LONG,-20.0,102.0,0.56
PROD_STACK_STRICT,2020-04-16,2020-04-16 09:09:00,LONG,20.0,142.0,0.58
PROD_STACK_STRICT,2020-04-17,2020-04-17 09:34:00,SHORT,-20.0,102.0,0.56
PROD_STACK_STRICT,2020-04-20,2020-04-20 09:36:00,LONG,-20.0,62.0,0.54
PROD_STACK_STRICT,2020-04-22,2020-04-22 10:47:00,LONG,20.0,86.5,0.56
PROD_STACK_STRICT,2020-04-24,2020-04-24 10:30:00,LONG,20.0,86.5,0.56
PROD_STACK_STRICT,2020-04-27,2020-04-27 09:26:00,LONG,-20.0,80.75,0.56
PROD_STACK_STRICT,2020-04-29,2020-04-29 10:18:00,LONG,20.0,120.75,0.58
PROD_STACK_STRICT,2020-04-30,2020-04-30 10:13:00,SHORT,20.0,120.75,0.58
PROD_STACK_STRICT,2020-05-04,2020-05-04 09:35:00,LONG,20.0,120.75,0.58
PROD_STACK_STRICT,2020-05-05,2020-05-05 11:20:00,LONG,20.0,145.75,0.6
PROD_STACK_STRICT,2020-05-11,2020-05-11 09:27:00,LONG,20.0,185.75,0.62
PROD_STACK_STRICT,2020-05-12,2020-05-12 11:01:00,LONG,-20.0,159.25,0.6
