conditions,trades,expectancy_score,sequence_score,win_15m,win_30m,win_60m,avg_15m,avg_30m,avg_60m,med_30m,std_30m
back_inside_or -> below_vwap -> large_or -> strong_body -> next_tight_spread,92,13.29733695652174,11.611531190926275,0.5652173913043478,0.45652173913043476,0.4891304347826087,37.68478260869565,31.660326086956523,39.91576086956522,6.625,176.0701524989156
below_vwap -> tight_spread -> green_bar -> strong_body -> two_bar_followthrough,96,13.280208333333333,9.104166666666668,0.5,0.3958333333333333,0.4791666666666667,30.768229166666668,34.947916666666664,44.973958333333336,13.375,132.77332244659982
below_vwap -> large_or -> green_bar -> next_tight_spread -> next_green_bar,182,13.214793956043954,15.647838425310953,0.44505494505494503,0.44505494505494503,0.4340659340659341,5.517857142857143,16.314560439560438,19.002747252747252,8.625,173.95266198822353
back_inside_or -> large_or -> strong_body -> two_bar_followthrough,67,13.132276119402984,9.409668077522833,0.5970149253731343,0.4925373134328358,0.47761194029850745,51.14179104477612,39.79477611940298,33.46641791044776,21.25,175.41061095161496
back_inside_or -> below_vwap -> strong_body -> next_tight_spread,203,13.129581280788177,16.968938824043292,0.47783251231527096,0.39901477832512317,0.43842364532019706,22.887931034482758,16.20935960591133,20.961822660098523,14.75,131.6559441678817
back_inside_or -> below_vwap -> tight_spread -> green_bar -> next_tight_spread,508,13.106299212598426,35.99107198214397,0.4251968503937008,0.3937007874015748,0.42322834645669294,6.385334645669292,6.553149606299213,7.672244094488189,12.25,206.82600461101185
large_or -> strong_body -> next_tight_spread -> two_bar_followthrough,62,13.09717741935484,9.13111342351717,0.6290322580645161,0.4838709677419355,0.4838709677419355,45.87096774193548,43.65725806451613,50.57258064516129,16.625,172.53064727675368
below_vwap -> tight_spread -> green_bar -> next_tight_spread,544,13.093731617647059,38.252818176903105,0.4209558823529412,0.39338235294117646,0.42463235294117646,3.6824448529411766,6.118566176470588,8.592830882352942,12.25,201.94439205273792
below_vwap -> large_or -> green_bar -> strong_body -> next_tight_spread -> two_bar_followthrough,41,12.996951219512194,7.470553242117787,0.6341463414634146,0.5121951219512195,0.5609756097560976,59.71341463414634,61.890243902439025,82.42682926829268,45.25,199.7960761062114
back_inside_or -> large_or -> green_bar -> strong_body -> next_tight_spread -> two_bar_followthrough,57,12.985614035087716,9.24715297014466,0.6491228070175439,0.49122807017543857,0.5087719298245614,53.87719298245614,46.37719298245614,57.50438596491228,21.25,178.2594425144188
below_vwap -> large_or -> strong_body -> next_tight_spread,97,12.95278350515464,11.400999043469017,0.5463917525773195,0.4536082474226804,0.4742268041237113,31.304123711340207,29.438144329896907,35.04123711340206,6.25,172.90358144865195
large_or -> strong_body -> next_green_bar -> two_bar_followthrough,48,12.924999999999999,6.1875,0.5625,0.5,0.4583333333333333,47.760416666666664,53.854166666666664,42.9375,33.25,178.70412544301996
below_vwap -> tight_spread -> strong_body,217,12.878709677419353,16.23309053069719,0.4608294930875576,0.3870967741935484,0.41935483870967744,18.445852534562214,15.331797235023041,19.100230414746544,13.75,125.67805652405038
back_inside_or -> green_bar -> strong_body -> next_tight_spread,298,12.7580033557047,19.970068915814604,0.4463087248322148,0.37919463087248323,0.3959731543624161,16.37248322147651,11.29026845637584,10.02265100671141,12.5,121.76056659846353
back_inside_or -> below_vwap -> tight_spread -> green_bar -> strong_body -> two_bar_followthrough,91,12.708791208791208,8.99891317473735,0.5054945054945055,0.3956043956043956,0.4945054945054945,35.3489010989011,35.3021978021978,46.82142857142857,13.25,135.57673368737798
large_or -> tight_spread -> strong_body -> next_green_bar -> two_bar_followthrough,43,12.70377906976744,5.962682531097891,0.5813953488372093,0.4883720930232558,0.4883720930232558,44.97674418604651,60.49418604651163,70.66279069767442,21.25,174.2580486661002
large_or -> strong_body -> next_tight_spread -> next_green_bar -> two_bar_followthrough,43,12.70377906976744,5.962682531097891,0.5813953488372093,0.4883720930232558,0.4883720930232558,44.97674418604651,60.49418604651163,70.66279069767442,21.25,174.2580486661002
large_or -> tight_spread -> strong_body -> next_tight_spread -> next_green_bar -> two_bar_followthrough,43,12.70377906976744,5.962682531097891,0.5813953488372093,0.4883720930232558,0.4883720930232558,44.97674418604651,60.49418604651163,70.66279069767442,21.25,174.2580486661002
large_or -> green_bar -> strong_body -> next_green_bar,98,12.689540816326533,10.036443148688047,0.5204081632653061,0.45918367346938777,0.42857142857142855,25.176020408163264,28.198979591836736,23.102040816326532,13.5,170.7385373700909
large_or -> tight_spread -> strong_body -> next_green_bar,97,12.676082474226803,10.699542990753532,0.5360824742268041,0.4536082474226804,0.4536082474226804,22.6520618556701,28.809278350515463,35.80927835051546,8.25,166.741401628936
large_or -> tight_spread -> strong_body -> next_tight_spread -> next_green_bar,97,12.676082474226803,10.699542990753532,0.5360824742268041,0.4536082474226804,0.4536082474226804,22.6520618556701,28.809278350515463,35.80927835051546,8.25,166.741401628936
below_vwap -> tight_spread -> green_bar,550,12.65661818181818,38.76432396694215,0.4218181818181818,0.3927272727272727,0.4254545454545455,3.4945454545454546,5.859545454545454,8.865454545454545,12.25,201.1414912981678
back_inside_or -> red_bar -> next_green_bar,220,12.64609090909091,15.038057851239666,0.39545454545454545,0.40454545454545454,0.42727272727272725,9.779545454545454,14.209090909090909,22.007954545454545,16.375,123.43179779510763
back_inside_or -> below_vwap -> large_or -> tight_spread -> strong_body -> two_bar_followthrough,41,12.637317073170733,6.465199286139203,0.6341463414634146,0.4634146341463415,0.5365853658536586,66.92682926829268,66.51219512195122,86.8109756097561,12.0,181.62545553297585
below_vwap -> tight_spread -> strong_body -> two_bar_followthrough,105,12.633333333333331,8.881632653061223,0.4857142857142857,0.38095238095238093,0.45714285714285713,29.226190476190474,31.583333333333332,40.642857142857146,12.5,128.2413667934465
below_vwap -> tight_spread -> green_bar -> strong_body -> next_tight_spread -> two_bar_followthrough,95,12.632578947368419,8.670914127423822,0.49473684210526314,0.3894736842105263,0.47368421052631576,30.660526315789475,34.142105263157895,43.5,13.25,133.24149534070494
above_vwap -> large_or -> next_green_bar,120,12.565333333333333,13.717500000000001,0.49166666666666664,0.5166666666666667,0.45,17.033333333333335,20.266666666666666,18.65,35.625,148.08500544462635
back_inside_or -> above_vwap -> large_or -> next_green_bar,120,12.565333333333333,13.717500000000001,0.49166666666666664,0.5166666666666667,0.45,17.033333333333335,20.266666666666666,18.65,35.625,148.08500544462635
above_vwap -> green_bar -> next_tight_spread -> next_green_bar -> two_bar_followthrough,98,12.541607142857144,8.226468138275719,0.47959183673469385,0.41836734693877553,0.41836734693877553,15.119897959183673,30.589285714285715,24.364795918367346,20.75,131.4533660107911
