conditions,trades,expectancy_score,win_10,win_20,win_30,win_40,avg_15m,avg_30m,avg_60m,med_30m,std_30m
tight_spread & green_bar & expansion_bar,658,40.32829787234043,0.5075987841945289,0.4194528875379939,0.40425531914893614,0.41033434650455924,12.650835866261398,14.611702127659575,15.077507598784194,13.625,125.25107077558933
below_vwap & tight_spread & expansion_bar,573,39.600575916230376,0.5200698080279232,0.4223385689354276,0.40663176265270506,0.43804537521815007,13.480366492146597,16.36387434554974,23.62260034904014,12.75,131.14359327866583
green_bar & large_or & strong_body,275,39.0342,0.5309090909090909,0.48727272727272725,0.49454545454545457,0.45454545454545453,19.26,29.13,27.005454545454544,25.25,165.69164692679553
tight_spread & large_or & strong_body,280,39.006875,0.5535714285714286,0.49642857142857144,0.475,0.4642857142857143,20.69017857142857,28.0625,31.78482142857143,19.5,159.37514249062434
above_vwap & large_or,221,38.22825791855204,0.5429864253393665,0.5113122171945701,0.5475113122171946,0.49321266968325794,21.165158371040725,33.83031674208145,41.047511312217196,49.5,144.68321212971443
tight_spread & green_bar & large_or & strong_body,251,37.64061752988047,0.549800796812749,0.50199203187251,0.47808764940239046,0.4581673306772908,21.00398406374502,29.87350597609562,29.02390438247012,20.5,164.05688856387277
strong_body,653,37.30733537519143,0.49617151607963245,0.40275650842266464,0.39663093415007655,0.3981623277182236,12.099157733537519,14.185298621745789,17.38820826952527,14.75,125.00646120642702
above_vwap,516,37.05383720930233,0.4941860465116279,0.4186046511627907,0.40891472868217055,0.3798449612403101,12.386143410852712,17.154554263565892,21.93265503875969,17.875,111.17415151308914
above_vwap & green_bar & large_or,178,36.896966292134834,0.5449438202247191,0.5224719101123596,0.5393258426966292,0.47191011235955055,23.155898876404493,39.674157303370784,40.33848314606742,48.25,144.50263131972858
tight_spread & large_or & expansion_bar,381,36.294908136482945,0.5328083989501312,0.4776902887139108,0.44881889763779526,0.44881889763779526,17.105643044619423,19.942257217847768,27.866141732283463,9.75,161.85105729992029
green_bar,1167,35.508269065981146,0.4987146529562982,0.41216795201371037,0.38817480719794345,0.3967437874892888,5.307412167952013,7.382176520994002,10.043273350471294,12.0,162.75225551754335
below_vwap & expansion_bar,587,35.06467206132879,0.5195911413969335,0.424190800681431,0.4071550255536627,0.434412265758092,12.026831345826235,14.082197614991482,19.458262350936966,12.5,133.59308741814863
below_vwap & tight_spread & large_or,491,34.63021384928717,0.5173116089613035,0.4623217922606925,0.4256619144602851,0.4419551934826884,13.2510183299389,15.255600814663952,28.15478615071283,8.5,158.57106770935619
tight_spread & strong_body,626,33.992787539936096,0.5015974440894568,0.4057507987220447,0.38338658146964855,0.39456869009584666,12.19129392971246,13.382987220447284,17.582667731629392,12.625,122.28232573067228
green_bar & strong_body,587,33.60085178875639,0.4906303236797274,0.4020442930153322,0.3901192504258944,0.39522998296422485,11.729557069846678,14.237649063032368,15.683986371379898,13.25,128.08213886741873
above_vwap & green_bar,420,33.395833333333336,0.49523809523809526,0.4166666666666667,0.40714285714285714,0.3738095238095238,11.932738095238095,19.083333333333332,20.964880952380952,15.625,112.78408531595618
high_rel_vol,485,31.816639175257734,0.49896907216494846,0.42061855670103093,0.4350515463917526,0.4,10.648969072164949,15.59639175257732,8.961855670103093,19.5,138.81172725056132
tight_spread & green_bar & strong_body,563,31.770159857904083,0.49733570159857904,0.4049733570159858,0.3783303730017762,0.39431616341030196,12.186056838365896,13.934280639431616,16.101243339253998,12.0,125.27562898570703
green_bar & large_or & expansion_bar,311,31.369774919614144,0.5241157556270096,0.48231511254019294,0.4662379421221865,0.4405144694533762,17.317524115755628,20.913183279742764,18.310289389067524,15.0,168.32589508056316
below_vwap & tight_spread,1055,30.660300947867302,0.5090047393364929,0.4161137440758294,0.3876777251184834,0.41706161137440756,5.674170616113744,6.984123222748815,15.020142180094787,12.0,167.6035677619402
tight_spread & expansion_bar & strong_body,438,29.890382420091324,0.5228310502283106,0.4223744292237443,0.410958904109589,0.4063926940639269,15.18607305936073,16.156963470319635,18.001141552511417,15.0,131.1820273701624
tight_spread & large_or & expansion_bar & strong_body,202,29.135742574257428,0.5693069306930693,0.5099009900990099,0.48514851485148514,0.4603960396039604,24.446782178217823,28.287128712871286,28.297029702970296,19.25,170.25174105135656
tight_spread & green_bar,1122,29.073885918003565,0.5,0.40998217468805703,0.3787878787878788,0.3939393939393939,5.399732620320855,6.320409982174688,10.933155080213904,11.125,162.48495247041913
expansion_bar & strong_body,454,29.010754405286345,0.5198237885462555,0.42070484581497797,0.41629955947136565,0.4052863436123348,14.931718061674008,15.18887665198238,15.319933920704846,15.75,134.34320128464404
tight_spread & green_bar & large_or & expansion_bar,282,28.785638297872335,0.524822695035461,0.4787234042553192,0.45390070921985815,0.4397163120567376,18.199468085106382,21.322695035460992,21.86790780141844,11.25,166.5041251746762
below_vwap & tight_spread & large_or & expansion_bar,263,28.239752851711028,0.5285171102661597,0.46387832699619774,0.4448669201520912,0.46387832699619774,18.986692015209126,23.147338403041825,36.39448669201521,8.5,170.570176264952
below_vwap & large_or,511,28.169902152641882,0.5146771037181996,0.461839530332681,0.4227005870841487,0.436399217221135,10.302837573385519,11.936399217221135,20.64187866927593,8.0,159.72485952703323
below_vwap & tight_spread & green_bar & expansion_bar,420,28.113178571428573,0.5238095238095238,0.430952380952381,0.4142857142857143,0.4380952380952381,15.107142857142858,15.532142857142857,18.348809523809525,14.125,133.8645518292551
tight_spread & green_bar & expansion_bar & strong_body,396,27.847159090909088,0.5227272727272727,0.4292929292929293,0.4116161616161616,0.4090909090909091,16.309974747474747,16.380681818181817,16.523358585858585,15.0,134.12130750131786
large_or & expansion_bar & strong_body,218,27.665,0.5596330275229358,0.5,0.4908256880733945,0.4541284403669725,23.237385321100916,25.380733944954127,21.95756880733945,22.375,172.9826783912828
red_bar,410,27.385243902439022,0.524390243902439,0.43902439024390244,0.4146341463414634,0.4268292682926829,12.039024390243902,15.214024390243903,29.877439024390245,18.375,117.82177271963137
high_rel_vol & green_bar,362,26.434564917127076,0.5027624309392266,0.4281767955801105,0.43922651933701656,0.39502762430939226,11.901933701657459,17.054558011049725,3.5531767955801103,19.0,142.28204145735415
tight_spread & high_rel_vol,463,25.943844492440604,0.4946004319654428,0.4146868250539957,0.42116630669546434,0.3952483801295896,7.737580993520519,13.512419006479481,7.207883369330453,18.25,135.50163327948658
high_rel_vol & expansion_bar,435,25.80758620689655,0.496551724137931,0.42298850574712643,0.432183908045977,0.38850574712643676,11.28448275862069,14.025862068965518,5.113793103448276,19.0,142.04206086320573
above_vwap & green_bar & large_or & strong_body,104,25.624735576923076,0.5192307692307693,0.5096153846153846,0.5769230769230769,0.4519230769230769,24.901442307692307,48.34855769230769,44.54567307692308,55.625,139.05429292688055
green_bar & expansion_bar & strong_body,410,25.62149390243902,0.5170731707317073,0.4268292682926829,0.4146341463414634,0.40487804878048783,15.451829268292682,14.640853658536585,13.31280487804878,15.75,137.34702250933225
above_vwap & large_or & strong_body,112,25.345044642857143,0.5,0.48214285714285715,0.5803571428571429,0.4732142857142857,21.200892857142858,46.935267857142854,45.892857142857146,54.75,135.24406843471715
below_vwap,1075,24.909841860465114,0.5079069767441861,0.41674418604651164,0.3869767441860465,0.41488372093023257,4.413720930232558,5.560232558139535,11.693255813953488,11.5,167.89533840392087
below_vwap & tight_spread & high_rel_vol,305,24.839803278688528,0.5278688524590164,0.43278688524590164,0.4426229508196721,0.43278688524590164,11.818852459016393,18.818032786885247,11.945901639344262,20.25,146.55994513898966
tight_spread & red_bar,402,23.768756218905466,0.5248756218905473,0.4427860696517413,0.4054726368159204,0.42039800995024873,11.578980099502488,13.35323383084577,28.776119402985074,18.0,116.67568700096513
