label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
wick_q25_body_q70_range_q25_hour8,38,17,21,44.74,136.27,3.59,1.68,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q25_body_q70_range_q30_hour8,38,17,21,44.74,136.27,3.59,1.68,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q30_body_q60_range_q25_hour8,34,15,19,44.12,123.27,3.63,1.68,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q30_body_q60_range_q30_hour8,34,15,19,44.12,123.27,3.63,1.68,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q25_body_q80_rel_q20_hour10,22,10,12,45.45,68.67,3.12,1.68,-23.82,2020-04-16 10:18:00,2026-05-05 10:32:00
body_lt_q60_range_gt_q30,53,24,29,45.28,180.82,3.41,1.67,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q10_body_q60_range_q30,53,24,29,45.28,180.82,3.41,1.67,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q20_body_q80_range_q25_hour10,22,10,12,45.45,67.92,3.09,1.67,-21.32,2020-04-03 10:33:00,2026-05-05 10:32:00
wick_gt_q25_relvol_gt_q30_hour10,21,10,11,47.62,63.42,3.02,1.67,-31.44,2020-04-16 10:18:00,2026-02-10 10:23:00
wick_q30_body_q75_range_q25,60,27,33,45.0,198.06,3.3,1.66,-105.69,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q20_body_q60_range_q25,53,24,29,45.28,179.32,3.38,1.66,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_gt_q25_relvol_gt_q20_hour10,24,11,13,45.83,72.79,3.03,1.66,-24.63,2020-04-16 10:18:00,2026-05-05 10:32:00
wick_q30_body_q75_range_q30,58,26,32,44.83,190.25,3.28,1.65,-105.69,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q25_body_q70_range_q30,56,25,31,44.64,180.26,3.22,1.63,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q25_body_q75_range_q25,63,28,35,44.44,196.75,3.12,1.62,-105.69,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q25_body_q75_range_q30,61,27,34,44.26,188.94,3.1,1.61,-105.69,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q20_body_q60_range_q30,52,23,29,44.23,162.82,3.13,1.6,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q25_body_q60_range_q30_hour8,35,15,20,42.86,113.46,3.24,1.59,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
wick_q25_body_q60_range_q25_hour8,35,15,20,42.86,113.46,3.24,1.59,-77.8,2018-12-06 08:34:00,2026-01-08 08:39:00
lower_wick_pct_gt_q80_0.23684,26,11,15,42.31,85.8,3.3,1.57,-84.24,2020-04-16 10:18:00,2026-05-05 10:32:00
wick_gt_q25_range_gt_q25_hour10,22,10,12,45.45,56.92,2.59,1.56,-41.32,2020-04-03 10:33:00,2026-05-05 10:32:00
wick_q25_body_q75_range_q25_hour10,20,9,11,45.0,50.98,2.55,1.54,-41.32,2020-04-03 10:33:00,2026-05-05 10:32:00
wick_q25_body_q80_rel_q30_hour10,20,9,11,45.0,50.92,2.55,1.54,-31.44,2020-04-16 10:18:00,2026-02-10 10:23:00
wick_q25_body_q60_range_q25,51,22,29,43.14,141.7,2.78,1.52,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q30_body_q60_range_q25,49,21,28,42.86,136.51,2.79,1.52,-96.81,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_gt_q30_range_gt_q25_hour10,20,9,11,45.0,48.42,2.42,1.51,-41.32,2020-04-03 10:33:00,2026-05-05 10:32:00
wick_q25_body_q60_range_q30,50,21,29,42.0,125.2,2.5,1.46,-103.55,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q30_body_q60_range_q30,48,20,28,41.67,120.01,2.5,1.46,-103.55,2018-12-06 08:34:00,2026-05-05 10:32:00
wick_q25_body_q80_range_q25_hour10,21,9,12,42.86,44.42,2.12,1.44,-41.32,2020-04-03 10:33:00,2026-05-05 10:32:00
