date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae
2025-07-09,2025-07-09 09:53:00,22951.5,22963.75,22927.0,22963.75,loss,12.25,-12.25,-1.0,8.5,-15.5
2025-07-09,2025-07-09 10:22:00,22959.5,22970.25,22938.0,22970.25,loss,10.75,-10.75,-1.0,3.25,-11.25
2025-07-15,2025-07-15 08:41:00,23145.5,23163.0,23110.5,23163.0,loss,17.5,-17.5,-1.0,14.0,-18.75
2025-07-15,2025-07-15 08:44:00,23132.25,23154.25,23088.25,23154.25,loss,22.0,-22.0,-1.0,0.25,-26.25
2025-07-16,2025-07-16 09:17:00,22979.5,23041.0,22856.5,22856.5,win,61.5,123.0,2.0,134.0,-16.75
2025-07-16,2025-07-16 09:20:00,22940.75,22977.5,22867.25,22977.5,loss,36.75,-36.75,-1.0,42.25,-38.25
2025-07-16,2025-07-16 09:22:00,22909.0,22939.0,22849.0,22939.0,loss,30.0,-30.0,-1.0,10.5,-43.25
2025-07-29,2025-07-29 08:32:00,23558.25,23569.75,23535.25,23569.75,loss,11.5,-11.5,-1.0,6.0,-17.75
2025-07-29,2025-07-29 08:52:00,23539.5,23550.0,23518.5,23518.5,win,10.5,21.0,2.0,25.0,-6.0
2025-07-29,2025-07-29 08:53:00,23531.25,23546.5,23500.75,23500.75,win,15.25,30.5,2.0,32.25,-11.25
2025-07-29,2025-07-29 08:54:00,23522.75,23532.5,23503.25,23532.5,loss,9.75,-9.75,-1.0,6.75,-10.25
2025-07-30,2025-07-30 09:12:00,23484.25,23501.75,23449.25,23501.75,loss,17.5,-17.5,-1.0,8.75,-19.25
2025-08-06,2025-08-06 08:33:00,23181.25,23209.0,23125.75,23209.0,loss,27.75,-27.75,-1.0,1.25,-28.0
2025-08-07,2025-08-07 09:16:00,23505.75,23536.0,23445.25,23536.0,loss,30.25,-30.25,-1.0,1.75,-44.25
2025-08-07,2025-08-07 09:32:00,23513.25,23532.0,23475.75,23475.75,win,18.75,37.5,2.0,40.0,-14.5
2025-08-07,2025-08-07 09:34:00,23506.0,23521.5,23475.0,23521.5,loss,15.5,-15.5,-1.0,6.0,-17.25
2025-08-07,2025-08-07 09:38:00,23512.0,23528.75,23478.5,23478.5,win,16.75,33.5,2.0,35.0,-15.75
2025-08-07,2025-08-07 09:40:00,23512.5,23528.0,23481.5,23481.5,win,15.5,31.0,2.0,35.5,-6.5
2025-08-07,2025-08-07 09:47:00,23498.75,23515.0,23466.25,23515.0,loss,16.25,-16.25,-1.0,21.75,-18.0
2025-08-07,2025-08-07 09:49:00,23490.5,23506.0,23459.5,23506.0,loss,15.5,-15.5,-1.0,13.5,-21.75
2025-08-07,2025-08-07 09:50:00,23478.75,23491.75,23452.75,23491.75,loss,13.0,-13.0,-1.0,0.5,-33.5
2025-08-07,2025-08-07 09:59:00,23502.5,23522.75,23462.0,23462.0,win,20.25,40.5,2.0,42.5,-5.5
2025-08-07,2025-08-07 10:02:00,23482.75,23498.5,23451.25,23498.5,loss,15.75,-15.75,-1.0,22.75,-28.75
2025-08-07,2025-08-07 10:06:00,23482.0,23494.25,23457.5,23494.25,loss,12.25,-12.25,-1.0,10.0,-13.25
