date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae
2021-05-05,2021-05-05 09:26:00,13585.7,13592.25,13572.6,13592.25,loss,6.55,-6.55,-1.0,10.2,-8.8
2021-07-06,2021-07-06 09:01:00,14724.55,14732.75,14708.15,14732.75,loss,8.2,-8.2,-1.0,10.55,-8.95
2021-10-26,2021-10-26 10:30:00,15580.75,15586.25,15569.75,15586.25,loss,5.5,-5.5,-1.0,8.0,-6.5
2021-11-29,2021-11-29 08:47:00,16237.85,16261.5,16190.55,16261.5,loss,23.65,-23.65,-1.0,21.6,-36.9
2021-12-02,2021-12-02 10:44:00,15902.1,15925.0,15856.3,15925.0,loss,22.9,-22.9,-1.0,30.35,-28.65
2021-12-03,2021-12-03 08:38:00,16018.35,16055.5,15944.05,15944.05,win,37.15,74.3,2.0,77.85,-1.9
2021-12-09,2021-12-09 09:08:00,16330.5,16348.0,16295.5,16348.0,loss,17.5,-17.5,-1.0,19.25,-17.5
2021-12-28,2021-12-28 08:32:00,16576.45,16591.25,16546.85,16546.85,win,14.8,29.6,2.0,34.2,-10.05
2022-03-03,2022-03-03 09:09:00,14234.1,14252.5,14197.3,14197.3,win,18.4,36.8,2.0,52.6,-6.4
2022-08-01,2022-08-01 10:57:00,12999.25,13007.75,12982.25,13007.75,loss,8.5,-8.5,-1.0,6.25,-8.75
2022-08-25,2022-08-25 09:25:00,13008.45,13017.25,12990.85,13017.25,loss,8.8,-8.8,-1.0,7.7,-13.05
2022-09-26,2022-09-26 09:24:00,11399.4,11407.75,11382.7,11382.7,win,8.35,16.7,2.0,22.65,-6.35
2022-10-18,2022-10-18 11:00:00,11201.25,11209.75,11184.25,11184.25,win,8.5,17.0,2.0,27.25,-1.75
2022-10-21,2022-10-21 09:02:00,11065.65,11082.25,11032.45,11082.25,loss,16.6,-16.6,-1.0,14.65,-18.1
2022-11-03,2022-11-03 09:07:00,10841.35,10852.25,10819.55,10819.55,win,10.9,21.8,2.0,23.1,-3.65
2022-11-24,2022-11-24 08:53:00,11902.15,11906.75,11892.95,11906.75,loss,4.6,-4.6,-1.0,2.65,-6.35
2023-01-04,2023-01-04 08:35:00,10989.2,11000.25,10967.1,11000.25,loss,11.05,-11.05,-1.0,7.45,-24.8
2023-01-04,2023-01-04 08:47:00,10983.35,11004.0,10942.05,11004.0,loss,20.65,-20.65,-1.0,12.85,-28.4
2023-01-10,2023-01-10 11:02:00,11171.55,11192.5,11129.65,11192.5,loss,20.95,-20.95,-1.0,7.55,-22.2
