entry_time,result_points,risk_points,hour,minute,lower_wick_pct,body_pct,range_expansion_20,rel_vol_20,dist_pdh,dist_pdl,dist_dol,dist_vwap,dist_or_low_30m,dist_or_high_30m,liquidity_sweep_reclaim_count_last_30m,has_high_impact_usd_event
2021-12-30T08:43:00.000000,14.62,7.31,8,43,0.1282051282051282,0.7692307692307693,1.3321947053800172,1.2511690046760187,-97.5,79.25,-17.75,-29.54047533146877,17.5,-51.25,3,false
2022-09-06T10:41:00.000000,15.0,7.5,10,41,0.05434782608695652,0.8913043478260869,1.8308457711442787,0.8983903838955205,-135.25,-6.75,-122.25,-41.27975139267437,78.75,-77.25,1,true
2023-11-15T08:42:00.000000,13.38,6.69,8,42,0.016666666666666666,0.4666666666666667,1.1605415860735009,1.3326980345443717,23.0,389.75,46.75,-10.254582740661135,35.75,-31.75,2,false
2023-11-16T08:33:00.000000,14.75,7.38,8,33,0.11267605633802817,0.7464788732394366,2.128935532233883,2.216792536650378,-208.0,9.25,-5.25,-11.57151171249825,16.25,-56.5,1,true
2024-01-24T08:40:00.000000,13.12,6.56,8,40,0.07936507936507936,0.8412698412698413,1.4285714285714286,1.1341021890809697,93.75,242.5,98.0,5.978042949969677,14.5,-43.5,2,true
2024-02-16T08:33:00.000000,14.62,7.31,8,33,0.1095890410958904,0.8356164383561644,1.8204488778054861,2.1879951361509264,-64.25,123.5,-48.0,-49.90101419878192,150.0,-26.0,2,true
2024-02-23T10:14:00.000000,17.5,8.75,10,14,0.05714285714285714,0.7333333333333333,1.6496465043205029,1.1756292906178492,-120.25,290.75,-56.5,-94.10360604538073,-94.0,-178.0,3,false
2024-05-23T08:31:00.000000,15.25,7.62,8,31,0.14492753623188406,0.6521739130434783,1.1948051948051948,0.7389228985194575,-3.5,203.25,32.75,-35.28476199058787,85.5,-28.0,2,true
2024-07-09T10:43:00.000000,12.25,6.12,10,43,0.09090909090909091,0.8636363636363636,2.1052631578947367,1.7206456377254986,-22.25,97.5,-12.25,-43.405914301438315,-3.75,-65.25,4,true
2024-09-17T10:05:00.000000,12.0,6.0,10,5,0.08163265306122448,0.5102040816326531,1.1694510739856803,0.8333333333333333,-10.25,468.25,88.25,2.003206599430996,25.75,-79.0,1,true
2024-11-20T08:34:00.000000,16.62,8.31,8,34,0.13253012048192772,0.3493975903614458,1.5601503759398496,1.7478031960253606,-69.75,340.25,-39.5,-67.17366335496627,109.75,-33.25,3,true
2025-01-02T08:40:00.000000,23.38,11.69,8,40,0.25443786982248523,0.3609467455621302,1.6041765543426674,1.4579835188964378,-332.25,10.5,-76.5,-150.6638108960069,26.0,-216.5,3,true
2025-01-23T08:38:00.000000,12.88,6.44,8,38,0.17105263157894737,0.39473684210526316,1.5670103092783505,1.399192203653611,-200.75,124.5,-89.0,-10.937304089769896,26.75,-25.25,1,true
2025-02-07T10:47:00.000000,23.5,11.75,10,47,0.07758620689655173,0.7327586206896551,1.3211845102505695,1.7064935064935065,-235.75,-59.25,-171.25,-140.47518173557546,-223.25,-321.5,1,false
2025-02-12T10:23:00.000000,17.38,8.69,10,23,0.041237113402061855,0.865979381443299,1.5607401448109413,0.9807901071411715,-193.75,8.25,-116.5,10.656717606590973,141.5,-23.25,1,true
2025-02-25T08:32:00.000000,24.88,12.44,8,32,0.03508771929824561,0.49122807017543857,2.097516099356026,3.355637489189312,-462.75,-57.25,-92.25,-35.54379404525025,139.5,-47.25,2,true
2025-02-26T08:31:00.000000,28.0,14.0,8,31,0.047872340425531915,0.9308510638297872,2.8334589299171067,3.744219720678219,-436.75,248.25,7.75,-32.330952143322065,49.25,-74.75,4,true
2025-06-23T10:37:00.000000,26.5,13.25,10,37,0.3923076923076923,0.46923076923076923,3.1268791340950086,3.196138657305836,7.25,227.5,36.0,-99.15841142792488,-155.75,-223.75,4,false
2025-07-23T08:35:00.000000,12.38,6.19,8,35,0.04477611940298507,0.8805970149253731,1.5654205607476637,1.310494834148994,-201.0,58.0,-16.5,-46.848733504655684,15.5,-37.5,1,false
2025-08-13T08:32:00.000000,15.12,7.56,8,32,0.08450704225352113,0.28169014084507044,1.2839059674502713,1.0911981500216794,-1.0,356.5,22.5,-52.606084602801275,20.0,-20.75,3,false
2025-08-14T10:15:00.000000,14.0,7.0,10,15,0.13043478260869565,0.5072463768115942,1.4603174603174602,1.280054182187606,-192.75,-10.25,-73.0,-36.555292445307714,-64.75,-132.0,2,false
