trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_risk,median_mfe,median_mae,max_dd_1R,max_dd_1_5R,max_dd_2R,test_type,feature_set,quality_score
134,55.97,46.27,35.82,0.119,0.157,0.075,1.271,1.292,1.116,11.86,25.31,-11.81,11.88,12.44,-11.31,-11.0,-15.5,-21.0,triple_inside_v,fib_50 + risk_le_20 + body_lt_60,178.47
176,53.41,40.91,36.36,0.068,0.023,0.091,1.146,1.038,1.143,11.1,24.22,-11.85,11.12,10.48,-10.68,-11.0,-16.5,-18.0,triple_inside_v,risk_le_20 + rel_vol_ge_1_25 + has_liq_sweep,178.31
88,54.55,42.05,35.23,0.091,0.051,0.057,1.2,1.088,1.088,12.02,26.23,-12.99,12.46,13.69,-11.72,-9.0,-16.0,-15.0,triple_inside_v,vwap_aligned + risk_le_20 + body_ge_60,170.15
149,53.69,41.61,34.23,0.074,0.04,0.027,1.159,1.069,1.041,18.6,35.32,-18.99,17.46,18.5,-16.94,-10.0,-20.5,-22.0,pair_inside_v,vwap_aligned + body_ge_60,161.99
71,53.52,38.03,33.8,0.07,-0.049,0.014,1.152,0.92,1.021,9.81,17.24,-13.59,9.93,10.14,-11.49,-10.0,-13.5,-11.0,triple_inside_v,risk_le_15 + body_ge_60 + has_liq_sweep,160.72
115,53.04,39.13,33.91,0.061,-0.022,0.017,1.13,0.964,1.026,18.96,33.04,-19.46,18.0,17.31,-17.78,-10.0,-14.0,-13.0,triple_inside_v,vwap_aligned + body_ge_60 + has_liq_sweep,157.14
88,52.27,40.91,31.82,0.045,0.023,-0.045,1.095,1.038,0.933,10.24,21.52,-11.17,11.25,9.38,-11.19,-7.0,-13.5,-13.0,triple_inside_v,fib_50 + risk_le_15 + has_liq_sweep,155.77
81,51.85,41.98,34.57,0.037,0.049,0.037,1.077,1.085,1.057,17.85,38.43,-18.84,18.0,12.41,-13.71,-5.0,-7.5,-11.0,pair_inside_v,rel_vol_ge_1_25 + body_ge_60,155.75
258,51.94,40.7,32.95,0.039,0.017,-0.012,1.081,1.029,0.983,19.13,36.48,-20.15,18.18,16.31,-17.73,-19.0,-28.0,-31.0,single_inside_v,body_ge_60,155.44
134,52.99,38.81,33.58,0.06,-0.03,0.007,1.127,0.951,1.011,9.06,19.66,-10.46,9.04,8.2,-9.15,-11.0,-15.0,-15.0,triple_inside_v,risk_le_15 + rel_vol_ge_1_25 + has_liq_sweep,155.19
54,51.85,40.74,33.33,0.037,0.019,0.0,1.077,1.031,1.0,18.23,39.22,-17.24,18.5,16.2,-12.32,-7.0,-7.5,-8.0,triple_inside_v,vwap_aligned + rel_vol_ge_1_25 + body_ge_60,152.75
132,52.27,40.91,31.82,0.045,0.023,-0.045,1.095,1.038,0.933,12.7,23.63,-13.58,12.88,12.25,-13.31,-11.0,-18.5,-23.0,triple_inside_v,fib_50 + risk_le_20 + has_liq_sweep,149.77
146,52.05,40.41,32.88,0.041,0.01,-0.014,1.086,1.017,0.98,12.21,23.95,-14.27,12.77,11.28,-12.38,-11.0,-16.5,-23.0,pair_inside_v,risk_le_20 + body_ge_60,148.25
203,50.25,37.93,32.02,0.005,-0.052,-0.039,1.01,0.917,0.942,19.85,34.9,-21.21,19.1,16.0,-18.5,-25.0,-31.5,-29.0,pair_inside_v,body_ge_60 + has_liq_sweep,134.25
60,48.33,38.33,31.67,-0.033,-0.042,-0.05,0.935,0.932,0.927,17.97,33.53,-18.98,17.5,10.22,-13.67,-8.0,-9.0,-11.0,triple_inside_v,rel_vol_ge_1_25 + body_ge_60 + has_liq_sweep,126.53
111,49.55,36.94,31.53,-0.009,-0.077,-0.054,0.982,0.879,0.921,12.68,22.02,-15.79,13.38,11.9,-14.2,-14.0,-22.0,-24.0,triple_inside_v,risk_le_20 + body_ge_60 + has_liq_sweep,125.85
70,48.57,41.43,32.86,-0.029,0.036,-0.014,0.944,1.061,0.979,19.1,36.75,-21.23,18.0,17.25,-18.56,-11.0,-10.0,-15.0,pair_inside_v,fib_50 + body_ge_60,123.57
51,45.1,37.25,31.37,-0.098,-0.069,-0.059,0.821,0.891,0.914,20.63,33.37,-23.67,19.25,16.12,-22.75,-14.0,-12.5,-15.0,triple_inside_v,fib_50 + body_ge_60 + has_liq_sweep,96.4
