candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,risk_points
86,true,"",2026-03-16T12:00:00.000000,2026-03-16T14:50:00.000000,bull,NQM6,24799.0,24833.25,24816.125,34.25,24833.25,24799.0,34.25
87,true,"",2026-03-17T16:00:00.000000,2026-03-17T16:07:00.000000,bull,NQM6,24860.25,24946.25,24903.25,86.0,24946.25,24860.25,86.0
88,true,"",2026-03-18T04:00:00.000000,2026-03-18T04:41:00.000000,bull,NQM6,25030.0,25130.5,25080.25,100.5,25130.5,25030.0,100.5
90,true,"",2026-03-18T16:00:00.000000,2026-03-18T18:04:00.000000,bear,NQM6,24916.5,25097.5,25007.0,181.0,24916.5,25097.5,181.0
84,true,"",2026-03-16T00:00:00.000000,2026-03-18T19:59:00.000000,bull,NQM6,24400.25,24647.0,24523.625,246.75,24647.0,24400.25,246.75
91,true,"",2026-03-18T20:00:00.000000,2026-03-18T20:01:00.000000,bear,NQM6,24690.0,24811.75,24750.875,121.75,24690.0,24811.75,121.75
92,true,"",2026-03-20T20:00:00.000000,2026-03-20T20:59:00.000000,bear,NQM6,24219.75,24231.25,24225.5,11.5,24219.75,24231.25,11.5
93,true,"",2026-03-23T00:00:00.000000,2026-03-23T00:23:00.000000,bear,NQM6,24091.0,24096.0,24093.5,5.0,24091.0,24096.0,5.0
94,true,"",2026-03-23T12:00:00.000000,2026-03-23T12:01:00.000000,bull,NQM6,24033.75,24345.0,24189.375,311.25,24345.0,24033.75,311.25
95,true,"",2026-03-26T20:00:00.000000,2026-03-26T20:12:00.000000,bear,NQM6,24022.25,24030.25,24026.25,8.0,24022.25,24030.25,8.0
98,true,"",2026-03-27T20:00:00.000000,2026-03-27T20:01:00.000000,bear,NQM6,23330.5,23440.0,23385.25,109.5,23330.5,23440.0,109.5
99,true,"",2026-03-29T20:00:00.000000,2026-03-29T22:22:00.000000,bear,NQM6,23242.25,23269.0,23255.625,26.75,23242.25,23269.0,26.75
100,true,"",2026-03-30T04:00:00.000000,2026-03-30T04:03:00.000000,bull,NQM6,23242.25,23288.25,23265.25,46.0,23288.25,23242.25,46.0
101,true,"",2026-03-30T08:00:00.000000,2026-03-30T10:43:00.000000,bull,NQM6,23306.5,23373.25,23339.875,66.75,23373.25,23306.5,66.75
97,true,"",2026-03-27T16:00:00.000000,2026-03-30T11:26:00.000000,bear,NQM6,23556.75,23608.25,23582.5,51.5,23556.75,23608.25,51.5
102,true,"",2026-03-30T20:00:00.000000,2026-03-30T22:05:00.000000,bear,NQM6,23147.75,23262.25,23205.0,114.5,23147.75,23262.25,114.5
103,true,"",2026-03-31T04:00:00.000000,2026-03-31T05:15:00.000000,bull,NQM6,23147.75,23235.0,23191.375,87.25,23235.0,23147.75,87.25
96,true,"",2026-03-27T12:00:00.000000,2026-03-31T16:39:00.000000,bear,NQM6,23667.5,23853.75,23760.625,186.25,23667.5,23853.75,186.25
105,true,"",2026-03-31T20:00:00.000000,2026-03-31T20:04:00.000000,bull,NQM6,23587.75,23868.25,23728.0,280.5,23868.25,23587.75,280.5
106,true,"",2026-04-02T04:00:00.000000,2026-04-02T07:59:00.000000,bear,NQM6,23882.0,24158.0,24020.0,276.0,23882.0,24158.0,276.0
107,true,"",2026-04-02T16:00:00.000000,2026-04-02T16:20:00.000000,bull,NQM6,23881.75,24057.5,23969.625,175.75,24057.5,23881.75,175.75
108,true,"",2026-04-05T20:00:00.000000,2026-04-05T22:58:00.000000,bear,NQM6,24097.0,24114.25,24105.625,17.25,24097.0,24114.25,17.25
109,true,"",2026-04-06T04:00:00.000000,2026-04-06T07:11:00.000000,bull,NQM6,24097.0,24207.25,24152.125,110.25,24207.25,24097.0,110.25
