signal_id,ts,open,high,low,close,volume,trade_date,year,hour,minute,bias15,prev_close,prev_volume,in_orb,after_orb,orb_high,orb_low,orb_break_up_bar,orb_break_down_bar,orb_broke_up,orb_broke_down,bar_range,body_signed,body_abs,body_pct,bear_move,bull_move,vol_spike,long_signal,short_signal,direction,side,long_entry_382,long_entry_50,short_entry_382,short_entry_50,entry_382,entry_50,stop,risk_382,risk_50
12,2020-03-03T12:40:00.000000,8686.5,8689.5,8618.25,8620.0,11065.0,2020-03-03,2020,12,40,-1,8687.25,8700.0,false,true,8904.0,8801.5,false,true,true,true,71.25,-66.5,66.5,93.33333333333333,66.5,-66.5,true,false,true,-1,SHORT,8645.4675,8653.875,8662.2825,8653.875,8662.2825,8653.875,8904.0,241.71750000000065,250.125
16,2020-03-09T13:55:00.000000,8042.5,8046.75,7931.75,7933.25,13793.0,2020-03-09,2020,13,55,-1,8043.5,6656.0,false,true,8134.5,8076.75,false,true,true,true,115.0,-109.25,109.25,95.0,109.25,-109.25,true,false,true,-1,SHORT,7975.68,7989.25,8002.82,7989.25,8002.82,7989.25,8134.5,131.6800000000003,145.25
18,2020-03-12T11:00:00.000000,7592.0,7770.0,7529.0,7759.0,18691.0,2020-03-12,2020,11,0,1,7594.25,14351.0,false,true,7581.5,7511.25,true,false,true,true,241.0,167.0,167.0,69.29460580912863,-167.0,167.0,true,true,false,1,LONG,7621.062,7649.5,7677.938,7649.5,7621.062,7649.5,7511.25,109.8119999999999,138.25
19,2020-03-12T11:35:00.000000,7554.25,7558.25,7448.25,7452.25,10280.0,2020-03-12,2020,11,35,-1,7555.5,7236.0,false,true,7581.5,7511.25,false,true,true,true,110.0,-102.0,102.0,92.72727272727272,102.0,-102.0,true,false,true,-1,SHORT,7490.27,7503.25,7516.23,7503.25,7516.23,7503.25,7581.5,65.27000000000044,78.25
20,2020-03-12T13:55:00.000000,7377.25,7377.25,7247.75,7260.5,26886.0,2020-03-12,2020,13,55,-1,7377.0,11850.0,false,true,7581.5,7511.25,false,true,true,true,129.5,-116.75,116.75,90.15444015444015,116.75,-116.75,true,false,true,-1,SHORT,7297.219,7312.5,7327.781,7312.5,7327.781,7312.5,7581.5,253.71900000000005,269.0
21,2020-03-13T08:55:00.000000,7515.25,7522.25,7443.75,7445.5,5671.0,2020-03-13,2020,8,55,-1,7513.5,3785.0,false,true,7601.75,7500.75,false,true,false,true,78.5,-69.75,69.75,88.85350318471338,69.75,-69.75,true,false,true,-1,SHORT,7473.737,7483.0,7492.263,7483.0,7492.263,7483.0,7601.75,109.48700000000008,118.75
22,2020-03-13T13:50:00.000000,7704.75,7830.75,7702.5,7828.0,11647.0,2020-03-13,2020,13,50,1,7699.25,3396.0,false,true,7601.75,7500.75,true,false,true,true,128.25,123.25,123.25,96.10136452241716,-123.25,123.25,true,true,false,1,LONG,7751.4915,7766.625,7781.7585,7766.625,7751.4915,7766.625,7500.75,250.7415000000001,265.875
23,2020-03-13T13:55:00.000000,7828.0,7953.0,7789.0,7932.0,22185.0,2020-03-13,2020,13,55,1,7828.0,11647.0,false,true,7601.75,7500.75,true,false,true,true,164.0,104.0,104.0,63.41463414634146,-104.0,104.0,true,true,false,1,LONG,7851.648,7871.0,7890.352,7871.0,7851.648,7871.0,7500.75,350.89800000000014,370.25
24,2020-03-16T12:30:00.000000,7265.25,7369.75,7248.25,7361.25,5743.0,2020-03-16,2020,12,30,1,7265.0,3587.0,false,true,7421.5,7242.0,false,false,true,true,121.5,96.0,96.0,79.01234567901234,-96.0,96.0,true,true,false,1,LONG,7294.663,7309.0,7323.337,7309.0,7294.663,7309.0,7242.0,52.662999999999556,67.0
25,2020-03-16T13:45:00.000000,7261.25,7268.25,7180.25,7191.0,5853.0,2020-03-16,2020,13,45,-1,7261.0,5465.0,false,true,7421.5,7242.0,false,true,true,true,88.0,-70.25,70.25,79.82954545454545,70.25,-70.25,true,false,true,-1,SHORT,7213.866,7224.25,7234.634,7224.25,7234.634,7224.25,7421.5,186.86599999999999,197.25
26,2020-03-16T13:55:00.000000,7106.25,7108.25,6906.0,6933.75,22867.0,2020-03-16,2020,13,55,-1,7106.0,5295.0,false,true,7421.5,7242.0,false,true,true,true,202.25,-172.5,172.5,85.29048207663782,172.5,-172.5,true,false,true,-1,SHORT,6983.2595,7007.125,7030.9905,7007.125,7030.9905,7007.125,7421.5,390.5095000000001,414.375
27,2020-03-17T09:05:00.000000,7231.75,7305.5,7229.0,7304.0,9562.0,2020-03-17,2020,9,5,1,7232.5,8603.0,false,true,7187.75,7106.0,true,false,true,false,76.5,72.25,72.25,94.44444444444444,-72.25,72.25,true,true,false,1,LONG,7258.223,7267.25,7276.277,7267.25,7258.223,7267.25,7106.0,152.22299999999996,161.25
28,2020-03-17T10:05:00.000000,7432.75,7508.75,7430.75,7505.0,7255.0,2020-03-17,2020,10,5,1,7430.75,4120.0,false,true,7187.75,7106.0,true,false,true,false,78.0,72.25,72.25,92.62820512820514,-72.25,72.25,true,true,false,1,LONG,7460.546,7469.75,7478.954,7469.75,7460.546,7469.75,7106.0,354.5460000000003,363.75
29,2020-03-18T11:30:00.000000,6949.5,6949.75,6840.25,6874.0,9121.0,2020-03-18,2020,11,30,-1,6948.75,4059.0,false,true,7293.75,7215.5,false,true,false,true,109.5,-75.5,75.5,68.94977168949772,75.5,-75.5,true,false,true,-1,SHORT,6882.079,6895.0,6907.921,6895.0,6907.921,6895.0,7293.75,385.8289999999997,398.75
30,2020-03-18T13:00:00.000000,7032.25,7047.25,6941.75,6956.25,5724.0,2020-03-18,2020,13,0,-1,7030.75,5538.0,false,true,7293.75,7215.5,false,true,false,true,105.5,-76.0,76.0,72.03791469194313,76.0,-76.0,true,false,true,-1,SHORT,6982.051,6994.5,7006.949,6994.5,7006.949,6994.5,7293.75,286.8010000000004,299.25
31,2020-03-18T13:20:00.000000,7002.25,7004.0,6918.25,6920.5,3894.0,2020-03-18,2020,13,20,-1,7000.0,3782.0,false,true,7293.75,7215.5,false,true,false,true,85.75,-81.75,81.75,95.33527696793003,81.75,-81.75,true,false,true,-1,SHORT,6951.0065,6961.125,6971.2435,6961.125,6971.2435,6961.125,7293.75,322.5065000000004,332.625
32,2020-03-19T09:55:00.000000,7394.5,7414.5,7311.25,7322.5,6035.0,2020-03-19,2020,9,55,-1,7393.75,3249.0,false,true,7377.5,7220.0,false,false,true,true,103.25,-72.0,72.0,69.73365617433413,72.0,-72.0,true,false,true,-1,SHORT,7350.6915,7362.875,7375.0585,7362.875,7375.0585,7362.875,7377.5,2.4414999999999054,14.625
34,2020-03-20T09:20:00.000000,7382.5,7384.75,7301.25,7302.5,10357.0,2020-03-20,2020,9,20,-1,7382.75,5794.0,false,true,7462.25,7406.0,false,true,true,true,83.5,-80.0,80.0,95.80838323353294,80.0,-80.0,true,false,true,-1,SHORT,7333.147,7343.0,7352.853,7343.0,7352.853,7343.0,7462.25,109.39699999999993,119.25
35,2020-03-20T10:05:00.000000,7277.25,7279.75,7196.25,7198.0,6707.0,2020-03-20,2020,10,5,-1,7278.25,4075.0,false,true,7462.25,7406.0,false,true,true,true,83.5,-79.25,79.25,94.91017964071857,79.25,-79.25,true,false,true,-1,SHORT,7228.147,7238.0,7247.853,7238.0,7247.853,7238.0,7462.25,214.39699999999993,224.25
38,2020-03-23T11:10:00.000000,7053.25,7142.25,7053.0,7124.25,4595.0,2020-03-23,2020,11,10,1,7053.0,3244.0,false,true,7051.25,6964.75,true,false,true,true,89.25,71.0,71.0,79.55182072829132,-71.0,71.0,true,true,false,1,LONG,7087.0935,7097.625,7108.1565,7097.625,7087.0935,7097.625,6964.75,122.34349999999995,132.875
40,2020-03-26T13:50:00.000000,7727.25,7887.5,7727.25,7884.0,18849.0,2020-03-26,2020,13,50,1,7726.25,5786.0,false,true,7717.0,7642.25,true,false,true,true,160.25,156.75,156.75,97.81591263650546,-156.75,156.75,true,true,false,1,LONG,7788.4655,7807.375,7826.2845,7807.375,7788.4655,7807.375,7642.25,146.21550000000025,165.125
41,2020-03-27T13:50:00.000000,7643.5,7643.5,7563.75,7564.75,11743.0,2020-03-27,2020,13,50,-1,7643.0,7170.0,false,true,7625.25,7585.75,false,true,true,true,79.75,-78.75,78.75,98.7460815047022,78.75,-78.75,true,false,true,-1,SHORT,7594.2145,7603.625,7613.0355,7603.625,7613.0355,7603.625,7625.25,12.214500000000044,21.625
42,2020-04-06T13:50:00.000000,8002.5,8085.5,8002.25,8084.5,15968.0,2020-04-06,2020,13,50,1,8002.25,4360.0,false,true,7881.25,7838.75,true,false,true,false,83.25,82.0,82.0,98.49849849849849,-82.0,82.0,true,true,false,1,LONG,8034.0515,8043.875,8053.6985,8043.875,8034.0515,8043.875,7838.75,195.30149999999958,205.125
43,2020-04-07T13:50:00.000000,8160.0,8163.75,8031.25,8070.5,10920.0,2020-04-07,2020,13,50,-1,8160.0,6012.0,false,true,8169.25,8117.5,false,true,true,true,132.5,-89.5,89.5,67.54716981132076,89.5,-89.5,true,false,true,-1,SHORT,8081.865,8097.5,8113.135,8097.5,8113.135,8097.5,8169.25,56.11499999999978,71.75
44,2020-05-29T12:55:00.000000,9425.5,9498.5,9408.5,9497.5,16784.0,2020-05-29,2020,12,55,1,9425.75,12587.0,false,true,9433.0,9397.0,true,false,true,true,90.0,72.0,72.0,80.0,-72.0,72.0,true,true,false,1,LONG,9442.88,9453.5,9464.12,9453.5,9442.88,9453.5,9397.0,45.8799999999992,56.5
45,2020-07-13T13:00:00.000000,10870.5,10874.0,10804.5,10805.5,11380.0,2020-07-13,2020,13,0,-1,10870.5,6823.0,false,true,11014.25,10975.5,false,true,true,true,69.5,-65.0,65.0,93.5251798561151,65.0,-65.0,true,false,true,-1,SHORT,10831.049,10839.25,10847.451,10839.25,10847.451,10839.25,11014.25,166.7990000000009,175.0
46,2020-07-13T13:30:00.000000,10703.5,10716.5,10608.5,10611.5,20908.0,2020-07-13,2020,13,30,-1,10703.5,13316.0,false,true,11014.25,10975.5,false,true,true,true,108.0,-92.0,92.0,85.18518518518519,92.0,-92.0,true,false,true,-1,SHORT,10649.756,10662.5,10675.244,10662.5,10675.244,10662.5,11014.25,339.0059999999994,351.75
48,2020-07-30T14:05:00.000000,10697.75,10783.75,10691.5,10780.0,8972.0,2020-07-30,2020,14,5,1,10698.0,3154.0,false,true,10599.0,10550.75,true,false,true,false,92.25,82.25,82.25,89.15989159891599,-82.25,82.25,true,true,false,1,LONG,10726.7395,10737.625,10748.5105,10737.625,10726.7395,10737.625,10550.75,175.98949999999968,186.875
49,2020-07-30T14:30:00.000000,10812.0,10886.25,10812.0,10885.0,5988.0,2020-07-30,2020,14,30,1,10793.5,5348.0,false,true,10599.0,10550.75,true,false,true,false,74.25,73.0,73.0,98.31649831649831,-73.0,73.0,true,true,false,1,LONG,10840.3635,10849.125,10857.8865,10849.125,10840.3635,10849.125,10550.75,289.6134999999995,298.375
50,2020-09-02T09:35:00.000000,12265.75,12270.75,12172.25,12174.25,20227.0,2020-09-02,2020,9,35,-1,12266.0,10477.0,false,true,12354.5,12282.5,false,true,false,true,98.5,-91.5,91.5,92.89340101522842,91.5,-91.5,true,false,true,-1,SHORT,12209.877,12221.5,12233.123,12221.5,12233.123,12221.5,12354.5,121.37700000000041,133.0
51,2020-09-03T09:15:00.000000,11899.5,11899.5,11761.0,11769.25,19382.0,2020-09-03,2020,9,15,-1,11899.75,12721.0,false,true,12075.0,11967.25,false,true,false,true,138.5,-130.25,130.25,94.04332129963899,130.25,-130.25,true,false,true,-1,SHORT,11813.907,11830.25,11846.593,11830.25,11846.593,11830.25,12075.0,228.40699999999924,244.75
52,2020-09-03T09:55:00.000000,11942.5,11943.25,11857.0,11869.25,10258.0,2020-09-03,2020,9,55,-1,11942.75,6292.0,false,true,12075.0,11967.25,false,true,false,true,86.25,-73.25,73.25,84.92753623188406,73.25,-73.25,true,false,true,-1,SHORT,11889.9475,11900.125,11910.3025,11900.125,11910.3025,11900.125,12075.0,164.69750000000022,174.875
53,2020-09-04T09:50:00.000000,11397.5,11476.5,11386.5,11472.25,13373.0,2020-09-04,2020,9,50,1,11397.75,8185.0,false,true,11390.0,11142.0,true,false,true,false,90.0,74.75,74.75,83.05555555555556,-74.75,74.75,true,true,false,1,LONG,11420.88,11431.5,11442.12,11431.5,11420.88,11431.5,11142.0,278.8799999999992,289.5
54,2020-09-04T12:35:00.000000,11524.75,11595.5,11524.75,11590.25,9488.0,2020-09-04,2020,12,35,1,11525.25,7041.0,false,true,11390.0,11142.0,true,false,true,false,70.75,65.5,65.5,92.57950530035336,-65.5,65.5,true,true,false,1,LONG,11551.7765,11560.125,11568.4735,11560.125,11551.7765,11560.125,11142.0,409.77649999999994,418.125
55,2020-09-10T08:55:00.000000,11468.5,11475.5,11378.5,11394.0,15765.0,2020-09-10,2020,8,55,-1,11468.0,9549.0,false,true,11557.5,11499.75,false,true,false,true,97.0,-74.5,74.5,76.80412371134021,74.5,-74.5,true,false,true,-1,SHORT,11415.554,11427.0,11438.446,11427.0,11438.446,11427.0,11557.5,119.05400000000009,130.5
56,2020-10-06T12:50:00.000000,11454.25,11456.0,11334.0,11336.0,21818.0,2020-10-06,2020,12,50,-1,11454.5,10658.0,false,true,11497.75,11433.75,false,true,true,true,122.0,-118.25,118.25,96.92622950819673,118.25,-118.25,true,false,true,-1,SHORT,11380.604,11395.0,11409.396,11395.0,11409.396,11395.0,11497.75,88.35399999999936,102.75
58,2020-10-29T14:30:00.000000,11335.5,11339.5,11220.0,11249.0,6828.0,2020-10-29,2020,14,30,-1,11322.0,5764.0,false,true,11307.25,11265.25,false,true,true,true,119.5,-86.5,86.5,72.38493723849372,86.5,-86.5,true,false,true,-1,SHORT,11265.649,11279.75,11293.851,11279.75,11293.851,11279.75,11307.25,13.398999999999432,27.5
60,2020-11-09T09:00:00.000000,12112.0,12216.5,12108.75,12214.0,11882.0,2020-11-09,2020,9,0,1,12112.5,9444.0,false,true,12212.0,12042.0,true,false,true,false,107.75,102.0,102.0,94.66357308584686,-102.0,102.0,true,true,false,1,LONG,12149.9105,12162.625,12175.3395,12162.625,12149.9105,12162.625,12042.0,107.91049999999996,120.625
61,2021-02-10T09:20:00.000000,13674.75,13675.0,13568.0,13578.75,25739.0,2021-02-10,2021,9,20,-1,13675.0,11958.0,false,true,13762.0,13714.25,false,true,false,true,107.0,-96.0,96.0,89.7196261682243,96.0,-96.0,true,false,true,-1,SHORT,13608.874,13621.5,13634.126,13621.5,13634.126,13621.5,13762.0,127.8739999999998,140.5
62,2021-02-10T09:40:00.000000,13599.25,13612.5,13516.75,13530.25,16306.0,2021-02-10,2021,9,40,-1,13599.25,10036.0,false,true,13762.0,13714.25,false,true,false,true,95.75,-69.0,69.0,72.0626631853786,69.0,-69.0,true,false,true,-1,SHORT,13553.3265,13564.625,13575.9235,13564.625,13575.9235,13564.625,13762.0,186.0764999999992,197.375
63,2021-02-23T11:35:00.000000,12994.75,12995.0,12924.75,12929.25,8837.0,2021-02-23,2021,11,35,-1,12995.25,5521.0,false,true,13016.25,12824.5,false,false,true,true,70.25,-65.5,65.5,93.23843416370107,65.5,-65.5,true,false,true,-1,SHORT,12951.5855,12959.875,12968.1645,12959.875,12968.1645,12959.875,13016.25,48.08549999999923,56.375
64,2021-02-26T14:50:00.000000,13056.5,13057.25,12950.25,12955.0,10524.0,2021-02-26,2021,14,50,-1,13057.0,6770.0,false,true,13032.0,12929.25,false,false,true,true,107.0,-101.5,101.5,94.85981308411215,101.5,-101.5,true,false,true,-1,SHORT,12991.124,13003.75,13016.376,13003.75,13016.376,13003.75,13032.0,15.623999999999796,28.25
65,2021-03-03T09:10:00.000000,12915.75,12919.75,12841.0,12842.25,13351.0,2021-03-03,2021,9,10,-1,12916.0,9812.0,false,true,13052.0,12929.25,false,true,false,true,78.75,-73.5,73.5,93.33333333333333,73.5,-73.5,true,false,true,-1,SHORT,12871.0825,12880.375,12889.6675,12880.375,12889.6675,12880.375,13052.0,162.33250000000044,171.625
66,2021-03-04T08:45:00.000000,12717.75,12725.75,12612.5,12614.75,19132.0,2021-03-04,2021,8,45,-1,12717.25,10048.0,false,true,12765.0,12649.25,false,true,false,true,113.25,-103.0,103.0,90.94922737306842,103.0,-103.0,true,false,true,-1,SHORT,12655.7615,12669.125,12682.4885,12669.125,12682.4885,12669.125,12765.0,82.51150000000052,95.875
67,2021-03-04T11:10:00.000000,12770.25,12770.25,12674.25,12685.75,15079.0,2021-03-04,2021,11,10,-1,12770.25,5888.0,false,true,12765.0,12649.25,false,false,true,true,96.0,-84.5,84.5,88.02083333333334,84.5,-84.5,true,false,true,-1,SHORT,12710.922,12722.25,12733.578,12722.25,12733.578,12722.25,12765.0,31.42200000000048,42.75
68,2021-03-04T11:20:00.000000,12709.25,12735.5,12614.25,12622.5,17904.0,2021-03-04,2021,11,20,-1,12709.5,11333.0,false,true,12765.0,12649.25,false,true,true,true,121.25,-86.75,86.75,71.54639175257732,86.75,-86.75,true,false,true,-1,SHORT,12660.5675,12674.875,12689.1825,12674.875,12689.1825,12674.875,12765.0,75.8174999999992,90.125
70,2021-03-17T12:10:00.000000,13073.5,13153.0,13072.75,13140.0,11233.0,2021-03-17,2021,12,10,1,13073.0,10909.0,false,true,13073.25,13005.0,true,false,true,true,80.25,66.5,66.5,82.86604361370716,-66.5,66.5,true,true,false,1,LONG,13103.4055,13112.875,13122.3445,13112.875,13103.4055,13112.875,13005.0,98.40550000000076,107.875
71,2021-03-17T12:40:00.000000,13143.75,13224.0,13140.5,13219.0,11133.0,2021-03-17,2021,12,40,1,13144.0,6881.0,false,true,13073.25,13005.0,true,false,true,true,83.5,75.25,75.25,90.11976047904191,-75.25,75.25,true,true,false,1,LONG,13172.397,13182.25,13192.103,13182.25,13172.397,13182.25,13005.0,167.39700000000084,177.25
73,2021-05-19T12:20:00.000000,13136.0,13231.75,13136.0,13214.75,13663.0,2021-05-19,2021,12,20,1,13136.25,5695.0,false,true,13102.75,13044.0,true,false,true,false,95.75,78.75,78.75,82.24543080939948,-78.75,78.75,true,true,false,1,LONG,13172.5765,13183.875,13195.1735,13183.875,13172.5765,13183.875,13044.0,128.5764999999992,139.875
74,2021-06-16T12:00:00.000000,14014.0,14014.0,13880.5,13909.25,27657.0,2021-06-16,2021,12,0,-1,14014.5,1504.0,false,true,14083.75,14054.75,false,true,false,true,133.5,-104.75,104.75,78.46441947565543,104.75,-104.75,true,false,true,-1,SHORT,13931.497,13947.25,13963.003,13947.25,13963.003,13947.25,14083.75,120.74699999999939,136.5
75,2021-10-01T09:10:00.000000,14585.25,14665.75,14585.25,14657.5,10641.0,2021-10-01,2021,9,10,1,14585.25,6198.0,false,true,14582.25,14537.0,true,false,true,false,80.5,72.25,72.25,89.75155279503106,-72.25,72.25,true,true,false,1,LONG,14616.001,14625.5,14634.999,14625.5,14616.001,14625.5,14537.0,79.0010000000002,88.5
76,2021-10-28T14:30:00.000000,15714.75,15714.75,15625.75,15643.75,7604.0,2021-10-28,2021,14,30,-1,15715.75,477.0,false,true,15723.5,15695.5,false,true,true,true,89.0,-71.0,71.0,79.7752808988764,71.0,-71.0,true,false,true,-1,SHORT,15659.748,15670.25,15680.752,15670.25,15680.752,15670.25,15723.5,42.74799999999959,53.25
77,2021-11-03T12:00:00.000000,15968.5,16053.0,15955.5,16037.75,19928.0,2021-11-03,2021,12,0,1,15968.5,1177.0,false,true,15966.75,15939.5,true,false,true,false,97.5,69.25,69.25,71.02564102564102,-69.25,69.25,true,true,false,1,LONG,15992.745,16004.25,16015.755,16004.25,15992.745,16004.25,15939.5,53.2450000000008,64.75
78,2021-11-09T08:55:00.000000,16300.0,16312.5,16197.75,16226.0,25585.0,2021-11-09,2021,8,55,-1,16300.0,15521.0,false,true,16391.75,16354.0,false,true,false,true,114.75,-74.0,74.0,64.4880174291939,74.0,-74.0,true,false,true,-1,SHORT,16241.5845,16255.125,16268.6655,16255.125,16268.6655,16255.125,16391.75,123.08450000000084,136.625
79,2021-11-15T10:40:00.000000,16174.75,16178.25,16099.5,16105.0,14746.0,2021-11-15,2021,10,40,-1,16175.0,6486.0,false,true,16254.25,16211.5,false,true,false,true,78.75,-69.75,69.75,88.57142857142857,69.75,-69.75,true,false,true,-1,SHORT,16129.5825,16138.875,16148.1675,16138.875,16148.1675,16138.875,16254.25,106.08250000000044,115.375
80,2021-11-22T14:50:00.000000,16479.0,16479.0,16407.0,16411.5,18424.0,2021-11-22,2021,14,50,-1,16479.25,9376.0,false,true,16711.5,16638.25,false,true,true,true,72.0,-67.5,67.5,93.75,67.5,-67.5,true,false,true,-1,SHORT,16434.504,16443.0,16451.496,16443.0,16451.496,16443.0,16711.5,260.0040000000008,268.5
81,2021-11-30T09:45:00.000000,16349.25,16353.25,16262.75,16268.5,14833.0,2021-11-30,2021,9,45,-1,16349.0,9670.0,false,true,16372.25,16319.0,false,true,true,true,90.5,-80.75,80.75,89.22651933701657,80.75,-80.75,true,false,true,-1,SHORT,16297.321,16308.0,16318.679,16308.0,16318.679,16308.0,16372.25,53.57099999999991,64.25
82,2021-12-01T14:55:00.000000,15960.25,15964.25,15858.5,15874.75,25579.0,2021-12-01,2021,14,55,-1,15960.75,14838.0,false,true,16353.75,16270.5,false,true,true,true,105.75,-85.5,85.5,80.85106382978722,85.5,-85.5,true,false,true,-1,SHORT,15898.8965,15911.375,15923.8535,15911.375,15923.8535,15911.375,16353.75,429.89650000000074,442.375
83,2021-12-02T09:55:00.000000,15801.25,15907.5,15799.25,15892.5,12929.0,2021-12-02,2021,9,55,1,15802.25,10617.0,false,true,15978.75,15788.5,false,false,true,true,108.25,91.25,91.25,84.29561200923787,-91.25,91.25,true,true,false,1,LONG,15840.6015,15853.375,15866.1485,15853.375,15840.6015,15853.375,15788.5,52.10150000000067,64.875
84,2021-12-03T08:50:00.000000,15917.5,15944.0,15833.25,15834.25,15849.0,2021-12-03,2021,8,50,-1,15916.75,10853.0,false,true,16090.5,15931.75,false,true,false,true,110.75,-83.25,83.25,75.16930022573364,83.25,-83.25,true,false,true,-1,SHORT,15875.5565,15888.625,15901.6935,15888.625,15901.6935,15888.625,16090.5,188.8065000000006,201.875
85,2021-12-15T13:35:00.000000,15897.75,15970.25,15888.0,15964.75,10769.0,2021-12-15,2021,13,35,1,15898.5,8336.0,false,true,15927.75,15859.5,true,false,true,true,82.25,67.0,67.0,81.45896656534954,-67.0,67.0,true,true,false,1,LONG,15919.4195,15929.125,15938.8305,15929.125,15919.4195,15929.125,15859.5,59.91949999999997,69.625
86,2021-12-15T14:05:00.000000,16037.0,16109.5,16027.25,16106.5,12750.0,2021-12-15,2021,14,5,1,16037.5,7952.0,false,true,15927.75,15859.5,true,false,true,true,82.25,69.5,69.5,84.49848024316108,-69.5,69.5,true,true,false,1,LONG,16058.6695,16068.375,16078.0805,16068.375,16058.6695,16068.375,15859.5,199.16949999999997,208.875
87,2021-12-15T14:50:00.000000,16192.0,16269.75,16188.5,16263.0,14099.0,2021-12-15,2021,14,50,1,16192.0,10188.0,false,true,15927.75,15859.5,true,false,true,true,81.25,71.0,71.0,87.38461538461539,-71.0,71.0,true,true,false,1,LONG,16219.5375,16229.125,16238.7125,16229.125,16219.5375,16229.125,15859.5,360.03750000000036,369.625
88,2021-12-16T10:00:00.000000,16122.75,16130.5,16033.75,16046.75,13970.0,2021-12-16,2021,10,0,-1,16122.0,6300.0,false,true,16342.0,16212.25,false,true,false,true,96.75,-76.0,76.0,78.55297157622739,76.0,-76.0,true,false,true,-1,SHORT,16070.7085,16082.125,16093.5415,16082.125,16093.5415,16082.125,16342.0,248.45850000000064,259.875
