direction,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group,fib,hour,risk_bucket,orb_range_bucket,body_pct_bucket,rel_vol_bucket,vwap_dist_bucket,liq_sweep_bucket,vwap_aligned,directional_displacement,directional_recent_fvg,directional_v_reversal
long,364,51.1,37.36,28.85,0.022,-0.066,-0.135,1.045,0.895,0.811,22.14,32.21,-20.97,21.43,-19.43,-14.0,-41.0,-54.0,direction_fib_rel_vol,0.382,,,,,normal,,,,,,
long,139,50.36,38.85,30.94,0.007,-0.029,-0.072,1.014,0.953,0.896,16.97,28.32,-15.97,12.0,-13.62,-14.0,-22.5,-27.0,direction_fib_liq,0.5,,,,,,,0,,,,
short,147,48.98,43.54,34.69,-0.02,0.088,0.041,0.96,1.157,1.062,17.91,36.18,-17.21,14.88,-14.5,-14.0,-15.5,-11.0,direction_fib_liq,0.5,,,,,,,0,,,,
short,139,51.08,41.01,32.37,0.022,0.025,-0.029,1.044,1.043,0.957,19.85,34.15,-19.27,17.82,-17.11,-15.0,-12.5,-17.0,direction_fib_liq,0.382,,,,,,,0,,,,
long,191,48.69,33.51,26.18,-0.026,-0.162,-0.215,0.949,0.756,0.709,34.57,45.41,-30.93,32.88,-35.25,-15.0,-37.0,-43.0,direction_fib_risk,0.382,,30-40,,,,,,,,,
long,160,47.5,41.88,32.5,-0.05,0.047,-0.025,0.905,1.081,0.963,15.91,26.39,-18.4,12.87,-15.63,-15.0,-12.0,-14.0,direction_fib_vwap_dist,0.618,,,,,,below,,,,,
short,215,47.44,34.42,26.98,-0.051,-0.14,-0.191,0.903,0.787,0.739,21.81,35.33,-20.37,18.78,-19.21,-15.0,-31.5,-44.0,direction_fib_rel_vol,0.382,,,,,high,,,,,,
short,182,46.15,33.52,28.02,-0.077,-0.162,-0.159,0.857,0.756,0.779,21.78,36.05,-21.97,17.57,-20.34,-15.0,-31.0,-32.0,direction_fib_vwap_dist,0.382,,,,,,far_above,,,,,
short,127,44.88,40.16,28.35,-0.102,0.004,-0.15,0.814,1.007,0.791,17.32,29.33,-16.26,14.58,-17.94,-15.0,-9.5,-29.0,direction_fib_risk,0.382,,15-20,,,,,,,,,
long,327,52.91,40.98,31.19,0.058,0.024,-0.064,1.123,1.041,0.907,19.53,32.3,-19.47,17.88,-17.5,-16.0,-16.0,-28.0,direction_fib_rel_vol,0.5,,,,,normal,,,,,,
