trades,wr_1R,avg_r_1R,pf_1R,wr_2R,avg_r_2R,pf_2R,avg_risk,avg_mfe,avg_mae,feature,side,threshold,max_dd_r_1R,max_dd_r_2R
4204,50.1,0.002,1.004,31.59,-0.052,0.924,17.12,30.66,-17.43,risk_points,<=,33.1385,-68.0,-335.0
3270,50.09,0.002,1.004,30.21,-0.094,0.866,17.77,30.53,-17.65,dist_vwap,>=,-10.2753,-71.0,-366.0
3744,50.05,0.001,1.002,31.6,-0.052,0.924,21.66,37.76,-21.87,atr_14,>=,4.9464,-66.0,-290.0
4205,50.06,0.001,1.002,31.39,-0.058,0.915,19.21,33.34,-19.13,rel_vol_20,<=,2.0175,-61.0,-338.0
4204,50.02,0.0,1.001,31.3,-0.061,0.911,19.12,33.27,-19.1,rel_vol_20,>=,0.7872,-79.0,-352.0
468,50.0,0.0,1.0,32.91,-0.013,0.981,5.36,10.87,-5.98,orb_range,<=,14.25,-20.0,-37.0
3744,50.0,0.0,1.0,30.93,-0.072,0.896,22.09,37.79,-21.94,risk_points,>=,9.75,-77.0,-352.0
3738,49.84,-0.003,0.994,30.52,-0.084,0.879,16.67,27.67,-16.28,atr_14,<=,13.8571,-70.0,-382.0
4205,49.85,-0.003,0.994,31.13,-0.066,0.904,20.59,35.48,-20.53,risk_points,>=,7.067,-80.0,-369.0
935,49.84,-0.003,0.994,31.66,-0.05,0.926,19.17,33.32,-19.25,rel_vol_20,<=,0.91,-34.0,-73.0
3737,49.83,-0.003,0.993,30.96,-0.071,0.897,19.01,32.84,-19.03,rel_vol_20,>=,0.91,-77.0,-349.0
4229,49.8,-0.004,0.992,30.93,-0.072,0.896,20.48,35.26,-20.45,orb_range,>=,14.25,-87.0,-398.0
3782,49.79,-0.004,0.992,31.09,-0.067,0.903,16.07,28.32,-16.31,orb_range,<=,56.25,-87.0,-354.0
3741,49.77,-0.005,0.991,31.92,-0.043,0.938,15.45,28.4,-15.87,risk_points,<=,28.125,-84.0,-286.0
939,49.73,-0.005,0.989,33.23,-0.003,0.995,28.49,53.83,-30.22,atr_14,>=,13.8571,-40.0,-53.0
4205,49.73,-0.005,0.989,31.01,-0.07,0.899,17.79,30.32,-17.52,atr_14,<=,16.875,-86.0,-389.0
3744,49.71,-0.006,0.988,30.82,-0.075,0.891,22.0,37.85,-21.97,orb_range,>=,20.25,-96.0,-361.0
946,49.68,-0.006,0.987,27.59,-0.172,0.762,33.37,50.63,-31.9,risk_points,>=,28.125,-39.0,-169.0
3739,49.61,-0.008,0.985,30.3,-0.091,0.87,18.84,31.24,-18.85,dist_vwap,<=,34.5422,-82.0,-405.0
4206,49.62,-0.008,0.985,31.1,-0.067,0.903,20.41,35.32,-20.47,atr_14,>=,3.4821,-107.0,-382.0
4204,49.62,-0.008,0.985,30.73,-0.078,0.887,18.29,31.22,-18.19,dist_vwap,>=,-44.7004,-92.0,-430.0
3275,49.5,-0.01,0.98,31.27,-0.062,0.91,14.4,25.85,-14.83,orb_range,<=,49.25,-93.0,-313.0
3272,49.48,-0.01,0.979,31.75,-0.047,0.931,13.9,25.84,-14.57,risk_points,<=,24.375,-67.0,-249.0
4204,49.45,-0.011,0.978,30.57,-0.083,0.88,18.82,31.74,-18.83,dist_vwap,<=,59.4331,-107.0,-428.0
3739,49.4,-0.012,0.976,29.95,-0.101,0.855,17.86,30.3,-17.83,dist_vwap,>=,-21.7703,-97.0,-466.0
3271,49.37,-0.013,0.975,30.97,-0.071,0.897,19.0,32.16,-19.07,rel_vol_20,>=,1.0112,-74.0,-302.0
1402,49.29,-0.014,0.972,33.24,-0.003,0.996,22.0,38.58,-22.36,dist_vwap,<=,-10.2753,-51.0,-75.0
475,49.26,-0.015,0.971,30.53,-0.084,0.879,5.07,9.91,-5.97,risk_points,<=,7.067,-22.0,-53.0
938,49.25,-0.015,0.971,31.77,-0.047,0.931,6.76,13.36,-7.51,risk_points,<=,9.75,-47.0,-62.0
3271,49.25,-0.015,0.97,30.3,-0.091,0.869,18.9,31.36,-18.91,dist_vwap,<=,19.5299,-100.0,-376.0
2803,49.23,-0.015,0.97,31.04,-0.069,0.9,18.9,32.03,-18.93,rel_vol_20,>=,1.0997,-69.0,-248.0
3271,49.07,-0.019,0.963,30.02,-0.099,0.858,15.41,24.94,-14.99,atr_14,<=,11.9464,-90.0,-378.0
2341,49.0,-0.02,0.961,28.79,-0.136,0.809,12.93,20.39,-12.27,atr_14,<=,9.0357,-74.0,-358.0
1869,49.01,-0.02,0.961,32.05,-0.039,0.943,20.98,36.02,-21.24,dist_vwap,<=,-2.3881,-72.0,-140.0
935,48.98,-0.02,0.96,29.2,-0.124,0.825,8.44,13.47,-7.75,atr_14,<=,4.9464,-40.0,-124.0
2803,48.88,-0.022,0.956,31.36,-0.059,0.914,12.43,23.35,-13.23,risk_points,<=,21.25,-92.0,-236.0
2829,48.89,-0.022,0.956,30.93,-0.072,0.896,12.97,23.42,-13.46,orb_range,<=,42.75,-92.0,-275.0
939,48.78,-0.024,0.952,30.03,-0.099,0.858,31.5,50.97,-30.73,orb_range,>=,56.25,-49.0,-104.0
2805,48.73,-0.025,0.951,29.45,-0.117,0.835,14.28,22.54,-13.8,atr_14,<=,10.3571,-92.0,-355.0
2803,48.56,-0.029,0.944,29.83,-0.105,0.85,19.17,31.55,-19.27,dist_vwap,<=,10.5466,-109.0,-344.0
2339,48.44,-0.031,0.939,31.17,-0.065,0.906,11.01,20.72,-11.79,risk_points,<=,18.0,-107.0,-209.0
4204,48.43,-0.031,0.939,29.97,-0.101,0.856,18.97,31.85,-19.2,body_pct,>=,0.175,-157.0,-503.0
1402,48.43,-0.031,0.939,31.53,-0.054,0.921,8.22,15.61,-8.94,risk_points,<=,12.5105,-68.0,-110.0
468,48.29,-0.034,0.934,29.49,-0.115,0.836,18.33,30.06,-18.78,rel_vol_20,<=,0.7872,-35.0,-63.0
1880,48.3,-0.034,0.934,28.51,-0.145,0.798,11.52,18.05,-11.05,atr_14,<=,7.7679,-79.0,-291.0
2336,48.24,-0.035,0.932,30.65,-0.08,0.884,19.8,33.22,-19.98,dist_vwap,<=,3.8169,-114.0,-236.0
1420,48.17,-0.037,0.929,31.13,-0.066,0.904,8.67,15.79,-9.1,orb_range,<=,25.25,-73.0,-120.0
468,48.08,-0.038,0.926,28.63,-0.141,0.802,17.53,29.39,-18.46,rel_vol_20,>=,2.0175,-46.0,-95.0
2336,48.07,-0.039,0.926,30.39,-0.088,0.873,18.69,31.46,-18.9,rel_vol_20,>=,1.203,-110.0,-239.0
1405,48.04,-0.039,0.925,29.04,-0.129,0.818,9.85,15.98,-9.28,atr_14,<=,6.4286,-63.0,-189.0
1872,48.02,-0.04,0.924,30.98,-0.071,0.898,9.62,17.71,-10.47,risk_points,<=,15.125,-102.0,-164.0
2342,47.44,-0.051,0.903,29.89,-0.103,0.853,11.46,19.83,-12.02,orb_range,<=,36.75,-151.0,-286.0
468,47.44,-0.051,0.902,26.71,-0.199,0.729,36.34,53.33,-33.8,risk_points,>=,33.1385,-33.0,-95.0
3743,47.42,-0.052,0.902,29.25,-0.122,0.827,18.97,31.03,-19.4,body_pct,>=,0.3158,-216.0,-529.0
1880,47.39,-0.052,0.901,30.16,-0.095,0.864,10.02,17.55,-10.48,orb_range,<=,30.75,-122.0,-218.0
1402,47.22,-0.056,0.895,30.1,-0.097,0.861,18.67,30.48,-19.08,rel_vol_20,>=,1.4615,-98.0,-163.0
1870,47.17,-0.057,0.893,29.57,-0.113,0.84,18.46,30.5,-18.78,rel_vol_20,>=,1.3155,-123.0,-244.0
473,47.15,-0.057,0.892,29.81,-0.106,0.849,32.75,54.96,-32.38,orb_range,>=,63.75,-39.0,-61.0
3272,46.27,-0.075,0.861,28.94,-0.132,0.815,18.87,30.12,-19.51,body_pct,>=,0.4375,-262.0,-469.0
935,45.67,-0.087,0.841,28.56,-0.143,0.799,18.1,28.44,-19.29,rel_vol_20,>=,1.6371,-99.0,-156.0
4204,45.05,-0.099,0.82,25.38,-0.239,0.68,19.58,29.51,-21.0,mae_points,<=,-4.21,-429.0,-1031.0
2811,44.65,-0.107,0.807,28.18,-0.155,0.785,18.91,29.45,-19.78,body_pct,>=,0.5263,-314.0,-458.0
4204,44.27,-0.115,0.794,23.45,-0.296,0.613,18.28,21.42,-19.74,mfe_points,<=,84.0,-488.0,-1253.0
2362,43.01,-0.14,0.755,27.1,-0.187,0.743,18.98,28.12,-20.17,body_pct,>=,0.6,-344.0,-469.0
1402,43.01,-0.14,0.755,26.53,-0.204,0.722,19.31,27.76,-20.87,body_pct,>=,0.7419,-206.0,-298.0
3737,42.23,-0.155,0.731,22.58,-0.322,0.583,20.69,28.9,-22.88,mae_points,<=,-7.6485,-589.0,-1222.0
936,42.2,-0.156,0.73,26.28,-0.212,0.713,19.47,26.67,-21.8,body_pct,>=,0.8077,-154.0,-207.0
1873,42.02,-0.16,0.725,26.32,-0.21,0.714,19.3,27.43,-20.76,body_pct,>=,0.6757,-307.0,-408.0
3270,40.18,-0.196,0.672,20.21,-0.394,0.507,21.83,28.04,-24.85,mae_points,<=,-10.55,-647.0,-1298.0
469,39.87,-0.203,0.663,24.52,-0.264,0.65,19.86,24.9,-21.8,body_pct,>=,0.8846,-99.0,-127.0
2803,38.35,-0.233,0.622,18.12,-0.456,0.443,23.19,27.67,-26.99,mae_points,<=,-13.433,-658.0,-1286.0
3737,37.3,-0.254,0.595,15.36,-0.539,0.363,17.7,15.61,-20.22,mfe_points,<=,55.3165,-953.0,-2018.0
2336,36.73,-0.265,0.581,16.61,-0.502,0.398,24.69,27.34,-29.38,mae_points,<=,-16.738,-623.0,-1176.0
1869,34.88,-0.302,0.536,14.07,-0.578,0.328,26.35,26.54,-32.11,mae_points,<=,-20.4175,-568.0,-1084.0
1403,32.57,-0.349,0.483,12.05,-0.639,0.274,28.12,25.96,-35.28,mae_points,<=,-24.875,-492.0,-900.0
936,30.13,-0.397,0.431,8.65,-0.74,0.189,30.27,25.07,-39.3,mae_points,<=,-29.875,-375.0,-697.0
3270,28.41,-0.432,0.397,9.57,-0.713,0.212,17.2,11.35,-20.23,mfe_points,<=,37.339,-1415.0,-2334.0
468,27.56,-0.449,0.381,8.33,-0.75,0.182,32.55,24.8,-45.53,mae_points,<=,-37.0995,-213.0,-353.0
2803,19.09,-0.618,0.236,5.14,-0.846,0.108,16.78,8.1,-20.2,mfe_points,<=,25.375,-1735.0,-2372.0
2336,11.9,-0.762,0.135,2.23,-0.933,0.046,16.24,5.6,-19.97,mfe_points,<=,16.317,-1780.0,-2180.0
1869,6.85,-0.863,0.074,1.23,-0.963,0.025,15.54,3.7,-19.29,mfe_points,<=,10.5965,-1613.0,-1800.0
1402,3.28,-0.934,0.034,0.57,-0.983,0.011,15.21,2.16,-19.28,mfe_points,<=,6.2945,-1310.0,-1378.0
935,0.43,-0.991,0.004,0.0,-1.0,,15.44,0.88,-20.02,mfe_points,<=,3.21,-927.0,-935.0
