signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume,day_of_week,trade_date_ct,hour_ct,minute_ct,open,high,low,close,volume,vwap,vwap_day,dist_vwap,dist_vwap_day,ema_20,ema_50,dist_ema_20,dist_ema_50,atr_14,atr_50,rel_vol_20,rel_vol_50,bar_range,body,body_abs,body_pct,upper_wick,lower_wick,upper_wick_pct,lower_wick_pct,range_expansion_20,body_expansion_20,bear_displacement,bear_fvg,bear_fvg_size,bear_fvg_min_2pt,bull_fvg,bull_fvg_size,bull_fvg_min_2pt,pdh,pdl,dol,ny_open,dist_dol,dist_pdh,dist_pdl,dist_ny_open,dist_asia_high,dist_asia_low,dist_london_high,dist_london_low,dist_or_high_30m,dist_or_low_30m,pdh_sweep_reclaim_last_30m,pdl_sweep_reclaim_last_30m,pmh_sweep_reclaim_last_30m,pml_sweep_reclaim_last_30m,asia_high_sweep_reclaim_last_30m,asia_low_sweep_reclaim_last_30m,london_high_sweep_reclaim_last_30m,london_low_sweep_reclaim_last_30m,any_liquidity_sweep_reclaim_last_30m,liquidity_sweep_reclaim_count_last_30m,recent_bear_fvg_last_120m,inside_bear_fvg_current_bar,bear_ifvg_proxy_fast,any_ifvg_proxy_fast,has_high_impact_usd_event,has_cpi,has_fomc,has_nfp,has_ppi,has_pmi_ism,has_jobs,has_fed_speech,outcome,equity_points,peak_points,drawdown_points
2022-02-04T08:37:00.000000,2022-02-04T08:38:00.000000,2022-02-04,2022,2022-02,8,38,short,14465.81,14478.0,14441.44,12.19,24.38,2.0,target,1,1,27.81,-6.94,14476.0,14435.25,14440.75,1.5613,1.2893,5,2022-02-04,8,38,14441.75,14472.75,14438.0,14468.75,2575,14583.402018648447,14583.402018648447,-114.65201864844676,-114.65201864844676,14477.079238063856,14478.814666967914,-8.329238063855883,-10.064666967913581,33.125,23.1,1.2726733554094796,1.6382074511400653,34.75,27.0,27.0,0.7769784172661871,4.0,3.75,0.11510791366906475,0.1079136690647482,1.2811059907834101,1.695447409733124,false,false,,false,false,,false,14870.0,14456.25,14770.0,14770.0,-301.25,-401.25,12.5,-301.25,-340.25,-231.25,-357.0,-49.25,-138.0,36.0,false,true,false,false,false,false,false,true,true,2,true,false,false,true,false,false,false,false,false,false,false,false,WIN,249.26999999999998,249.26999999999998,0.0
2022-02-25T08:31:00.000000,2022-02-25T08:32:00.000000,2022-02-25,2022,2022-02,8,32,short,13939.0,13947.5,13922.0,8.5,17.0,2.0,target,1,1,19.25,-7.75,13945.5,13919.5,13925.25,1.79,3.5686,5,2022-02-25,8,32,13925.75,13946.75,13919.75,13928.25,3922,13906.665889540467,13906.665889540467,21.584110459532894,21.584110459532894,13985.619838650786,14007.3447878107,-57.36983865078582,-79.09478781069993,16.517857142857142,12.53,3.2155448060998606,4.794503801863035,27.0,2.5,2.5,0.09259259259259259,18.5,6.0,0.6851851851851852,0.2222222222222222,1.809045226130653,0.3076923076923077,false,false,,false,false,,false,13983.25,13025.75,13909.5,13909.5,18.75,-55.0,902.5,18.75,-13.0,121.5,-133.5,168.0,-85.25,68.25,true,false,false,false,true,false,false,false,true,2,true,false,false,true,true,false,true,false,false,false,false,false,WIN,266.27,266.27,0.0
2022-03-08T10:26:00.000000,2022-03-08T10:27:00.000000,2022-03-08,2022,2022-03,10,27,short,13205.88,13218.0,13181.62,12.12,24.25,2.0,target,5,1,58.62,-6.62,13216.0,13175.5,13186.5,1.616,1.4974,2,2022-03-08,10,27,13184.75,13212.5,13183.5,13209.25,1389,13266.46669266537,13266.46669266537,-57.21669266536992,-57.21669266536992,13231.503649603452,13236.926553974885,-22.253649603451777,-27.676553974884882,26.339285714285715,28.215,1.2980701836362787,0.9673240849072371,29.0,24.5,24.5,0.8448275862068966,3.25,1.25,0.11206896551724138,0.04310344827586207,1.1623246492985972,2.229806598407281,false,false,,false,false,,false,13879.75,13265.0,13283.0,13283.0,-73.75,-670.5,-55.75,-73.75,-170.75,7.75,-215.75,106.0,-164.75,-12.5,false,true,true,true,false,true,false,false,true,4,true,false,false,true,false,false,false,false,false,false,false,false,WIN,290.52,290.52,0.0
2022-09-27T10:13:00.000000,2022-09-27T10:14:00.000000,2022-09-27,2022,2022-09,10,14,short,11285.75,11295.25,11266.75,9.5,19.0,2.0,target,2,1,19.5,-0.5,11293.25,11263.25,11268.25,2.0725,2.8039,2,2022-09-27,10,14,11268.5,11286.25,11267.75,11283.75,2849,11448.041950561485,11448.041950561485,-164.29195056148455,-164.29195056148455,11322.860955963899,11360.346484775873,-39.11095596389896,-76.59648477587325,15.767857142857142,14.355,1.328143210106755,1.596794081381011,18.5,15.25,15.25,0.8243243243243243,2.5,0.75,0.13513513513513514,0.04054054054054054,1.2405699916177704,1.6850828729281766,false,true,1.75,false,false,,false,11537.75,11256.5,11323.75,11323.75,-40.0,-254.0,27.25,-40.0,-138.75,-40.0,-241.0,-128.75,-220.5,-149.25,false,false,false,false,false,true,false,false,true,1,true,false,false,true,true,false,true,false,false,false,false,false,WIN,309.52,309.52,0.0
2023-02-14T08:31:00.000000,2023-02-14T08:32:00.000000,2023-02-14,2023,2023-02,8,32,short,12423.0,12434.75,12399.5,11.75,23.5,2.0,target,1,1,32.5,-3.75,12432.75,12393.75,12400.25,2.1414,3.6723,2,2023-02-14,8,32,12400.0,12426.75,12390.5,12413.5,3971,12534.59038386107,12534.59038386107,-121.09038386107022,-121.09038386107022,12467.152643059664,12498.645865421737,-53.652643059664115,-85.14586542173674,19.357142857142858,22.055,2.5719744810388936,2.8283878687730595,36.25,13.5,13.5,0.3724137931034483,13.25,9.5,0.36551724137931035,0.2620689655172414,1.8979057591623034,1.2857142857142858,false,false,,false,false,,false,12567.0,12265.25,12547.25,12547.25,-133.75,-153.5,148.25,-133.75,-135.75,-91.25,-226.5,-102.0,-188.25,23.0,false,false,false,false,false,true,false,true,true,2,true,false,false,true,true,true,true,false,false,false,false,false,WIN,333.02,333.02,0.0
2024-02-23T10:13:00.000000,2024-02-23T10:14:00.000000,2024-02-23,2024,2024-02,10,14,short,17967.0,17975.75,17949.5,8.75,17.5,2.0,target,1,1,21.0,-5.25,17973.75,17946.75,17948.0,1.7881,1.3393,5,2024-02-23,10,14,17947.5,17972.25,17946.0,17966.75,2877,18060.85360604538,18060.85360604538,-94.10360604538073,-94.10360604538073,17986.392443740588,18017.600332313625,-19.642443740587623,-50.850332313624676,16.089285714285715,14.355,1.1756292906178492,1.3638432220262813,26.25,19.25,19.25,0.7333333333333333,5.5,1.5,0.20952380952380953,0.05714285714285714,1.6496465043205029,2.40625,false,false,,false,false,,false,18087.0,17676.0,18023.25,18023.25,-56.5,-120.25,290.75,-56.5,-88.0,-48.75,-98.5,-32.5,-178.0,-94.0,false,false,false,true,true,true,false,false,true,3,true,false,false,true,false,false,true,false,false,false,false,false,WIN,350.52,350.52,0.0
2024-08-08T10:58:00.000000,2024-08-08T10:59:00.000000,2024-08-08,2024,2024-08,10,59,short,18408.25,18416.5,18391.75,8.25,16.5,2.0,target,1,1,17.5,-4.0,18414.5,18389.5,18393.75,1.6863,1.3504,4,2024-08-08,10,59,18393.25,18412.25,18390.75,18406.25,918,18229.80051048361,18229.80051048361,176.44948951639162,176.44948951639162,18406.273948009883,18408.080352260982,-0.02394800988258794,-1.8303522609821812,15.660714285714286,15.405,1.059067835717582,1.0635093491508145,21.5,13.0,13.0,0.6046511627906976,6.0,2.5,0.27906976744186046,0.11627906976744186,1.3927125506072875,1.6352201257861634,false,false,,false,false,,false,18558.5,17836.25,17896.25,17896.25,510.0,-152.25,570.0,510.0,327.0,664.5,154.0,527.25,-31.75,51.25,false,false,true,false,false,false,false,false,true,1,true,false,false,true,true,false,true,false,false,false,true,false,WIN,367.02,367.02,0.0
2024-09-17T10:23:00.000000,2024-09-17T10:24:00.000000,2024-09-17,2024,2024-09,10,24,short,19667.12,19677.0,19647.38,9.88,19.75,2.0,target,1,1,25.88,-0.12,19675.0,19643.5,19649.5,2.2601,3.0998,2,2024-09-17,10,24,19650.25,19667.25,19641.25,19665.25,1977,19763.987462454625,19763.987462454625,-98.73746245462462,-98.73746245462462,19718.28491965021,19744.400886316496,-53.03491965021021,-79.15088631649633,16.375,12.07,1.905450339742663,2.60200052645433,26.0,15.0,15.0,0.5769230769230769,2.0,9.0,0.07692307692307693,0.34615384615384615,1.800865800865801,1.8957345971563981,false,true,5.75,true,false,,false,19781.5,19303.0,19683.0,19683.0,-17.75,-116.25,362.25,-17.75,-27.25,259.5,-154.25,222.75,-185.0,-80.25,true,false,false,true,true,false,false,false,true,3,true,false,false,true,true,false,true,false,false,false,false,false,WIN,386.77,386.77,0.0
2024-11-20T08:33:00.000000,2024-11-20T08:34:00.000000,2024-11-20,2024,2024-11,8,34,short,20733.44,20741.75,20716.81,8.31,16.62,2.0,target,1,1,20.69,-0.06,20739.75,20714.5,20716.5,2.016,2.4927,3,2024-11-20,8,34,20715.5,20733.5,20712.75,20722.75,2357,20789.923663354966,20789.923663354966,-67.17366335496627,-67.17366335496627,20746.92887130593,20766.06335225365,-24.178871305928624,-43.31335225364819,15.660714285714286,8.28,1.7478031960253606,3.5732694581728874,20.75,7.25,7.25,0.3493975903614458,10.75,2.75,0.5180722891566265,0.13253012048192772,1.5601503759398496,1.2058212058212059,false,false,,false,false,,false,20792.5,20382.5,20762.25,20762.25,-39.5,-69.75,340.25,-39.5,-111.5,-27.5,-120.5,-30.25,-33.25,109.75,false,false,false,true,false,true,false,true,true,3,true,false,false,true,true,false,true,false,false,false,true,false,WIN,403.39,403.39,0.0
2025-01-02T08:39:00.000000,2025-01-02T08:40:00.000000,2025-01-02,2025,2025-01,8,40,short,21202.06,21213.75,21178.69,11.69,23.38,2.0,target,1,1,35.56,-6.69,21211.75,21173.0,21176.25,1.5523,1.4742,4,2025-01-02,8,40,21177.25,21208.75,21166.5,21192.5,2822,21343.163810896007,21343.163810896007,-150.6638108960069,-150.6638108960069,21281.313745165495,21337.415308466556,-88.81374516549477,-144.91530846655587,33.107142857142854,19.335,1.4579835188964378,2.593082662550079,42.25,15.25,15.25,0.3609467455621302,16.25,10.75,0.38461538461538464,0.25443786982248523,1.6041765543426674,1.2007874015748032,false,false,,false,false,,false,21524.75,21182.0,21269.0,21269.0,-76.5,-332.25,10.5,-76.5,-184.0,70.75,-298.0,-125.5,-216.5,26.0,false,true,false,true,true,false,false,false,true,3,true,false,false,true,true,false,false,false,false,true,true,false,WIN,426.77,426.77,0.0
2025-01-07T08:39:00.000000,2025-01-07T08:40:00.000000,2025-01-07,2025,2025-01,8,40,short,21720.38,21730.75,21699.62,10.38,20.75,2.0,target,1,1,24.62,-1.38,21728.75,21695.25,21701.75,2.012,1.7546,2,2025-01-07,8,40,21701.5,21721.75,21695.75,21718.5,2682,21746.139834301735,21746.139834301735,-27.63983430173539,-27.63983430173539,21754.194805663963,21765.2543993004,-35.69480566396305,-46.75439930040011,22.410714285714285,11.09,1.5495276887078604,3.1207819408889925,26.0,17.0,17.0,0.6538461538461539,3.25,5.75,0.125,0.22115384615384615,1.4867762687634023,2.2006472491909386,false,false,,false,false,,false,21896.75,21478.25,21781.25,21781.25,-62.75,-178.25,240.25,-62.75,-77.75,57.5,-56.0,34.25,-87.5,23.25,false,false,true,true,true,false,true,false,true,4,true,false,false,true,false,false,true,false,false,false,false,false,WIN,447.52,447.52,0.0
2025-01-16T08:37:00.000000,2025-01-16T08:38:00.000000,2025-01-16,2025,2025-01,8,38,short,21434.88,21443.75,21417.12,8.88,17.75,2.0,target,1,1,27.12,-7.62,21441.75,21414.25,21417.5,1.7586,1.7784,4,2025-01-16,8,38,21416.75,21442.5,21407.75,21432.5,2427,21460.72177817927,21460.72177817927,-28.221778179271496,-28.221778179271496,21455.304869740197,21463.23348994408,-22.80486974019732,-30.733489944079338,21.339285714285715,11.585,1.5638894258650686,3.0412771609734093,34.75,15.75,15.75,0.45323741007194246,10.0,9.0,0.28776978417266186,0.2589928057553957,2.0441176470588234,1.9295558958652375,false,false,,false,false,,false,21452.75,20909.0,21389.0,21389.0,43.5,-20.25,523.5,43.5,-15.25,78.0,-134.75,79.5,-65.5,63.0,true,false,false,true,true,false,false,false,true,3,true,false,false,true,true,false,false,false,false,false,false,false,WIN,465.27,465.27,0.0
2025-02-07T10:46:00.000000,2025-02-07T10:47:00.000000,2025-02-07,2025,2025-02,10,47,short,21651.5,21663.25,21628.0,11.75,23.5,2.0,target,1,1,28.5,-0.5,21661.25,21622.25,21625.0,1.8087,1.8377,5,2025-02-07,10,47,21625.25,21652.0,21623.0,21646.5,1971,21786.975181735575,21786.975181735575,-140.47518173557546,-140.47518173557546,21659.982069024205,21682.278597431705,-13.482069024204975,-35.77859743170484,22.232142857142858,25.805,1.7064935064935065,1.2575927721913123,29.0,21.25,21.25,0.7327586206896551,5.5,2.25,0.1896551724137931,0.07758620689655173,1.3211845102505695,2.1013597033374536,false,false,,false,false,,false,21882.25,21705.75,21817.75,21817.75,-171.25,-235.75,-59.25,-171.25,-252.75,-161.0,-235.25,-179.75,-321.5,-223.25,false,true,false,false,false,false,false,false,true,1,true,false,false,true,false,false,true,false,false,false,false,false,WIN,488.77,488.77,0.0
2025-02-12T10:22:00.000000,2025-02-12T10:23:00.000000,2025-02-12,2025,2025-02,10,23,short,21675.56,21684.25,21658.19,8.69,17.38,2.0,target,1,1,19.81,-4.44,21682.25,21655.5,21656.5,1.7512,1.4245,3,2025-02-12,10,23,21656.75,21680.0,21655.75,21677.75,1039,21667.09328239341,21667.09328239341,10.656717606590973,10.656717606590973,21684.797090095457,21691.506839490605,-7.0470900954569515,-13.756839490604762,15.571428571428571,15.865,0.9807901071411715,0.8619688397020027,24.25,21.0,21.0,0.865979381443299,2.25,1.0,0.09278350515463918,0.041237113402061855,1.5607401448109413,2.4669603524229076,false,false,,false,false,,false,21871.5,21669.5,21794.25,21794.25,-116.5,-193.75,8.25,-116.5,-153.5,-88.25,-170.75,-58.25,-23.25,141.5,false,true,false,false,false,false,false,false,true,1,true,false,false,true,true,true,true,false,true,false,true,false,WIN,506.15,506.15,0.0
2025-04-15T10:57:00.000000,2025-04-15T10:58:00.000000,2025-04-15,2025,2025-04,10,58,short,18963.75,18972.5,18946.25,8.75,17.5,2.0,target,1,1,19.0,-4.0,18970.5,18943.5,18950.0,1.5906,1.8744,2,2025-04-15,10,58,18949.0,18967.75,18944.75,18964.0,1151,19010.208991718286,19010.208991718286,-46.20899171828569,-46.20899171828569,19013.607673090075,19034.847364969024,-49.60767309007497,-70.84736496902406,17.821428571428573,16.255,1.3703196618846358,1.6749126891734574,23.0,15.0,15.0,0.6521739130434783,3.75,4.25,0.16304347826086957,0.18478260869565216,1.312410841654779,1.3513513513513513,false,false,,false,false,,false,19256.0,18737.5,18814.5,18814.5,149.5,-292.0,226.5,149.5,14.0,150.0,-76.5,128.25,-113.5,-2.75,false,false,false,false,false,false,true,false,true,1,true,false,false,true,false,false,false,false,false,false,false,false,WIN,523.65,523.65,0.0
2025-05-08T08:55:00.000000,2025-05-08T08:56:00.000000,2025-05-08,2025,2025-05,8,56,short,20015.75,20030.0,19987.25,14.25,28.5,2.0,target,1,1,33.75,-8.25,20028.0,19979.0,19989.75,1.9225,1.6413,4,2025-05-08,8,56,19988.25,20024.0,19982.0,19999.0,1565,20123.30148504063,20123.30148504063,-124.3014850406289,-124.3014850406289,20049.445885627596,20068.46482088791,-50.445885627596,-69.46482088791163,28.625,22.81,1.2367142123355328,1.2934525678959288,42.0,10.75,10.75,0.25595238095238093,25.0,6.25,0.5952380952380952,0.1488095238095238,1.593172119487909,0.9409190371991246,false,false,,false,false,,false,20108.0,19678.75,19943.75,19943.75,55.25,-109.0,320.25,55.25,-199.0,73.5,-263.5,-125.0,-118.75,20.0,true,false,false,false,false,false,false,false,true,1,true,false,false,true,false,false,false,false,false,false,false,false,WIN,552.15,552.15,0.0
2025-06-23T10:36:00.000000,2025-06-23T10:37:00.000000,2025-06-23,2025,2025-06,10,37,short,21795.5,21808.75,21769.0,13.25,26.5,2.0,target,1,1,57.25,-7.75,21806.75,21761.75,21764.5,2.4242,1.7889,1,2025-06-23,10,37,21763.75,21803.25,21738.25,21794.25,5463,21893.408411427925,21893.408411427925,-99.15841142792488,-99.15841142792488,21848.712189259306,21892.25026495784,-54.46218925930589,-98.00026495783823,24.053571428571427,16.26,3.196138657305836,5.1564977724080645,65.0,30.5,30.5,0.46923076923076923,9.0,25.5,0.13846153846153847,0.3923076923076923,3.1268791340950086,2.7111111111111112,false,false,,false,false,,false,21787.0,21566.75,21758.25,21758.25,36.0,7.25,227.5,36.0,-21.75,87.25,-150.0,19.25,-223.75,-155.75,true,false,false,true,true,false,false,true,true,4,true,false,false,true,false,false,false,false,false,false,false,false,WIN,578.65,578.65,0.0
