sim,net_points,max_dd,max_losing_streak
668,773.53,0.0,0
669,773.53,0.0,0
670,773.53,0.0,0
671,773.53,0.0,0
672,773.53,0.0,0
673,773.53,0.0,0
674,773.53,0.0,0
675,773.53,0.0,0
676,773.53,0.0,0
677,773.53,0.0,0
678,773.53,0.0,0
679,773.53,0.0,0
680,773.53,0.0,0
681,773.53,0.0,0
682,773.53,0.0,0
683,773.53,0.0,0
684,773.53,0.0,0
685,773.53,0.0,0
686,773.53,0.0,0
687,773.53,0.0,0
688,773.53,0.0,0
689,773.53,0.0,0
690,773.53,0.0,0
691,773.53,0.0,0
692,773.53,0.0,0
693,773.53,0.0,0
694,773.53,0.0,0
695,773.53,0.0,0
696,773.53,0.0,0
697,773.53,0.0,0
698,773.53,0.0,0
699,773.53,0.0,0
700,773.53,0.0,0
701,773.53,0.0,0
702,773.53,0.0,0
703,773.53,0.0,0
704,773.53,0.0,0
705,773.53,0.0,0
706,773.53,0.0,0
707,773.53,0.0,0
708,773.53,0.0,0
709,773.53,0.0,0
710,773.53,0.0,0
711,773.53,0.0,0
712,773.53,0.0,0
713,773.53,0.0,0
714,773.53,0.0,0
715,773.53,0.0,0
716,773.53,0.0,0
717,773.53,0.0,0
718,773.53,0.0,0
719,773.53,0.0,0
720,773.53,0.0,0
721,773.53,0.0,0
722,773.53,0.0,0
723,773.53,0.0,0
724,773.53,0.0,0
725,773.53,0.0,0
726,773.53,0.0,0
727,773.53,0.0,0
728,773.53,0.0,0
729,773.53,0.0,0
730,773.53,0.0,0
731,773.53,0.0,0
732,773.53,0.0,0
733,773.53,0.0,0
734,773.53,0.0,0
735,773.53,0.0,0
736,773.53,0.0,0
737,773.53,0.0,0
738,773.53,0.0,0
739,773.53,0.0,0
740,773.53,0.0,0
741,773.53,0.0,0
742,773.53,0.0,0
743,773.53,0.0,0
744,773.53,0.0,0
745,773.53,0.0,0
746,773.53,0.0,0
747,773.53,0.0,0
748,773.53,0.0,0
749,773.53,0.0,0
750,773.53,0.0,0
751,773.53,0.0,0
752,773.53,0.0,0
753,773.53,0.0,0
754,773.53,0.0,0
755,773.53,0.0,0
756,773.53,0.0,0
757,773.53,0.0,0
758,773.53,0.0,0
759,773.53,0.0,0
760,773.53,0.0,0
761,773.53,0.0,0
762,773.53,0.0,0
763,773.53,0.0,0
764,773.53,0.0,0
765,773.53,0.0,0
766,773.53,0.0,0
767,773.53,0.0,0
768,773.53,0.0,0
769,773.53,0.0,0
770,773.53,0.0,0
771,773.53,0.0,0
772,773.53,0.0,0
773,773.53,0.0,0
774,773.53,0.0,0
775,773.53,0.0,0
776,773.53,0.0,0
777,773.53,0.0,0
778,773.53,0.0,0
779,773.53,0.0,0
780,773.53,0.0,0
781,773.53,0.0,0
782,773.53,0.0,0
783,773.53,0.0,0
784,773.53,0.0,0
785,773.53,0.0,0
786,773.53,0.0,0
787,773.53,0.0,0
788,773.53,0.0,0
789,773.53,0.0,0
790,773.53,0.0,0
791,773.53,0.0,0
792,773.53,0.0,0
793,773.53,0.0,0
794,773.53,0.0,0
795,773.53,0.0,0
796,773.53,0.0,0
797,773.53,0.0,0
798,773.53,0.0,0
799,773.53,0.0,0
800,773.53,0.0,0
801,773.53,0.0,0
802,773.53,0.0,0
803,773.53,0.0,0
804,773.53,0.0,0
805,773.53,0.0,0
806,773.53,0.0,0
807,773.53,0.0,0
808,773.53,0.0,0
809,773.53,0.0,0
810,773.53,0.0,0
811,773.53,0.0,0
812,773.53,0.0,0
813,773.53,0.0,0
814,773.53,0.0,0
815,773.53,0.0,0
816,773.53,0.0,0
817,773.53,0.0,0
818,773.53,0.0,0
819,773.53,0.0,0
820,773.53,0.0,0
821,773.53,0.0,0
822,773.53,0.0,0
823,773.53,0.0,0
824,773.53,0.0,0
825,773.53,0.0,0
826,773.53,0.0,0
827,773.53,0.0,0
828,773.53,0.0,0
829,773.53,0.0,0
830,773.53,0.0,0
831,773.53,0.0,0
832,773.53,0.0,0
833,773.53,0.0,0
834,773.53,0.0,0
835,773.53,0.0,0
836,773.53,0.0,0
837,773.53,0.0,0
838,773.53,0.0,0
839,773.53,0.0,0
840,773.53,0.0,0
841,773.53,0.0,0
842,773.53,0.0,0
843,773.53,0.0,0
844,773.53,0.0,0
845,773.53,0.0,0
846,773.53,0.0,0
847,773.53,0.0,0
848,773.53,0.0,0
849,773.53,0.0,0
850,773.53,0.0,0
851,773.53,0.0,0
852,773.53,0.0,0
853,773.53,0.0,0
854,773.53,0.0,0
855,773.53,0.0,0
856,773.53,0.0,0
857,773.53,0.0,0
858,773.53,0.0,0
859,773.53,0.0,0
860,773.53,0.0,0
861,773.53,0.0,0
862,773.53,0.0,0
863,773.53,0.0,0
864,773.53,0.0,0
865,773.53,0.0,0
866,773.53,0.0,0
867,773.53,0.0,0
868,773.53,0.0,0
869,773.53,0.0,0
870,773.53,0.0,0
871,773.53,0.0,0
872,773.53,0.0,0
873,773.53,0.0,0
874,773.53,0.0,0
875,773.53,0.0,0
876,773.53,0.0,0
877,773.53,0.0,0
878,773.53,0.0,0
879,773.53,0.0,0
880,773.53,0.0,0
881,773.53,0.0,0
882,773.53,0.0,0
883,773.53,0.0,0
884,773.53,0.0,0
885,773.53,0.0,0
886,773.53,0.0,0
887,773.53,0.0,0
888,773.53,0.0,0
889,773.53,0.0,0
890,773.53,0.0,0
891,773.53,0.0,0
892,773.53,0.0,0
893,773.53,0.0,0
894,773.53,0.0,0
895,773.53,0.0,0
896,773.53,0.0,0
897,773.53,0.0,0
898,773.53,0.0,0
899,773.53,0.0,0
900,773.53,0.0,0
901,773.53,0.0,0
902,773.53,0.0,0
903,773.53,0.0,0
904,773.53,0.0,0
905,773.53,0.0,0
906,773.53,0.0,0
907,773.53,0.0,0
908,773.53,0.0,0
909,773.53,0.0,0
910,773.53,0.0,0
911,773.53,0.0,0
912,773.53,0.0,0
913,773.53,0.0,0
914,773.53,0.0,0
915,773.53,0.0,0
916,773.53,0.0,0
917,773.53,0.0,0
918,773.53,0.0,0
919,773.53,0.0,0
920,773.53,0.0,0
921,773.53,0.0,0
922,773.53,0.0,0
923,773.53,0.0,0
924,773.53,0.0,0
925,773.53,0.0,0
926,773.53,0.0,0
927,773.53,0.0,0
928,773.53,0.0,0
929,773.53,0.0,0
930,773.53,0.0,0
931,773.53,0.0,0
932,773.53,0.0,0
933,773.53,0.0,0
934,773.53,0.0,0
935,773.53,0.0,0
936,773.53,0.0,0
937,773.53,0.0,0
938,773.53,0.0,0
939,773.53,0.0,0
940,773.53,0.0,0
941,773.53,0.0,0
942,773.53,0.0,0
943,773.53,0.0,0
944,773.53,0.0,0
945,773.53,0.0,0
946,773.53,0.0,0
947,773.53,0.0,0
948,773.53,0.0,0
949,773.53,0.0,0
950,773.53,0.0,0
951,773.53,0.0,0
952,773.53,0.0,0
953,773.53,0.0,0
954,773.53,0.0,0
955,773.53,0.0,0
956,773.53,0.0,0
957,773.53,0.0,0
958,773.53,0.0,0
959,773.53,0.0,0
960,773.53,0.0,0
961,773.53,0.0,0
962,773.53,0.0,0
963,773.53,0.0,0
964,773.53,0.0,0
965,773.53,0.0,0
966,773.53,0.0,0
967,773.53,0.0,0
968,773.53,0.0,0
969,773.53,0.0,0
970,773.53,0.0,0
971,773.53,0.0,0
972,773.53,0.0,0
973,773.53,0.0,0
974,773.53,0.0,0
975,773.53,0.0,0
976,773.53,0.0,0
977,773.53,0.0,0
978,773.53,0.0,0
979,773.53,0.0,0
980,773.53,0.0,0
981,773.53,0.0,0
982,773.53,0.0,0
983,773.53,0.0,0
984,773.53,0.0,0
985,773.53,0.0,0
986,773.53,0.0,0
987,773.53,0.0,0
988,773.53,0.0,0
989,773.53,0.0,0
990,773.53,0.0,0
991,773.53,0.0,0
992,773.53,0.0,0
993,773.53,0.0,0
994,773.53,0.0,0
995,773.53,0.0,0
996,773.53,0.0,0
997,773.53,0.0,0
998,773.53,0.0,0
999,773.53,0.0,0
1000,773.53,0.0,0
