trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,max_dd_1R,max_dd_1_5R,max_dd_2R,avg_risk,avg_mfe,avg_mae,test_type,feature_set,quality_score
727,64.37,50.62,41.95,0.287,0.265,0.259,1.807,1.538,1.445,-11.0,-12.5,-16.0,12.25,33.93,-13.43,triple,directional_displacement + vwap_aligned + body_lt_60,297.27
558,47.13,36.38,29.57,-0.057,-0.091,-0.113,0.892,0.858,0.84,-49.0,-66.5,-84.0,12.3,23.91,-16.03,triple,directional_displacement + vwap_aligned + rel_vol_ge_1_25,77.13
1208,52.4,40.81,33.69,0.048,0.02,0.011,1.101,1.034,1.016,-20.0,-33.0,-43.0,9.86,22.18,-11.96,triple,directional_displacement + vwap_aligned + risk_le_20,177.3
934,51.18,38.87,31.91,0.024,-0.028,-0.043,1.048,0.954,0.937,-19.0,-55.5,-67.0,13.89,30.14,-16.09,triple,directional_displacement + vwap_aligned + fvg_size_ge_2,169.88
206,82.04,66.99,55.83,0.641,0.675,0.675,4.568,3.044,2.527,-3.0,-3.5,-7.0,12.56,47.04,-11.35,triple,directional_displacement + has_liq_sweep + ifvg_proxy,598.44
912,63.38,48.57,39.91,0.268,0.214,0.197,1.731,1.417,1.328,-10.0,-19.0,-18.0,12.77,35.09,-13.92,triple,directional_displacement + has_liq_sweep + body_lt_60,288.28
712,45.51,34.55,28.09,-0.09,-0.136,-0.157,0.835,0.792,0.781,-80.0,-119.0,-132.0,12.97,26.42,-16.99,triple,directional_displacement + has_liq_sweep + rel_vol_ge_1_25,40.01
1571,49.52,37.62,31.0,-0.01,-0.06,-0.07,0.981,0.905,0.899,-45.0,-119.0,-136.0,10.18,22.5,-12.56,triple,directional_displacement + has_liq_sweep + risk_le_20,119.12
1258,48.49,37.12,30.6,-0.03,-0.072,-0.082,0.941,0.886,0.882,-71.0,-106.5,-114.0,14.43,30.82,-16.85,triple,directional_displacement + has_liq_sweep + fvg_size_ge_2,73.09
254,81.5,67.32,55.12,0.63,0.683,0.654,4.404,3.09,2.456,-3.0,-4.0,-11.0,12.04,43.89,-11.69,triple,directional_displacement + ifvg_proxy + body_lt_60,580.4
251,84.06,70.52,58.17,0.681,0.763,0.745,5.275,3.588,2.781,-3.0,-5.5,-10.0,9.84,38.04,-9.8,triple,directional_displacement + ifvg_proxy + risk_le_20,675.16
189,82.54,66.67,56.61,0.651,0.667,0.698,4.727,3.0,2.61,-2.0,-4.0,-8.0,13.75,51.11,-12.38,triple,directional_displacement + ifvg_proxy + fvg_size_ge_2,617.34
396,67.42,53.54,43.94,0.348,0.338,0.318,2.07,1.728,1.568,-6.0,-6.0,-8.0,11.84,36.2,-13.58,triple,directional_displacement + body_lt_60 + rel_vol_ge_1_25,320.22
1098,64.12,48.82,40.16,0.282,0.22,0.205,1.787,1.431,1.342,-9.0,-16.0,-20.0,9.97,27.7,-11.29,triple,directional_displacement + body_lt_60 + risk_le_20,297.52
810,63.46,47.65,39.26,0.269,0.191,0.178,1.736,1.366,1.293,-9.0,-15.5,-16.0,13.95,37.56,-15.03,triple,directional_displacement + body_lt_60 + fvg_size_ge_2,290.46
836,46.53,35.17,28.71,-0.069,-0.121,-0.139,0.87,0.814,0.805,-79.0,-122.5,-135.0,9.66,19.73,-13.78,triple,directional_displacement + rel_vol_ge_1_25 + risk_le_20,48.13
638,44.36,33.39,27.12,-0.113,-0.165,-0.187,0.797,0.752,0.744,-84.0,-116.5,-140.0,14.0,27.68,-18.26,triple,directional_displacement + rel_vol_ge_1_25 + fvg_size_ge_2,26.76
1403,49.25,36.99,30.72,-0.015,-0.075,-0.078,0.971,0.881,0.887,-48.0,-119.5,-124.0,10.96,24.09,-13.28,triple,directional_displacement + risk_le_20 + fvg_size_ge_2,112.85
24138,52.23,41.66,34.12,0.045,0.041,0.024,1.093,1.071,1.036,-87.0,-117.5,-250.0,13.05,28.91,-15.68,triple,directional_v_reversal + vwap_aligned + has_liq_sweep,75.53
5611,80.25,65.5,54.57,0.605,0.637,0.637,4.064,2.847,2.403,-5.0,-13.5,-15.0,12.55,42.28,-13.68,triple,directional_v_reversal + vwap_aligned + ifvg_proxy,579.65
20170,62.36,49.65,40.92,0.247,0.241,0.228,1.657,1.479,1.385,-14.0,-30.0,-56.0,12.52,32.24,-14.45,triple,directional_v_reversal + vwap_aligned + body_lt_60,271.76
9047,46.66,37.29,30.71,-0.067,-0.068,-0.079,0.875,0.892,0.886,-626.0,-630.0,-742.0,12.49,25.04,-16.12,triple,directional_v_reversal + vwap_aligned + rel_vol_ge_1_25,-771.54
30367,52.12,41.49,34.19,0.042,0.037,0.026,1.088,1.064,1.039,-99.0,-107.0,-218.0,10.14,22.82,-12.61,triple,directional_v_reversal + vwap_aligned + risk_le_20,56.62
22027,51.58,41.14,33.8,0.032,0.028,0.014,1.065,1.048,1.021,-92.0,-129.5,-240.0,14.36,30.62,-16.98,triple,directional_v_reversal + vwap_aligned + fvg_size_ge_2,63.28
6498,79.87,65.08,53.68,0.597,0.627,0.61,3.968,2.796,2.318,-5.0,-9.5,-14.0,12.93,43.55,-13.87,triple,directional_v_reversal + has_liq_sweep + ifvg_proxy,568.87
24065,61.65,49.08,40.23,0.233,0.227,0.207,1.607,1.446,1.346,-19.0,-51.0,-74.0,12.83,33.08,-14.74,triple,directional_v_reversal + has_liq_sweep + body_lt_60,257.15
10501,44.91,35.89,29.4,-0.102,-0.103,-0.118,0.815,0.84,0.833,-1075.0,-1088.0,-1250.0,12.91,25.14,-17.0,triple,directional_v_reversal + has_liq_sweep + rel_vol_ge_1_25,-1456.29
37092,50.81,40.46,33.16,0.016,0.011,-0.005,1.033,1.019,0.992,-267.0,-308.5,-716.0,10.34,22.97,-12.93,triple,directional_v_reversal + has_liq_sweep + risk_le_20,-204.79
27823,50.32,40.05,32.83,0.006,0.001,-0.015,1.013,1.002,0.977,-367.0,-427.0,-665.0,14.71,30.86,-17.52,triple,directional_v_reversal + has_liq_sweep + fvg_size_ge_2,-358.28
8621,78.74,63.55,52.16,0.575,0.589,0.565,3.703,2.616,2.181,-6.0,-13.5,-15.0,12.33,39.89,-13.39,triple,directional_v_reversal + ifvg_proxy + body_lt_60,537.54
1593,87.01,73.26,62.77,0.74,0.831,0.883,6.696,4.109,3.373,-5.0,-7.0,-8.0,12.22,47.63,-12.76,triple,directional_v_reversal + ifvg_proxy + rel_vol_ge_1_25,863.11
8364,80.8,65.94,54.65,0.616,0.648,0.64,4.208,2.904,2.41,-5.0,-12.5,-13.0,10.17,35.69,-11.28,triple,directional_v_reversal + ifvg_proxy + risk_le_20,595.7
5491,78.51,63.49,52.89,0.57,0.587,0.587,3.653,2.608,2.245,-5.0,-7.5,-12.0,14.43,46.56,-15.15,triple,directional_v_reversal + ifvg_proxy + fvg_size_ge_2,533.31
6714,62.29,49.96,41.2,0.246,0.249,0.236,1.652,1.497,1.401,-12.0,-19.5,-39.0,12.21,32.69,-14.51,triple,directional_v_reversal + body_lt_60 + rel_vol_ge_1_25,274.09
30672,62.13,49.33,40.45,0.243,0.233,0.214,1.64,1.46,1.359,-16.0,-35.0,-55.0,10.1,26.98,-11.93,triple,directional_v_reversal + body_lt_60 + risk_le_20,266.43
21399,61.11,48.43,39.81,0.222,0.211,0.194,1.571,1.409,1.323,-16.0,-40.5,-60.0,14.19,35.38,-16.1,triple,directional_v_reversal + body_lt_60 + fvg_size_ge_2,256.41
13344,44.92,35.69,29.29,-0.102,-0.108,-0.121,0.816,0.832,0.829,-1367.0,-1457.0,-1641.0,10.02,19.57,-13.83,triple,directional_v_reversal + rel_vol_ge_1_25 + risk_le_20,-1894.18
10194,45.01,35.85,29.64,-0.1,-0.104,-0.111,0.818,0.838,0.842,-1022.0,-1057.0,-1133.0,14.01,27.06,-17.91,triple,directional_v_reversal + rel_vol_ge_1_25 + fvg_size_ge_2,-1376.19
32462,50.38,39.87,32.78,0.008,-0.003,-0.017,1.015,0.995,0.975,-282.0,-492.0,-775.0,11.22,24.08,-13.8,triple,directional_v_reversal + risk_le_20 + fvg_size_ge_2,-230.32
3959,79.82,64.86,54.05,0.596,0.622,0.622,3.955,2.769,2.353,-6.0,-12.0,-21.0,13.08,44.52,-14.24,triple,vwap_aligned + has_liq_sweep + ifvg_proxy,565.92
