fvg_ts,entry_ts,year,symbol,gap_low,gap_high,gap_width,entry_price,stop,risk,tp1,tp2,max_high,min_low,result,pnl_r
2020-07-06T00:00:00.000000,2020-07-14T13:53:00.000000,2020,NQU0,10353.0,10391.25,38.25,10422.25,10348.0,74.25,10570.75,10719.25,10766.5,10358.75,tp2,4.0
2020-07-20T16:00:00.000000,2020-07-20T16:02:00.000000,2020,NQU0,10666.0,10785.75,119.75,10791.0,10661.0,130.0,11051.0,11311.0,11058.0,10301.0,tp1,2.0
2020-08-20T16:00:00.000000,2020-08-20T17:06:00.000000,2020,NQU0,11336.75,11389.25,52.5,11393.5,11331.75,61.75,11517.0,11640.5,12046.0,11392.75,tp2,4.0
2020-08-26T16:00:00.000000,2020-08-26T18:57:00.000000,2020,NQU0,11784.0,11868.0,84.0,11877.25,11779.0,98.25,12073.75,12270.25,12465.25,11142.0,tp2,4.0
2020-10-12T12:00:00.000000,2020-10-12T13:52:00.000000,2020,NQZ0,11800.0,11867.25,67.25,11881.5,11795.0,86.5,12054.5,12227.5,12249.0,11585.0,tp2,4.0
2020-10-12T16:00:00.000000,2020-10-14T15:47:00.000000,2020,NQZ0,11927.0,12013.5,86.5,12012.75,11922.0,90.75,12194.25,12375.75,12032.75,11511.0,stop,-1.0
2021-01-19T20:00:00.000000,2021-01-19T21:00:00.000000,2021,NQH1,12932.75,12965.0,32.25,12969.25,12927.75,41.5,13052.25,13135.25,13599.75,12829.0,tp2,4.0
2021-01-20T16:00:00.000000,2021-01-20T16:09:00.000000,2021,NQH1,13099.5,13205.25,105.75,13209.0,13094.5,114.5,13438.0,13667.0,13599.75,12829.0,tp1,2.0
2021-03-31T12:00:00.000000,2021-03-31T12:04:00.000000,2021,NQM1,12899.25,12947.5,48.25,12950.75,12894.25,56.5,13063.75,13176.75,13841.75,12949.25,tp2,4.0
2021-04-05T12:00:00.000000,2021-04-05T12:20:00.000000,2021,NQM1,13335.0,13367.5,32.5,13368.5,13330.0,38.5,13445.5,13522.5,14029.0,13367.75,tp2,4.0
2021-04-13T16:00:00.000000,2021-04-13T16:05:00.000000,2021,NQM1,13821.25,13897.0,75.75,13900.5,13816.25,84.25,14069.0,14237.5,14059.5,13700.5,stop,-1.0
2021-06-24T12:00:00.000000,2021-06-24T12:54:00.000000,2021,NQU1,14313.75,14336.5,22.75,14339.5,14308.75,30.75,14401.0,14462.5,14729.0,14313.25,tp2,4.0
2021-06-28T16:00:00.000000,2021-06-28T17:29:00.000000,2021,NQU1,14389.0,14457.75,68.75,14459.75,14384.0,75.75,14611.25,14762.75,14883.75,14458.5,tp2,4.0
2021-07-02T16:00:00.000000,2021-07-02T16:12:00.000000,2021,NQU1,14601.75,14655.75,54.0,14660.25,14596.75,63.5,14787.25,14914.25,14888.5,14540.5,tp1,2.0
2021-10-21T16:00:00.000000,2021-10-21T16:06:00.000000,2021,NQZ1,15361.75,15396.5,34.75,15413.25,15356.75,56.5,15526.25,15639.25,15864.75,15273.75,stop,-1.0
2021-10-25T16:00:00.000000,2021-10-25T16:01:00.000000,2021,NQZ1,15393.0,15433.75,40.75,15442.0,15388.0,54.0,15550.0,15658.0,16331.5,15442.25,tp2,4.0
2021-11-16T16:00:00.000000,2021-11-23T15:40:00.000000,2021,NQZ1,16205.25,16229.0,23.75,16228.75,16200.25,28.5,16285.75,16342.75,16436.0,16092.25,stop,-1.0
2021-11-29T16:00:00.000000,2021-11-30T06:06:00.000000,2021,NQZ1,16228.75,16262.0,33.25,16251.75,16223.75,28.0,16307.75,16363.75,16456.25,15538.0,tp2,4.0
2021-12-07T12:00:00.000000,2021-12-07T14:19:00.000000,2021,NQZ1,15992.75,16097.5,104.75,16102.75,15987.75,115.0,16332.75,16562.75,16457.0,15676.75,tp1,2.0
2021-12-15T20:00:00.000000,2021-12-15T20:01:00.000000,2021,NQH2,15968.0,15988.5,20.5,16012.25,15963.0,49.25,16110.75,16209.25,16457.0,15492.0,tp2,4.0
2022-02-24T16:00:00.000000,2022-02-24T17:24:00.000000,2022,NQH2,13249.75,13403.5,153.75,13411.25,13244.75,166.5,13744.25,14077.25,14391.0,13406.75,tp2,4.0
2022-04-12T12:00:00.000000,2022-04-12T12:03:00.000000,2022,NQM2,13986.5,14021.5,35.0,14028.5,13981.5,47.0,14122.5,14216.5,14298.0,13612.25,tp2,4.0
2022-06-02T16:00:00.000000,2022-06-02T16:01:00.000000,2022,NQM2,12655.5,12684.5,29.0,12685.5,12650.5,35.0,12755.5,12825.5,12945.25,11823.0,tp2,4.0
2022-07-27T16:00:00.000000,2022-07-27T18:08:00.000000,2022,NQU2,12331.25,12404.0,72.75,12416.0,12326.25,89.75,12595.5,12775.0,13384.5,12407.0,tp2,4.0
2022-08-10T12:00:00.000000,2022-08-10T12:02:00.000000,2022,NQU2,13042.5,13081.5,39.0,13082.0,13037.5,44.5,13171.0,13260.0,13740.75,13081.5,tp2,4.0
2022-08-12T16:00:00.000000,2022-08-17T14:36:00.000000,2022,NQU2,13408.0,13453.5,45.5,13453.25,13403.0,50.25,13553.75,13654.25,13616.0,12945.25,tp1,2.0
2022-09-07T16:00:00.000000,2022-09-07T16:23:00.000000,2022,NQU2,12077.75,12101.0,23.25,12105.0,12072.75,32.25,12169.5,12234.0,12987.0,11778.5,tp2,4.0
2022-10-03T16:00:00.000000,2022-10-03T16:52:00.000000,2022,NQZ2,11075.75,11174.0,98.25,11176.5,11070.75,105.75,11388.0,11599.5,11729.75,10484.75,tp2,4.0
2022-11-30T20:00:00.000000,2022-11-30T20:01:00.000000,2022,NQZ2,11597.75,11886.5,288.75,11899.25,11592.75,306.5,12512.25,13125.25,12145.0,11422.5,stop,-1.0
2022-12-13T12:00:00.000000,2022-12-13T12:05:00.000000,2022,NQH3,11854.75,11874.75,20.0,11877.75,11849.75,28.0,11933.75,11989.75,12339.0,10870.5,tp2,4.0
2023-01-02T20:00:00.000000,2023-01-02T23:33:00.000000,2023,NQH3,10956.75,11037.5,80.75,11042.0,10951.75,90.25,11222.5,11403.0,11579.75,10751.0,stop,-1.0
2023-01-06T16:00:00.000000,2023-01-06T16:18:00.000000,2023,NQH3,10835.25,10969.75,134.5,10980.5,10830.25,150.25,11281.0,11581.5,11638.75,10970.75,tp2,4.0
2023-01-09T16:00:00.000000,2023-01-09T19:59:00.000000,2023,NQH3,11187.25,11220.25,33.0,11226.5,11182.25,44.25,11315.0,11403.5,11759.5,11094.0,stop,-1.0
2023-01-27T16:00:00.000000,2023-01-27T16:09:00.000000,2023,NQH3,12059.0,12101.0,42.0,12117.25,12054.0,63.25,12243.75,12370.25,12949.75,11871.0,stop,-1.0
2023-02-01T20:00:00.000000,2023-02-10T09:56:00.000000,2023,NQH3,12168.75,12339.75,171.0,12334.5,12163.75,170.75,12676.0,13017.5,12422.0,12243.25,open,0.5124450951683748
2023-03-03T16:00:00.000000,2023-03-03T16:11:00.000000,2023,NQH3,12117.0,12170.5,53.5,12182.25,12112.0,70.25,12322.75,12463.25,12486.25,11795.0,tp2,4.0
2023-03-31T16:00:00.000000,2023-03-31T16:09:00.000000,2023,NQM3,13096.5,13207.5,111.0,13212.5,13091.5,121.0,13454.5,13696.5,13348.75,12953.25,stop,-1.0
2023-04-27T16:00:00.000000,2023-04-27T16:01:00.000000,2023,NQM3,13013.5,13135.5,122.0,13137.25,13008.5,128.75,13394.75,13652.25,13370.25,13001.75,stop,-1.0
2023-05-05T16:00:00.000000,2023-05-05T16:48:00.000000,2023,NQM3,13140.75,13239.0,98.25,13244.0,13135.75,108.25,13460.5,13677.0,13494.25,13202.75,tp1,2.0
2023-05-18T16:00:00.000000,2023-05-18T18:06:00.000000,2023,NQM3,13683.25,13756.25,73.0,13759.75,13678.25,81.5,13922.75,14085.75,14369.0,13566.5,stop,-1.0
2023-05-30T08:00:00.000000,2023-05-30T08:01:00.000000,2023,NQM3,14395.0,14423.0,28.0,14425.5,14390.0,35.5,14496.5,14567.5,14694.75,14248.25,tp2,4.0
2023-06-22T16:00:00.000000,2023-06-22T17:05:00.000000,2023,NQU3,15024.0,15082.5,58.5,15092.0,15019.0,73.0,15238.0,15384.0,15376.75,14853.5,tp1,2.0
2023-06-27T16:00:00.000000,2023-06-27T16:10:00.000000,2023,NQU3,14935.75,15002.75,67.0,15014.5,14930.75,83.75,15182.0,15349.5,15432.0,15002.75,tp2,4.0
2023-07-12T16:00:00.000000,2023-07-12T16:03:00.000000,2023,NQU3,15316.5,15349.0,32.5,15351.25,15311.5,39.75,15430.75,15510.25,16062.75,15351.5,tp2,4.0
2023-07-13T16:00:00.000000,2023-07-20T18:26:00.000000,2023,NQU3,15559.75,15624.75,65.0,15623.5,15554.75,68.75,15761.0,15898.5,15719.25,15522.25,stop,-1.0
2023-07-18T16:00:00.000000,2023-07-18T16:24:00.000000,2023,NQU3,15843.75,15867.75,24.0,15868.5,15838.75,29.75,15928.0,15987.5,16062.75,15483.75,tp2,4.0
2023-10-04T12:00:00.000000,2023-10-04T14:29:00.000000,2023,NQZ3,14690.75,14734.5,43.75,14738.5,14685.75,52.75,14844.0,14949.5,15468.75,14660.0,tp2,4.0
2023-11-01T16:00:00.000000,2023-11-01T18:42:00.000000,2023,NQZ3,14471.5,14558.0,86.5,14579.5,14466.5,113.0,14805.5,15031.5,15612.75,14559.25,tp2,4.0
2023-11-20T12:00:00.000000,2023-11-20T13:27:00.000000,2023,NQZ3,15861.75,15887.25,25.5,15890.5,15856.75,33.75,15958.0,16025.5,16208.5,15887.5,tp2,4.0
2023-11-20T16:00:00.000000,2023-11-21T14:30:00.000000,2023,NQZ3,15932.0,15999.5,67.5,15994.25,15927.0,67.25,16128.75,16263.25,16208.5,15881.5,stop,-1.0
2023-12-07T12:00:00.000000,2023-12-07T12:22:00.000000,2023,NQZ3,15817.25,15838.5,21.25,15843.5,15812.25,31.25,15906.0,15968.5,16887.25,15840.5,tp2,4.0
2024-01-08T16:00:00.000000,2024-01-08T16:12:00.000000,2024,NQH4,16467.25,16640.25,173.0,16646.5,16462.25,184.25,17015.0,17383.5,17079.75,16641.5,tp1,2.0
2024-01-29T20:00:00.000000,2024-01-30T15:01:00.000000,2024,NQH4,17583.5,17626.25,42.75,17622.25,17578.5,43.75,17709.75,17797.25,17896.5,17221.5,stop,-1.0
2024-02-01T20:00:00.000000,2024-02-01T20:53:00.000000,2024,NQH4,17371.75,17404.25,32.5,17409.5,17366.75,42.75,17495.0,17580.5,18071.0,17409.0,tp2,4.0
2024-02-09T16:00:00.000000,2024-02-09T16:35:00.000000,2024,NQH4,17926.75,17967.0,40.25,17969.0,17921.75,47.25,18063.5,18158.0,18121.5,17542.0,tp1,2.0
2024-03-01T16:00:00.000000,2024-03-05T02:52:00.000000,2024,NQH4,18156.5,18188.25,31.75,18190.5,18151.5,39.0,18268.5,18346.5,18436.5,17832.5,stop,-1.0
2024-03-07T12:00:00.000000,2024-03-07T12:10:00.000000,2024,NQH4,17992.0,18104.25,112.25,18106.75,17987.0,119.75,18346.25,18585.75,18506.75,17975.25,tp1,2.0
2024-03-20T20:00:00.000000,2024-03-25T11:06:00.000000,2024,NQM4,18334.5,18470.5,136.0,18470.75,18329.5,141.25,18753.25,19035.75,18619.0,18378.5,open,1.0495575221238937
2024-04-11T16:00:00.000000,2024-04-11T16:30:00.000000,2024,NQM4,18211.25,18287.75,76.5,18296.25,18206.25,90.0,18476.25,18656.25,18518.75,17113.25,tp1,2.0
2024-04-25T20:00:00.000000,2024-04-30T20:01:00.000000,2024,NQM4,17515.5,17548.0,32.5,17558.5,17510.5,48.0,17654.5,17750.5,18050.25,17386.25,stop,-1.0
2024-05-15T16:00:00.000000,2024-05-17T18:13:00.000000,2024,NQM4,18421.25,18577.25,156.0,18579.75,18416.25,163.5,18906.75,19233.75,19023.25,18545.0,tp1,2.0
2024-05-23T00:00:00.000000,2024-05-23T00:43:00.000000,2024,NQM4,18832.5,18862.0,29.5,18863.75,18827.5,36.25,18936.25,19008.75,19023.25,18241.25,tp2,4.0
2024-06-20T04:00:00.000000,2024-06-20T04:10:00.000000,2024,NQU4,20241.25,20283.25,42.0,20286.25,20236.25,50.0,20386.25,20486.25,20371.0,19726.0,stop,-1.0
2024-07-02T16:00:00.000000,2024-07-02T16:10:00.000000,2024,NQU4,19975.25,20065.25,90.0,20077.25,19970.25,107.0,20291.25,20505.25,20983.75,20072.0,tp2,4.0
2024-08-29T12:00:00.000000,2024-08-29T12:44:00.000000,2024,NQU4,19393.5,19443.75,50.25,19456.0,19388.5,67.5,19591.0,19726.0,19693.5,18339.75,tp1,2.0
2024-09-26T04:00:00.000000,2024-09-26T04:05:00.000000,2024,NQZ4,20284.0,20354.75,70.75,20357.5,20279.0,78.5,20514.5,20671.5,20538.0,19818.0,tp1,2.0
2024-10-08T12:00:00.000000,2024-10-08T13:07:00.000000,2024,NQZ4,20027.25,20056.25,29.0,20063.0,20022.25,40.75,20144.5,20226.0,20680.0,20063.75,tp2,4.0
2024-10-14T12:00:00.000000,2024-10-14T12:03:00.000000,2024,NQZ4,20467.0,20502.5,35.5,20506.0,20462.0,44.0,20594.0,20682.0,20680.0,20079.0,tp1,2.0
2024-11-06T04:00:00.000000,2024-11-06T05:10:00.000000,2024,NQZ4,20385.5,20457.75,72.25,20488.5,20380.5,108.0,20704.5,20920.5,21340.75,20405.25,tp2,4.0
2024-12-02T16:00:00.000000,2024-12-02T16:04:00.000000,2024,NQZ4,20974.0,21152.5,178.5,21162.5,20969.0,193.5,21549.5,21936.5,21820.0,21134.25,tp1,2.0
2024-12-04T12:00:00.000000,2024-12-04T14:39:00.000000,2024,NQZ4,21368.25,21388.25,20.0,21388.5,21363.25,25.25,21439.0,21489.5,21908.0,21352.75,tp2,4.0
2024-12-11T16:00:00.000000,2024-12-11T16:01:00.000000,2024,NQZ4,21459.5,21690.5,231.0,21697.0,21454.5,242.5,22182.0,22667.0,22425.75,21006.5,tp1,2.0
2024-12-16T12:00:00.000000,2024-12-16T12:07:00.000000,2024,NQZ4,21814.5,21854.25,39.75,21855.25,21809.5,45.75,21946.75,22038.25,22425.75,21006.5,tp2,4.0
2024-12-16T16:00:00.000000,2024-12-18T19:46:00.000000,2024,NQH5,21866.5,21990.5,124.0,21983.0,21861.5,121.5,22226.0,22469.0,22111.25,21006.5,stop,-1.0
2024-12-20T16:00:00.000000,2024-12-23T15:10:00.000000,2024,NQH5,21290.75,21503.5,212.75,21484.5,21285.75,198.75,21882.0,22279.5,22111.25,21253.0,tp1,2.0
2025-01-03T16:00:00.000000,2025-01-03T16:10:00.000000,2025,NQH5,21288.0,21337.25,49.25,21346.75,21283.0,63.75,21474.25,21601.75,21896.75,20694.0,tp2,4.0
2025-01-06T12:00:00.000000,2025-01-06T14:16:00.000000,2025,NQH5,21577.0,21641.75,64.75,21671.75,21572.0,99.75,21871.25,22070.75,21896.75,20694.0,tp1,2.0
2025-05-13T12:00:00.000000,2025-05-13T12:02:00.000000,2025,NQM5,20882.75,20931.0,48.25,20934.0,20877.75,56.25,21046.5,21159.0,21562.25,20795.5,tp2,4.0
2025-06-03T12:00:00.000000,2025-06-03T12:46:00.000000,2025,NQM5,21481.5,21503.0,21.5,21507.75,21476.5,31.25,21570.25,21632.75,22106.0,21471.0,tp2,4.0
2025-06-23T20:00:00.000000,2025-06-23T20:02:00.000000,2025,NQU5,22018.0,22052.75,34.75,22058.5,22013.0,45.5,22149.5,22240.5,23102.5,22053.0,tp2,4.0
2025-10-28T16:00:00.000000,2025-10-29T18:40:00.000000,2025,NQZ5,26004.0,26060.5,56.5,26087.75,25999.0,88.75,26265.25,26442.75,26399.0,24820.75,tp1,2.0
2025-11-05T16:00:00.000000,2025-11-05T16:18:00.000000,2025,NQZ5,25552.25,25658.25,106.0,25672.5,25547.25,125.25,25923.0,26173.5,25880.0,24626.0,stop,-1.0
2025-12-02T12:00:00.000000,2025-12-02T12:37:00.000000,2025,NQZ5,25400.0,25458.0,58.0,25465.75,25395.0,70.75,25607.25,25748.75,25870.75,25383.0,tp2,4.0
2025-12-18T12:00:00.000000,2025-12-18T13:07:00.000000,2025,NQH6,25041.25,25064.75,23.5,25066.75,25036.25,30.5,25127.75,25188.75,25935.25,25066.0,tp2,4.0
2026-01-09T16:00:00.000000,2026-01-12T00:39:00.000000,2026,NQH6,25767.25,25810.75,43.5,25789.25,25762.25,27.0,25843.25,25897.25,26045.5,25236.5,stop,-1.0
2026-01-15T08:00:00.000000,2026-01-15T08:04:00.000000,2026,NQH6,25643.0,25673.75,30.75,25680.0,25638.0,42.0,25764.0,25848.0,25952.75,25025.0,tp2,4.0
2026-02-02T12:00:00.000000,2026-02-03T17:13:00.000000,2026,NQH6,25376.0,25450.0,74.0,25423.5,25371.0,52.5,25528.5,25633.5,25514.25,24239.75,stop,-1.0
2026-02-25T12:00:00.000000,2026-02-25T12:13:00.000000,2026,NQH6,25067.75,25105.0,37.25,25107.25,25062.75,44.5,25196.25,25285.25,25494.75,24352.0,tp2,4.0
2026-03-02T16:00:00.000000,2026-03-02T16:28:00.000000,2026,NQH6,24729.0,24852.0,123.0,24862.75,24724.0,138.75,25140.25,25417.75,25250.0,24000.0,stop,-1.0
2026-03-04T12:00:00.000000,2026-03-04T12:31:00.000000,2026,NQH6,24677.75,24720.5,42.75,24736.75,24672.75,64.0,24864.75,24992.75,25250.0,24000.0,tp2,4.0
2026-03-09T16:00:00.000000,2026-03-09T17:43:00.000000,2026,NQH6,24495.75,24575.75,80.0,24577.5,24490.75,86.75,24751.0,24924.5,25217.5,24278.0,tp2,4.0
2026-04-13T16:00:00.000000,2026-04-13T16:05:00.000000,2026,NQM6,25194.75,25282.5,87.75,25288.0,25189.75,98.25,25484.5,25681.0,27155.75,25287.25,tp2,4.0
2026-04-15T16:00:00.000000,2026-04-15T16:56:00.000000,2026,NQM6,26048.0,26102.25,54.25,26120.25,26043.0,77.25,26274.75,26429.25,27462.5,26120.0,tp2,4.0
2026-04-17T12:00:00.000000,2026-04-19T22:00:00.000000,2026,NQM6,26492.25,26561.5,69.25,26548.5,26487.25,61.25,26671.0,26793.5,27542.5,26540.0,tp2,4.0
2026-04-30T00:00:00.000000,2026-04-30T02:31:00.000000,2026,NQM6,27340.25,27386.5,46.25,27410.75,27335.25,75.5,27561.75,27712.75,28944.75,27163.25,stop,-1.0
