candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,stop_was_capped,entry_ct,ny_morning_entry,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,ambiguous_bars,largest_open_adverse_points,result
44,true,"",2026-02-02T12:00:00.000000,2026-02-03T17:12:00.000000,bull,NQH6,25376.0,25450.0,25413.0,74.0,25450.0,25376.0,74.0,74.0,false,2026-02-03 11:12:00-06:00,true,2026-02-03T17:12:00.000000,25450.0,true,false,false,true,false,25.0,50.0,0,-47.25,tp1_partial_or_be
49,true,"",2026-02-06T12:00:00.000000,2026-02-06T14:32:00.000000,bull,NQH6,24613.75,24700.75,24657.25,87.0,24700.75,24625.75,87.0,75.0,true,2026-02-06 08:32:00-06:00,true,2026-02-06T14:32:00.000000,24700.75,true,false,false,true,false,25.0,50.0,1,0.0,tp1_partial_or_be
53,true,"",2026-02-09T16:00:00.000000,2026-02-09T16:06:00.000000,bull,NQH6,25215.25,25305.75,25260.5,90.5,25305.75,25230.75,90.5,75.0,true,2026-02-09 10:06:00-06:00,true,2026-02-09T16:45:00.000000,25380.75,true,true,true,false,false,150.0,300.0,0,0.0,tp3
55,true,"",2026-02-12T16:00:00.000000,2026-02-12T16:03:00.000000,bear,NQH6,25031.75,25324.75,25178.25,293.0,25031.75,25106.75,293.0,75.0,true,2026-02-12 10:03:00-06:00,true,2026-02-12T16:03:00.000000,25031.75,true,false,false,true,false,25.0,50.0,0,0.0,tp1_partial_or_be
50,true,"",2026-02-06T16:00:00.000000,2026-02-12T16:20:00.000000,bull,NQH6,24873.25,24880.5,24876.875,7.25,24880.5,24873.25,7.25,7.25,false,2026-02-12 10:20:00-06:00,true,2026-02-12T16:20:00.000000,24880.5,true,false,false,true,false,25.0,50.0,0,-6.0,tp1_partial_or_be
56,true,"",2026-02-12T20:00:00.000000,2026-02-13T15:33:00.000000,bear,NQH6,24912.75,25006.5,24959.625,93.75,24912.75,24987.75,93.75,75.0,true,2026-02-13 09:33:00-06:00,true,2026-02-13T15:39:00.000000,24837.75,true,true,true,false,false,150.0,300.0,0,-15.75,tp3
63,true,"",2026-02-24T16:00:00.000000,2026-02-24T16:34:00.000000,bull,NQH6,24865.5,24969.25,24917.375,103.75,24969.25,24894.25,103.75,75.0,true,2026-02-24 10:34:00-06:00,true,2026-02-24T17:07:00.000000,25044.25,true,true,true,false,false,150.0,300.0,0,0.0,tp3
65,true,"",2026-02-25T16:00:00.000000,2026-02-25T16:17:00.000000,bull,NQH6,25128.5,25282.75,25205.625,154.25,25282.75,25207.75,154.25,75.0,true,2026-02-25 10:17:00-06:00,true,2026-02-25T18:01:00.000000,25357.75,true,true,true,false,false,150.0,300.0,0,0.0,tp3
69,true,"",2026-03-02T16:00:00.000000,2026-03-02T16:28:00.000000,bull,NQH6,24729.0,24852.0,24790.5,123.0,24852.0,24777.0,123.0,75.0,true,2026-03-02 10:28:00-06:00,true,2026-03-02T16:36:00.000000,24927.0,true,true,true,false,false,150.0,300.0,0,0.0,tp3
72,true,"",2026-03-03T12:00:00.000000,2026-03-03T14:39:00.000000,bear,NQH6,24661.25,24668.5,24664.875,7.25,24661.25,24668.5,7.25,7.25,false,2026-03-03 08:39:00-06:00,true,2026-03-03T14:39:00.000000,24661.25,true,false,false,true,false,25.0,50.0,1,0.0,tp1_partial_or_be
75,true,"",2026-03-04T16:00:00.000000,2026-03-04T16:24:00.000000,bull,NQH6,24895.0,25051.0,24973.0,156.0,25051.0,24976.0,156.0,75.0,true,2026-03-04 10:24:00-06:00,true,2026-03-04T16:33:00.000000,25126.0,true,true,true,false,false,150.0,300.0,0,0.0,tp3
83,true,"",2026-03-12T16:00:00.000000,2026-03-12T16:22:00.000000,bear,NQH6,24735.25,24813.0,24774.125,77.75,24735.25,24810.25,77.75,75.0,true,2026-03-12 11:22:00-05:00,true,2026-03-12T16:26:00.000000,24660.25,true,true,true,false,false,150.0,300.0,0,0.0,tp3
86,true,"",2026-03-16T12:00:00.000000,2026-03-16T14:50:00.000000,bull,NQM6,24799.0,24833.25,24816.125,34.25,24833.25,24799.0,34.25,34.25,false,2026-03-16 09:50:00-05:00,true,2026-03-16T14:59:00.000000,24908.25,true,true,true,false,false,150.0,300.0,0,0.0,tp3
87,true,"",2026-03-17T16:00:00.000000,2026-03-17T16:07:00.000000,bull,NQM6,24860.25,24946.25,24903.25,86.0,24946.25,24871.25,86.0,75.0,true,2026-03-17 11:07:00-05:00,true,2026-03-17T16:24:00.000000,25021.25,true,true,true,false,false,150.0,300.0,0,0.0,tp3
107,true,"",2026-04-02T16:00:00.000000,2026-04-02T16:20:00.000000,bull,NQM6,23881.75,24057.5,23969.625,175.75,24057.5,23982.5,175.75,75.0,true,2026-04-02 11:20:00-05:00,true,2026-04-02T16:20:00.000000,24057.5,true,false,false,true,false,25.0,50.0,0,0.0,tp1_partial_or_be
113,true,"",2026-04-08T04:00:00.000000,2026-04-08T13:41:00.000000,bull,NQM6,25086.0,25102.5,25094.25,16.5,25102.5,25086.0,16.5,16.5,false,2026-04-08 08:41:00-05:00,true,2026-04-08T13:42:00.000000,25102.5,true,false,false,true,false,25.0,50.0,0,-11.5,tp1_partial_or_be
119,true,"",2026-04-13T16:00:00.000000,2026-04-13T16:05:00.000000,bull,NQM6,25194.75,25282.5,25238.625,87.75,25282.5,25207.5,87.75,75.0,true,2026-04-13 11:05:00-05:00,true,2026-04-13T16:20:00.000000,25357.5,true,true,true,false,false,150.0,300.0,0,0.0,tp3
138,true,"",2026-04-24T12:00:00.000000,2026-04-24T13:56:00.000000,bull,NQM6,27114.75,27130.25,27122.5,15.5,27130.25,27114.75,15.5,15.5,false,2026-04-24 08:56:00-05:00,true,2026-04-24T13:56:00.000000,27130.25,true,false,false,true,false,25.0,50.0,0,0.0,tp1_partial_or_be
140,true,"",2026-04-28T12:00:00.000000,2026-04-28T13:49:00.000000,bear,NQM6,27252.0,27320.0,27286.0,68.0,27252.0,27320.0,68.0,68.0,false,2026-04-28 08:49:00-05:00,true,2026-04-28T13:49:00.000000,27252.0,true,false,false,true,false,25.0,50.0,0,0.0,tp1_partial_or_be
147,true,"",2026-05-05T16:00:00.000000,2026-05-05T16:28:00.000000,bull,NQM6,27959.0,28090.25,28024.625,131.25,28090.25,28015.25,131.25,75.0,true,2026-05-05 11:28:00-05:00,true,2026-05-05T17:53:00.000000,28165.25,true,true,true,false,false,150.0,300.0,0,0.0,tp3
