date,entry_time,side,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae,major_sweep_count,elite_sweep_confluence,below_dol,below_vwap,year,month
2021-12-16,2021-12-16 08:37:00,short,16285.75,16313.0,16231.25,16231.25,win,27.25,54.5,2.0,70.5,-9.0,1,False,True,True,2021,2021-12
2021-12-20,2021-12-20 08:32:00,short,15559.5,15606.75,15465.0,15606.75,loss,47.25,-47.25,-1.0,16.5,-55.5,1,False,True,True,2021,2021-12
2021-12-28,2021-12-28 08:36:00,short,16542.75,16576.0,16476.25,16576.0,loss,33.25,-33.25,-1.0,21.75,-39.0,1,False,True,True,2021,2021-12
2021-12-29,2021-12-29 08:37:00,short,16513.0,16524.0,16491.0,16524.0,loss,11.0,-11.0,-1.0,20.75,-14.75,1,False,True,True,2021,2021-12
2022-01-25,2022-01-25 08:33:00,short,14188.5,14264.25,14037.0,14264.25,loss,75.75,-75.75,-1.0,0.75,-91.5,1,False,True,True,2022,2022-01
2022-01-25,2022-01-25 08:35:00,short,14220.75,14254.5,14153.25,14254.5,loss,33.75,-33.75,-1.0,22.0,-59.25,1,False,True,True,2022,2022-01
2022-02-02,2022-02-02 08:42:00,short,15110.75,15146.25,15039.75,15039.75,win,35.5,71.0,2.0,84.0,-13.25,1,False,True,True,2022,2022-02
2022-02-08,2022-02-08 08:34:00,short,14526.75,14549.25,14481.75,14549.25,loss,22.5,-22.5,-1.0,25.25,-28.25,1,False,True,True,2022,2022-02
2022-03-28,2022-03-28 09:50:00,short,14729.75,14756.0,14677.25,14756.0,loss,26.25,-26.25,-1.0,11.75,-28.5,1,False,True,True,2022,2022-03
2022-07-22,2022-07-22 09:04:00,short,12547.5,12577.25,12488.0,12488.0,win,29.75,59.5,2.0,61.0,-12.0,1,False,True,True,2022,2022-07
2022-10-18,2022-10-18 09:13:00,short,11169.25,11214.25,11079.25,11211.5,loss,45.0,-42.25,-0.94,85.75,-44.25,1,False,True,True,2022,2022-10
2022-12-30,2022-12-30 10:13:00,short,10925.5,10935.75,10905.0,10905.0,win,10.25,20.5,2.0,26.25,-3.25,1,False,True,True,2022,2022-12
2023-01-03,2023-01-03 08:53:00,short,11028.5,11079.75,10926.0,10926.0,win,51.25,102.5,2.0,103.25,-14.75,1,False,True,True,2023,2023-01
2023-01-13,2023-01-13 08:33:00,short,11425.25,11449.5,11376.75,11449.5,loss,24.25,-24.25,-1.0,8.25,-29.75,1,False,True,True,2023,2023-01
2023-01-13,2023-01-13 08:39:00,short,11426.75,11446.0,11388.25,11446.0,loss,19.25,-19.25,-1.0,5.25,-39.75,1,False,True,True,2023,2023-01
2023-02-21,2023-02-21 08:49:00,short,12252.75,12277.0,12204.25,12204.25,win,24.25,48.5,2.0,50.75,-16.0,1,False,True,True,2023,2023-02
2023-04-24,2023-04-24 08:35:00,short,13068.5,13082.25,13041.0,13041.0,win,13.75,27.5,2.0,35.0,-0.5,2,True,True,True,2023,2023-04
2023-05-29,2023-05-29 09:08:00,short,14382.5,14388.25,14371.0,14376.25,win,5.75,6.25,1.09,6.75,-3.75,1,False,True,True,2023,2023-05
2023-08-25,2023-08-25 08:37:00,short,14850.25,14882.0,14786.75,14882.0,loss,31.75,-31.75,-1.0,12.75,-35.0,1,False,True,True,2023,2023-08
2024-06-19,2024-06-19 08:34:00,short,20227.75,20231.75,20219.75,20231.75,loss,4.0,-4.0,-1.0,4.25,-4.25,1,False,True,True,2024,2024-06
2024-07-23,2024-07-23 10:24:00,short,19963.25,19997.25,19895.25,19964.25,loss,34.0,-1.0,-0.03,47.5,-15.75,1,False,True,True,2024,2024-07
2024-09-17,2024-09-17 10:23:00,short,19675.0,19699.25,19626.5,19699.25,loss,24.25,-24.25,-1.0,33.75,-25.75,1,False,True,True,2024,2024-09
2024-11-25,2024-11-25 08:54:00,short,20931.75,20980.25,20834.75,20912.0,win,48.5,19.75,0.41,62.5,-26.75,1,False,True,True,2024,2024-11
2024-12-09,2024-12-09 08:34:00,short,21604.5,21637.0,21539.5,21637.0,loss,32.5,-32.5,-1.0,17.0,-35.75,1,False,True,True,2024,2024-12
2024-12-10,2024-12-10 10:09:00,short,21478.75,21495.25,21445.75,21495.25,loss,16.5,-16.5,-1.0,9.0,-20.25,1,False,True,True,2024,2024-12
2024-12-26,2024-12-26 08:50:00,short,21953.75,21970.5,21920.25,21920.25,win,16.75,33.5,2.0,77.5,-2.5,1,False,True,True,2024,2024-12
2025-01-14,2025-01-14 08:54:00,short,21008.75,21049.25,20927.75,21049.25,loss,40.5,-40.5,-1.0,42.5,-44.25,1,False,True,True,2025,2025-01
2025-02-27,2025-02-27 08:42:00,short,21242.75,21279.0,21170.25,21170.25,win,36.25,72.5,2.0,72.5,-3.5,1,False,True,True,2025,2025-02
2025-03-03,2025-03-03 08:50:00,short,20941.5,20986.0,20852.5,20852.5,win,44.5,89.0,2.0,94.25,-22.0,1,False,True,True,2025,2025-03
2025-07-04,2025-07-04 09:04:00,short,22934.25,22941.75,22919.25,22919.25,win,7.5,15.0,2.0,22.0,-5.0,1,False,True,True,2025,2025-07
2025-12-04,2025-12-04 08:34:00,short,25618.75,25668.75,25518.75,25595.75,win,50.0,23.0,0.46,98.25,-24.0,1,False,True,True,2025,2025-12
2026-03-03,2026-03-03 08:35:00,short,24529.0,24596.0,24395.0,24596.0,loss,67.0,-67.0,-1.0,26.5,-91.0,1,False,True,True,2026,2026-03
