timeframe,fvg_ts,entry_ts,year,month,symbol,gap_low,gap_high,gap_width,entry_price,stop,risk,tp1,tp2,max_high,min_low,result,pnl_r
30m,2026-03-23T11:30:00.000000,2026-03-23T11:59:00.000000,2026,3,NQM6,23925.75,24370.0,444.25,24390.0,23920.75,469.25,25328.5,26267.0,24690.0,22961.5,stop,-1.0
30m,2026-03-24T07:00:00.000000,2026-03-24T08:51:00.000000,2026,3,NQM6,24345.0,24371.25,26.25,24376.75,24340.0,36.75,24450.25,24523.75,24550.0,22961.5,stop,-1.0
30m,2026-03-31T01:00:00.000000,2026-03-31T01:10:00.000000,2026,3,NQM6,23083.25,23160.25,77.0,23172.25,23078.25,94.0,23360.25,23548.25,25280.0,23166.5,tp2,4.0
30m,2026-04-01T06:30:00.000000,2026-04-01T07:50:00.000000,2026,4,NQM6,24064.5,24112.75,48.25,24109.25,24059.5,49.75,24208.75,24308.25,25393.0,23666.0,stop,-1.0
30m,2026-04-07T22:00:00.000000,2026-04-07T22:33:00.000000,2026,4,NQM6,24416.0,24502.5,86.5,24647.5,24411.0,236.5,25120.5,25593.5,26884.75,24610.5,tp2,4.0
30m,2026-04-13T13:00:00.000000,2026-04-13T13:09:00.000000,2026,4,NQM6,25129.0,25156.5,27.5,25162.5,25124.0,38.5,25239.5,25316.5,27136.0,25158.75,tp2,4.0
30m,2026-04-14T14:00:00.000000,2026-04-14T14:04:00.000000,2026,4,NQM6,25682.25,25712.0,29.75,25721.0,25677.25,43.75,25808.5,25896.0,27363.75,25719.0,tp2,4.0
30m,2026-04-16T15:30:00.000000,2026-04-16T16:33:00.000000,2026,4,NQM6,26422.75,26452.25,29.5,26442.0,26417.75,24.25,26490.5,26539.0,27462.5,26355.0,stop,-1.0
30m,2026-04-17T12:30:00.000000,2026-04-17T12:45:00.000000,2026,4,NQM6,26568.25,26602.25,34.0,26626.75,26563.25,63.5,26753.75,26880.75,27542.5,26535.0,tp2,4.0
30m,2026-04-17T13:00:00.000000,2026-04-17T13:29:00.000000,2026,4,NQM6,26625.0,26684.0,59.0,26692.25,26620.0,72.25,26836.75,26981.25,27542.5,26535.0,stop,-1.0
30m,2026-04-24T11:30:00.000000,2026-04-24T11:58:00.000000,2026,4,NQM6,27192.75,27265.25,72.5,27277.25,27187.75,89.5,27456.25,27635.25,27965.75,27009.5,stop,-1.0
30m,2026-05-05T14:00:00.000000,2026-05-05T14:15:00.000000,2026,5,NQM6,28008.5,28031.75,23.25,28049.5,28003.5,46.0,28141.5,28233.5,28944.75,28033.0,tp2,4.0
30m,2026-05-05T22:30:00.000000,2026-05-06T00:21:00.000000,2026,5,NQM6,28238.5,28276.25,37.75,28271.25,28233.5,37.75,28346.75,28422.25,28944.75,28248.0,tp2,4.0
30m,2026-05-07T14:30:00.000000,2026-05-07T14:31:00.000000,2026,5,NQM6,28803.0,28860.25,57.25,28874.25,28798.0,76.25,29026.75,29179.25,28944.75,28541.0,stop,-1.0
