zone_id,zone_type,zone_family,side,zone_time,trade_date,entry_time,exit_time,exit_reason,zone_low,zone_high,zone_mid,zone_size,entry,stop_initial,tp1,tp2,tp3,final_exit_price,initial_risk_points,initial_risk_dollars,tp1_hit,tp2_hit,tp3_hit,tp1_time,tp2_time,tp3_time,gross_points_3_contracts,pnl_dollars,mfe_points_from_entry,mae_points_from_entry,r_multiple,win,loss,breakeven
391,1h_FVG,FVG,LONG,2026-02-02T09:00:00.000000,2026-02-03,2026-02-03T08:43:00.000000,2026-02-03T08:44:00.000000,STOP,25540.0,25733.0,25636.5,193.0,25733.0,25538.75,25758.0,25783.0,25808.0,25758.0,194.25,1165.5,true,true,false,2026-02-03T08:43:00.000000,2026-02-03T08:43:00.000000,,100.0,200.0,70.5,10.0,0.1716,true,false,false
392,30m_FVG,FVG,LONG,2026-02-02T09:30:00.000000,2026-02-02,2026-02-02T09:57:00.000000,2026-02-02T10:01:00.000000,STOP,25799.5,25815.75,25807.62,16.25,25815.75,25798.25,25840.75,25865.75,25890.75,25815.75,17.5,105.0,true,false,false,2026-02-02T09:59:00.000000,,,25.0,50.0,28.75,2.0,0.4762,true,false,false
393,1h_FVG,FVG,LONG,2026-02-02T10:00:00.000000,2026-02-02,2026-02-02T10:06:00.000000,2026-02-02T10:18:00.000000,TP3,25799.5,25803.0,25801.25,3.5,25803.0,25798.25,25828.0,25853.0,25878.0,25878.0,4.75,28.5,true,true,true,2026-02-02T10:07:00.000000,2026-02-02T10:10:00.000000,2026-02-02T10:18:00.000000,150.0,300.0,75.0,0.0,10.5263,true,false,false
402,30m_FVG,FVG,SHORT,2026-02-03T08:30:00.000000,2026-04-14,2026-04-14T11:19:00.000000,2026-04-14T11:40:00.000000,STOP,25952.25,25961.5,25956.88,9.25,25952.25,25962.75,25927.25,25902.25,25877.25,25962.75,10.5,63.0,false,false,false,,,,-31.5,-63.0,11.25,11.0,-1.0,false,true,false
421,1h_FVG,FVG,SHORT,2026-02-04T08:00:00.000000,2026-02-04,2026-02-04T08:43:00.000000,2026-02-04T08:45:00.000000,TP3,25390.0,25396.75,25393.38,6.75,25390.0,25398.0,25365.0,25340.0,25315.0,25315.0,8.0,48.0,true,true,true,2026-02-04T08:43:00.000000,2026-02-04T08:44:00.000000,2026-02-04T08:45:00.000000,150.0,300.0,98.0,0.0,6.25,true,false,false
422,30m_FVG,FVG,SHORT,2026-02-04T09:00:00.000000,2026-02-04,2026-02-04T09:26:00.000000,2026-02-04T09:28:00.000000,TP3,25305.0,25325.0,25315.0,20.0,25305.0,25326.25,25280.0,25255.0,25230.0,25230.0,21.25,127.5,true,true,true,2026-02-04T09:26:00.000000,2026-02-04T09:26:00.000000,2026-02-04T09:28:00.000000,150.0,300.0,79.25,0.0,2.3529,true,false,false
423,1h_FVG,FVG,SHORT,2026-02-04T09:00:00.000000,2026-02-04,2026-02-04T09:26:00.000000,2026-02-04T09:28:00.000000,TP3,25305.0,25342.0,25323.5,37.0,25305.0,25343.25,25280.0,25255.0,25230.0,25230.0,38.25,229.5,true,true,true,2026-02-04T09:26:00.000000,2026-02-04T09:26:00.000000,2026-02-04T09:28:00.000000,150.0,300.0,79.25,0.0,1.3072,true,false,false
425,1h_FVG,FVG,SHORT,2026-02-04T11:00:00.000000,2026-02-04,2026-02-04T11:03:00.000000,2026-02-04T11:08:00.000000,STOP,25057.5,25108.0,25082.75,50.5,25057.5,25109.25,25032.5,25007.5,24982.5,25032.5,51.75,310.5,true,true,false,2026-02-04T11:03:00.000000,2026-02-04T11:07:00.000000,,100.0,200.0,50.0,0.0,0.6441,true,false,false
432,30m_FVG,FVG,SHORT,2026-02-05T06:30:00.000000,2026-02-05,2026-02-05T08:40:00.000000,2026-02-05T08:41:00.000000,STOP,24917.75,24991.0,24954.38,73.25,24917.75,24992.25,24892.75,24867.75,24842.75,24917.75,74.5,447.0,true,false,false,2026-02-05T08:40:00.000000,,,25.0,50.0,63.0,12.0,0.1119,true,false,false
435,4h_FVG,FVG,SHORT,2026-02-05T08:00:00.000000,2026-02-05,2026-02-05T08:50:00.000000,2026-02-05T08:51:00.000000,STOP,24960.75,24978.75,24969.75,18.0,24960.75,24980.0,24935.75,24910.75,24885.75,24935.75,19.25,115.5,true,true,false,2026-02-05T08:50:00.000000,2026-02-05T08:50:00.000000,,100.0,200.0,87.25,0.0,1.7316,true,false,false
