fvg_id,side,fvg_time,trade_date,entry_time,exit_time,exit_reason,fvg_low,fvg_high,fvg_mid,fvg_size,entry,stop_initial,tp1,tp2,tp3,final_exit_price,initial_risk_points,initial_risk_dollars,tp1_hit,tp2_hit,tp3_hit,tp1_time,tp2_time,tp3_time,gross_points_3_contracts,pnl_dollars,mfe_points_from_entry,mae_points_from_entry,r_multiple,win,loss,breakeven
55,LONG,2026-01-15T20:00:00.000000,2026-01-16,2026-01-16T08:56:00.000000,2026-01-16T08:56:00.000000,STOP,25762.25,25762.5,25762.38,0.25,25762.5,25761.0,25787.5,25812.5,25837.5,25761.0,1.5,9.0,false,false,false,,,,-4.5,-9.0,11.75,11.25,-1.0,false,true,false
58,SHORT,2026-01-16T09:00:00.000000,2026-01-16,2026-01-16T09:07:00.000000,2026-01-16T09:19:00.000000,TP3,25765.5,25802.0,25783.75,36.5,25765.5,25803.25,25740.5,25715.5,25690.5,25690.5,37.75,226.5,true,true,true,2026-01-16T09:12:00.000000,2026-01-16T09:14:00.000000,2026-01-16T09:19:00.000000,150.0,300.0,98.25,0.0,1.3245,true,false,false
59,SHORT,2026-01-18T17:00:00.000000,2026-01-21,2026-01-21T09:46:00.000000,2026-01-21T10:06:00.000000,STOP,25472.0,25681.5,25576.75,209.5,25472.0,25682.75,25447.0,25422.0,25397.0,25472.0,210.75,1264.5,true,false,false,2026-01-21T10:05:00.000000,,,25.0,50.0,25.0,16.0,0.0395,true,false,false
60,SHORT,2026-01-18T18:00:00.000000,2026-01-21,2026-01-21T09:46:00.000000,2026-01-21T10:28:00.000000,STOP,25470.0,25671.0,25570.5,201.0,25470.0,25672.25,25445.0,25420.0,25395.0,25470.0,202.25,1213.5,true,false,false,2026-01-21T10:27:00.000000,,,25.0,50.0,27.25,24.25,0.0412,true,false,false
62,LONG,2026-01-19T11:00:00.000000,2026-01-19,2026-01-19T11:02:00.000000,2026-01-19T17:00:00.000000,FORCE_EXIT_1445,25344.0,25372.0,25358.0,28.0,25372.0,25342.75,25397.0,25422.0,25447.0,25402.75,29.25,175.5,true,false,false,2026-01-19T11:07:00.000000,,,86.5,173.0,45.25,0.0,0.9858,true,false,false
71,LONG,2026-01-21T09:00:00.000000,2026-01-21,2026-01-21T09:10:00.000000,2026-01-21T09:16:00.000000,TP3,25125.5,25294.75,25210.12,169.25,25294.75,25124.25,25319.75,25344.75,25369.75,25369.75,170.5,1023.0,true,true,true,2026-01-21T09:10:00.000000,2026-01-21T09:15:00.000000,2026-01-21T09:16:00.000000,150.0,300.0,82.25,0.0,0.2933,true,false,false
72,SHORT,2026-01-21T11:00:00.000000,2026-01-21,2026-01-21T11:01:00.000000,2026-01-21T11:11:00.000000,TP3,25262.75,25294.75,25278.75,32.0,25262.75,25296.0,25237.75,25212.75,25187.75,25187.75,33.25,199.5,true,true,true,2026-01-21T11:04:00.000000,2026-01-21T11:05:00.000000,2026-01-21T11:11:00.000000,150.0,300.0,79.25,0.0,1.5038,true,false,false
76,LONG,2026-01-22T02:00:00.000000,2026-01-22,2026-01-22T08:48:00.000000,2026-01-22T08:55:00.000000,STOP,25548.0,25583.0,25565.5,35.0,25583.0,25546.75,25608.0,25633.0,25658.0,25583.0,36.25,217.5,true,false,false,2026-01-22T08:51:00.000000,,,25.0,50.0,46.75,28.75,0.2299,true,false,false
78,SHORT,2026-01-22T09:00:00.000000,2026-01-22,2026-01-22T09:47:00.000000,2026-01-22T10:06:00.000000,STOP,25658.75,25677.75,25668.25,19.0,25658.75,25679.0,25633.75,25608.75,25583.75,25633.75,20.25,121.5,true,true,false,2026-01-22T09:50:00.000000,2026-01-22T09:55:00.000000,,100.0,200.0,56.75,0.0,1.6461,true,false,false
82,SHORT,2026-01-23T02:00:00.000000,2026-01-23,2026-01-23T09:02:00.000000,2026-01-23T09:04:00.000000,STOP,25692.0,25703.25,25697.62,11.25,25692.0,25704.5,25667.0,25642.0,25617.0,25704.5,12.5,75.0,false,false,false,,,,-37.5,-75.0,11.25,27.5,-1.0,false,true,false
87,LONG,2026-01-23T10:00:00.000000,2026-01-23,2026-01-23T10:33:00.000000,2026-01-23T10:59:00.000000,STOP,25668.0,25761.0,25714.5,93.0,25761.0,25666.75,25786.0,25811.0,25836.0,25786.0,94.25,565.5,true,true,false,2026-01-23T10:35:00.000000,2026-01-23T10:37:00.000000,,100.0,200.0,67.5,0.0,0.3537,true,false,false
92,LONG,2026-01-26T09:00:00.000000,2026-01-26,2026-01-26T09:12:00.000000,2026-01-26T09:20:00.000000,TP3,25721.75,25803.0,25762.38,81.25,25803.0,25720.5,25828.0,25853.0,25878.0,25878.0,82.5,495.0,true,true,true,2026-01-26T09:13:00.000000,2026-01-26T09:17:00.000000,2026-01-26T09:20:00.000000,150.0,300.0,79.75,0.0,0.6061,true,false,false
95,LONG,2026-01-26T20:00:00.000000,2026-01-27,2026-01-27T08:37:00.000000,2026-01-27T08:43:00.000000,STOP,25902.75,25921.25,25912.0,18.5,25921.25,25901.5,25946.25,25971.25,25996.25,25946.25,19.75,118.5,true,true,false,2026-01-27T08:40:00.000000,2026-01-27T08:42:00.000000,,100.0,200.0,62.5,4.0,1.6878,true,false,false
97,LONG,2026-01-27T09:00:00.000000,2026-01-27,2026-01-27T09:06:00.000000,2026-01-27T09:25:00.000000,STOP,26018.0,26021.5,26019.75,3.5,26021.5,26016.75,26046.5,26071.5,26096.5,26046.5,4.75,28.5,true,true,false,2026-01-27T09:08:00.000000,2026-01-27T09:10:00.000000,,100.0,200.0,53.25,0.0,7.0175,true,false,false
98,LONG,2026-01-27T10:00:00.000000,2026-01-27,2026-01-27T10:02:00.000000,2026-01-27T11:05:00.000000,STOP,26058.0,26073.25,26065.62,15.25,26073.25,26056.75,26098.25,26123.25,26148.25,26073.25,16.5,99.0,true,false,false,2026-01-27T10:10:00.000000,,,25.0,50.0,33.5,1.75,0.5051,true,false,false
99,LONG,2026-01-27T18:00:00.000000,2026-01-28,2026-01-28T10:42:00.000000,2026-01-28T10:51:00.000000,STOP,26118.0,26135.5,26126.75,17.5,26135.5,26116.75,26160.5,26185.5,26210.5,26116.75,18.75,112.5,false,false,false,,,,-56.25,-112.5,7.0,27.5,-1.0,false,true,false
