signal_id,signal_time,entry_time,exit_time,year,trade_date,side,fib_entry,target_r,entry_price,stop_price,target_price,risk_points,result,pnl_points,bars_held,mfe_points,mae_points,exit_reason,orb_high,orb_low,signal_open,signal_high,signal_low,signal_close,signal_volume,body_pct,bias15,ema200,vwap
219,2024-08-08T13:40:00.000000,2024-08-08T13:45:00.000000,2024-08-08T13:50:00.000000,2024,2024-08-08,LONG,fib50,1.0,18472.625,18434.25,18511.0,38.375,WIN,38.375,2,40.875,-4.375,target,18410.0,18355.0,18435.75,18511.0,18434.25,18506.25,6945.0,91.85667752442997,1,18244.55210128043,18322.541151239573
219,2024-08-08T13:40:00.000000,2024-08-08T13:45:00.000000,2024-08-08T13:55:00.000000,2024,2024-08-08,LONG,fib50,1.5,18472.625,18434.25,18530.1875,38.375,WIN,57.5625,3,67.125,-15.625,target,18410.0,18355.0,18435.75,18511.0,18434.25,18506.25,6945.0,91.85667752442997,1,18244.55210128043,18322.541151239573
219,2024-08-08T13:40:00.000000,2024-08-08T13:45:00.000000,2024-08-08T14:00:00.000000,2024,2024-08-08,LONG,fib50,2.0,18472.625,18434.25,18549.375,38.375,WIN,76.75,4,100.875,-15.625,target,18410.0,18355.0,18435.75,18511.0,18434.25,18506.25,6945.0,91.85667752442997,1,18244.55210128043,18322.541151239573
221,2024-08-12T10:55:00.000000,2024-08-12T11:15:00.000000,2024-08-12T11:15:00.000000,2024,2024-08-12,SHORT,fib382,1.0,18665.246,18692.75,18637.742,27.504000000000815,WIN,27.504000000000815,1,30.245999999999185,-0.2540000000008149,target,18743.25,18691.0,18688.0,18692.75,18620.75,18622.5,6446.0,90.97222222222221,-1,18645.632557440123,18655.670176811815
221,2024-08-12T10:55:00.000000,2024-08-12T11:15:00.000000,2024-08-12T11:40:00.000000,2024,2024-08-12,SHORT,fib382,1.5,18665.246,18692.75,18623.989999999998,27.504000000000815,WIN,41.25600000000122,6,43.245999999999185,-24.754000000000815,target,18743.25,18691.0,18688.0,18692.75,18620.75,18622.5,6446.0,90.97222222222221,-1,18645.632557440123,18655.670176811815
221,2024-08-12T10:55:00.000000,2024-08-12T11:15:00.000000,2024-08-12T11:50:00.000000,2024,2024-08-12,SHORT,fib382,2.0,18665.246,18692.75,18610.237999999998,27.504000000000815,WIN,55.00800000000163,8,79.24599999999919,-24.754000000000815,target,18743.25,18691.0,18688.0,18692.75,18620.75,18622.5,6446.0,90.97222222222221,-1,18645.632557440123,18655.670176811815
221,2024-08-12T10:55:00.000000,2024-08-12T11:15:00.000000,2024-08-12T11:45:00.000000,2024,2024-08-12,SHORT,fib50,1.0,18656.75,18692.75,18620.75,36.0,WIN,36.0,7,45.75,-33.25,target,18743.25,18691.0,18688.0,18692.75,18620.75,18622.5,6446.0,90.97222222222221,-1,18645.632557440123,18655.670176811815
221,2024-08-12T10:55:00.000000,2024-08-12T11:15:00.000000,2024-08-12T11:50:00.000000,2024,2024-08-12,SHORT,fib50,1.5,18656.75,18692.75,18602.75,36.0,WIN,54.0,8,70.75,-33.25,target,18743.25,18691.0,18688.0,18692.75,18620.75,18622.5,6446.0,90.97222222222221,-1,18645.632557440123,18655.670176811815
221,2024-08-12T10:55:00.000000,2024-08-12T11:15:00.000000,2024-08-12T13:10:00.000000,2024,2024-08-12,SHORT,fib50,2.0,18656.75,18692.75,18584.75,36.0,WIN,37.25,24,70.75,-33.25,time_exit,18743.25,18691.0,18688.0,18692.75,18620.75,18622.5,6446.0,90.97222222222221,-1,18645.632557440123,18655.670176811815
222,2024-08-19T13:50:00.000000,,,2024,2024-08-19,LONG,fib382,1.0,19798.6135,19770.25,19826.977,28.363499999999476,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19633.0,19592.75,19770.25,19844.5,19770.25,19838.25,11201.0,91.58249158249158,1,19654.64183341833,19653.194774756073
