ts,symbol,close,prev_symbol,prev_close,gap_minutes,close_change,symbol_changed
2021-03-23T20:30:00.000000,NQM1,13026.0,NQM1,13029.0,16.0,-3.0,false
2021-03-23T22:00:00.000000,NQM1,13040.0,NQM1,13030.25,61.0,9.75,false
2021-03-24T20:30:00.000000,NQM1,12800.5,NQM1,12801.25,16.0,-0.75,false
2021-03-24T22:00:00.000000,NQM1,12809.75,NQM1,12796.0,61.0,13.75,false
2021-03-25T20:30:00.000000,NQM1,12779.0,NQM1,12793.0,16.0,-14.0,false
2021-03-25T22:00:00.000000,NQM1,12788.0,NQM1,12792.0,61.0,-4.0,false
2021-03-26T20:30:00.000000,NQM1,12963.0,NQM1,12959.0,16.0,4.0,false
2021-03-28T22:00:00.000000,NQM1,12965.0,NQM1,12959.0,2941.0,6.0,false
2021-03-29T20:30:00.000000,NQM1,12966.25,NQM1,12975.75,16.0,-9.5,false
2021-03-29T22:00:00.000000,NQM1,12974.75,NQM1,12964.25,61.0,10.5,false
2021-03-30T20:30:00.000000,NQM1,12891.5,NQM1,12893.0,16.0,-1.5,false
2021-03-30T22:00:00.000000,NQM1,12884.75,NQM1,12890.25,61.0,-5.5,false
2021-03-31T20:30:00.000000,NQM1,13088.25,NQM1,13085.25,16.0,3.0,false
2021-03-31T22:00:00.000000,NQM1,13096.25,NQM1,13089.0,61.0,7.25,false
2021-04-01T20:30:00.000000,NQM1,13324.5,NQM1,13325.75,16.0,-1.25,false
2021-04-01T22:00:00.000000,NQM1,13331.0,NQM1,13327.25,61.0,3.75,false
2021-04-04T22:00:00.000000,NQM1,13320.5,NQM1,13344.25,3406.0,-23.75,false
2021-04-05T20:30:00.000000,NQM1,13585.25,NQM1,13577.5,16.0,7.75,false
2021-04-05T22:00:00.000000,NQM1,13605.25,NQM1,13600.5,61.0,4.75,false
2021-04-06T20:30:00.000000,NQM1,13573.0,NQM1,13578.0,16.0,-5.0,false
2021-04-06T22:00:00.000000,NQM1,13581.5,NQM1,13583.25,61.0,-1.75,false
2021-04-07T20:30:00.000000,NQM1,13615.75,NQM1,13618.75,16.0,-3.0,false
2021-04-07T22:00:00.000000,NQM1,13626.5,NQM1,13621.0,61.0,5.5,false
2021-04-08T20:30:00.000000,NQM1,13769.25,NQM1,13767.75,16.0,1.5,false
2021-04-08T22:00:00.000000,NQM1,13780.25,NQM1,13788.75,61.0,-8.5,false
2021-04-09T20:30:00.000000,NQM1,13809.0,NQM1,13809.5,16.0,-0.5,false
2021-04-11T22:00:00.000000,NQM1,13807.0,NQM1,13811.0,2941.0,-4.0,false
2021-04-12T20:30:00.000000,NQM1,13818.25,NQM1,13820.0,16.0,-1.75,false
2021-04-12T22:00:00.000000,NQM1,13829.5,NQM1,13824.75,61.0,4.75,false
2021-04-13T20:30:00.000000,NQM1,13982.0,NQM1,13978.25,16.0,3.75,false
2021-04-13T22:00:00.000000,NQM1,13979.0,NQM1,13975.5,61.0,3.5,false
2021-04-14T20:30:00.000000,NQM1,13821.5,NQM1,13823.75,16.0,-2.25,false
2021-04-14T22:00:00.000000,NQM1,13822.75,NQM1,13827.25,61.0,-4.5,false
2021-04-15T20:30:00.000000,NQM1,14007.5,NQM1,14006.5,16.0,1.0,false
2021-04-15T22:00:00.000000,NQM1,13989.25,NQM1,13999.0,61.0,-9.75,false
2021-04-16T20:30:00.000000,NQM1,14022.5,NQM1,14019.0,16.0,3.5,false
2021-04-18T22:00:00.000000,NQM1,13989.5,NQM1,14024.0,2941.0,-34.5,false
2021-04-19T20:30:00.000000,NQM1,13893.75,NQM1,13896.75,16.0,-3.0,false
2021-04-19T22:00:00.000000,NQM1,13899.5,NQM1,13894.0,61.0,5.5,false
2021-04-20T20:30:00.000000,NQM1,13740.5,NQM1,13746.0,16.0,-5.5,false
2021-04-20T22:00:00.000000,NQM1,13741.0,NQM1,13735.0,61.0,6.0,false
2021-04-21T20:30:00.000000,NQM1,13898.75,NQM1,13902.25,16.0,-3.5,false
2021-04-21T22:00:00.000000,NQM1,13895.0,NQM1,13891.25,61.0,3.75,false
2021-04-22T20:30:00.000000,NQM1,13754.25,NQM1,13756.0,16.0,-1.75,false
2021-04-22T22:00:00.000000,NQM1,13761.75,NQM1,13761.5,61.0,0.25,false
2021-04-23T20:30:00.000000,NQM1,13914.25,NQM1,13915.0,16.0,-0.75,false
2021-04-25T22:00:00.000000,NQM1,13916.5,NQM1,13903.5,2941.0,13.0,false
2021-04-26T20:30:00.000000,NQM1,14007.25,NQM1,14003.0,16.0,4.25,false
2021-04-26T22:00:00.000000,NQM1,14021.25,NQM1,14021.75,61.0,-0.5,false
2021-04-27T20:30:00.000000,NQM1,13949.5,NQM1,13946.25,16.0,3.25,false
2021-04-27T22:00:00.000000,NQM1,13958.25,NQM1,13950.5,61.0,7.75,false
2021-04-28T20:30:00.000000,NQM1,13976.75,NQM1,13933.0,16.0,43.75,false
2021-04-28T22:00:00.000000,NQM1,13959.75,NQM1,13968.75,61.0,-9.0,false
2021-04-29T20:30:00.000000,NQM1,13946.5,NQM1,13941.5,16.0,5.0,false
2021-04-29T22:00:00.000000,NQM1,13943.75,NQM1,13945.25,61.0,-1.5,false
2021-04-30T20:30:00.000000,NQM1,13868.75,NQM1,13867.25,16.0,1.5,false
2021-05-02T22:00:00.000000,NQM1,13883.75,NQM1,13865.25,2941.0,18.5,false
2021-05-03T20:30:00.000000,NQM1,13786.0,NQM1,13785.0,16.0,1.0,false
2021-05-03T22:00:00.000000,NQM1,13789.75,NQM1,13785.0,61.0,4.75,false
2021-05-04T20:30:00.000000,NQM1,13522.25,NQM1,13519.5,16.0,2.75,false
2021-05-04T22:00:00.000000,NQM1,13523.25,NQM1,13521.75,61.0,1.5,false
2021-05-05T20:30:00.000000,NQM1,13496.0,NQM1,13490.25,16.0,5.75,false
2021-05-05T22:00:00.000000,NQM1,13491.5,NQM1,13483.5,61.0,8.0,false
2021-05-06T20:30:00.000000,NQM1,13594.0,NQM1,13597.25,16.0,-3.25,false
2021-05-06T22:00:00.000000,NQM1,13614.5,NQM1,13605.75,61.0,8.75,false
2021-05-07T20:30:00.000000,NQM1,13718.25,NQM1,13717.5,16.0,0.75,false
2021-05-09T22:00:00.000000,NQM1,13714.75,NQM1,13715.5,2941.0,-0.75,false
2021-05-10T20:30:00.000000,NQM1,13347.75,NQM1,13342.0,16.0,5.75,false
2021-05-10T22:00:00.000000,NQM1,13322.25,NQM1,13311.5,61.0,10.75,false
2021-05-11T20:30:00.000000,NQM1,13316.75,NQM1,13317.5,16.0,-0.75,false
2021-05-11T22:00:00.000000,NQM1,13322.25,NQM1,13317.0,61.0,5.25,false
2021-05-12T20:30:00.000000,NQM1,12991.0,NQM1,12994.25,16.0,-3.25,false
2021-05-12T22:00:00.000000,NQM1,12979.75,NQM1,12965.25,61.0,14.5,false
2021-05-13T20:30:00.000000,NQM1,13084.5,NQM1,13077.5,16.0,7.0,false
2021-05-13T22:00:00.000000,NQM1,13096.75,NQM1,13091.25,61.0,5.5,false
2021-05-14T20:30:00.000000,NQM1,13392.75,NQM1,13393.25,16.0,-0.5,false
2021-05-16T22:00:00.000000,NQM1,13380.25,NQM1,13398.0,2941.0,-17.75,false
2021-05-17T20:30:00.000000,NQM1,13306.25,NQM1,13307.25,16.0,-1.0,false
2021-05-17T22:00:00.000000,NQM1,13317.5,NQM1,13312.0,61.0,5.5,false
2021-05-18T20:30:00.000000,NQM1,13215.25,NQM1,13219.75,16.0,-4.5,false
2021-05-18T22:00:00.000000,NQM1,13197.25,NQM1,13188.75,61.0,8.5,false
2021-05-19T20:30:00.000000,NQM1,13205.25,NQM1,13207.75,16.0,-2.5,false
2021-05-19T22:00:00.000000,NQM1,13224.25,NQM1,13218.75,61.0,5.5,false
2021-05-20T20:30:00.000000,NQM1,13487.5,NQM1,13493.5,16.0,-6.0,false
2021-05-20T22:00:00.000000,NQM1,13490.25,NQM1,13489.25,61.0,1.0,false
2021-05-21T20:30:00.000000,NQM1,13410.75,NQM1,13410.5,16.0,0.25,false
