signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume,day_of_week,equity_points,peak_points,drawdown_points
2021-11-10T08:37:00.000000,2021-11-10T08:38:00.000000,2021-11-10,2021,2021-11,8,38,short,16101.81,16110.25,16084.94,8.44,16.88,2.0,target,1,1,18.56,-2.44,16108.25,16082.5,16085.0,1.5535,1.3609,3,238.63,238.63,0.0
2021-12-03T08:54:00.000000,2021-12-03T08:55:00.000000,2021-12-03,2021,2021-12,8,55,short,15869.62,15883.75,15841.38,14.12,28.25,2.0,target,1,1,36.12,-8.38,15881.75,15833.25,15834.25,1.604,1.4186,5,266.88,266.88,0.0
2021-12-16T08:33:00.000000,2021-12-16T08:34:00.000000,2021-12-16,2021,2021-12,8,34,short,16310.75,16321.25,16289.75,10.5,21.0,2.0,target,1,1,25.25,-2.0,16319.25,16285.25,16287.75,2.7227,3.2409,4,287.88,287.88,0.0
2021-12-17T10:46:00.000000,2021-12-17T10:47:00.000000,2021-12-17,2021,2021-12,10,47,short,15790.56,15801.25,15769.19,10.69,21.38,2.0,target,1,1,26.06,-3.69,15799.25,15764.5,15765.75,1.8835,1.4519,5,309.26,309.26,0.0
2021-12-28T08:31:00.000000,2021-12-28T08:32:00.000000,2021-12-28,2021,2021-12,8,32,short,16583.56,16592.25,16566.19,8.69,17.38,2.0,target,1,1,22.56,-0.69,16590.25,16563.5,16567.25,3.2229,4.4114,2,326.64,326.64,0.0
2022-02-04T08:37:00.000000,2022-02-04T08:38:00.000000,2022-02-04,2022,2022-02,8,38,short,14465.81,14478.0,14441.44,12.19,24.38,2.0,target,1,1,27.81,-6.94,14476.0,14435.25,14440.75,1.5613,1.2893,5,351.02,351.02,0.0
2022-02-25T08:31:00.000000,2022-02-25T08:32:00.000000,2022-02-25,2022,2022-02,8,32,short,13939.0,13947.5,13922.0,8.5,17.0,2.0,target,1,1,19.25,-7.75,13945.5,13919.5,13925.25,1.79,3.5686,5,368.02,368.02,0.0
2022-03-08T10:26:00.000000,2022-03-08T10:27:00.000000,2022-03-08,2022,2022-03,10,27,short,13205.88,13218.0,13181.62,12.12,24.25,2.0,target,5,1,58.62,-6.62,13216.0,13175.5,13186.5,1.616,1.4974,2,392.27,392.27,0.0
2022-09-02T10:37:00.000000,2022-09-02T10:38:00.000000,2022-09-02,2022,2022-09,10,38,short,12268.88,12277.25,12252.12,8.38,-8.38,-1.0,stop_same_bar,1,1,17.62,-8.62,12275.25,12249.75,12252.25,1.562,1.5578,5,383.89,392.27,-8.379999999999995
2022-09-08T10:07:00.000000,2022-09-08T10:08:00.000000,2022-09-08,2022,2022-09,10,8,short,12199.06,12208.75,12179.69,9.69,-9.69,-1.0,stop,1,1,13.56,-9.69,12206.75,12176.0,12185.5,2.2083,2.6655,4,374.2,392.27,-18.069999999999993
2022-09-27T10:13:00.000000,2022-09-27T10:14:00.000000,2022-09-27,2022,2022-09,10,14,short,11285.75,11295.25,11266.75,9.5,19.0,2.0,target,2,1,19.5,-0.5,11293.25,11263.25,11268.25,2.0725,2.8039,2,393.2,393.2,0.0
2022-12-01T08:37:00.000000,2022-12-01T08:38:00.000000,2022-12-01,2022,2022-12,8,38,short,12084.56,12092.75,12068.19,8.19,-8.19,-1.0,stop_same_bar,2,1,26.06,-9.94,12090.75,12066.0,12071.25,1.988,1.6307,4,385.01,393.2,-8.189999999999998
2023-02-14T08:31:00.000000,2023-02-14T08:32:00.000000,2023-02-14,2023,2023-02,8,32,short,12423.0,12434.75,12399.5,11.75,23.5,2.0,target,1,1,32.5,-3.75,12432.75,12393.75,12400.25,2.1414,3.6723,2,408.51,408.51,0.0
2024-02-23T10:13:00.000000,2024-02-23T10:14:00.000000,2024-02-23,2024,2024-02,10,14,short,17967.0,17975.75,17949.5,8.75,17.5,2.0,target,1,1,21.0,-5.25,17973.75,17946.75,17948.0,1.7881,1.3393,5,426.01,426.01,0.0
2024-08-08T10:58:00.000000,2024-08-08T10:59:00.000000,2024-08-08,2024,2024-08,10,59,short,18408.25,18416.5,18391.75,8.25,16.5,2.0,target,1,1,17.5,-4.0,18414.5,18389.5,18393.75,1.6863,1.3504,4,442.51,442.51,0.0
2024-09-17T10:23:00.000000,2024-09-17T10:24:00.000000,2024-09-17,2024,2024-09,10,24,short,19667.12,19677.0,19647.38,9.88,19.75,2.0,target,1,1,25.88,-0.12,19675.0,19643.5,19649.5,2.2601,3.0998,2,462.26,462.26,0.0
2024-11-20T08:33:00.000000,2024-11-20T08:34:00.000000,2024-11-20,2024,2024-11,8,34,short,20733.44,20741.75,20716.81,8.31,16.62,2.0,target,1,1,20.69,-0.06,20739.75,20714.5,20716.5,2.016,2.4927,3,478.88,478.88,0.0
2025-01-02T08:39:00.000000,2025-01-02T08:40:00.000000,2025-01-02,2025,2025-01,8,40,short,21202.06,21213.75,21178.69,11.69,23.38,2.0,target,1,1,35.56,-6.69,21211.75,21173.0,21176.25,1.5523,1.4742,4,502.26,502.26,0.0
2025-01-07T08:39:00.000000,2025-01-07T08:40:00.000000,2025-01-07,2025,2025-01,8,40,short,21720.38,21730.75,21699.62,10.38,20.75,2.0,target,1,1,24.62,-1.38,21728.75,21695.25,21701.75,2.012,1.7546,2,523.01,523.01,0.0
2025-01-16T08:37:00.000000,2025-01-16T08:38:00.000000,2025-01-16,2025,2025-01,8,38,short,21434.88,21443.75,21417.12,8.88,17.75,2.0,target,1,1,27.12,-7.62,21441.75,21414.25,21417.5,1.7586,1.7784,4,540.76,540.76,0.0
2025-02-07T10:46:00.000000,2025-02-07T10:47:00.000000,2025-02-07,2025,2025-02,10,47,short,21651.5,21663.25,21628.0,11.75,23.5,2.0,target,1,1,28.5,-0.5,21661.25,21622.25,21625.0,1.8087,1.8377,5,564.26,564.26,0.0
2025-02-12T10:22:00.000000,2025-02-12T10:23:00.000000,2025-02-12,2025,2025-02,10,23,short,21675.56,21684.25,21658.19,8.69,17.38,2.0,target,1,1,19.81,-4.44,21682.25,21655.5,21656.5,1.7512,1.4245,3,581.64,581.64,0.0
2025-02-25T08:31:00.000000,2025-02-25T08:32:00.000000,2025-02-25,2025,2025-02,8,32,short,21363.56,21376.0,21338.69,12.44,24.88,2.0,target,1,1,28.31,-0.19,21374.0,21332.25,21335.75,3.3367,4.7509,2,606.52,606.52,0.0
2025-04-15T10:57:00.000000,2025-04-15T10:58:00.000000,2025-04-15,2025,2025-04,10,58,short,18963.75,18972.5,18946.25,8.75,17.5,2.0,target,1,1,19.0,-4.0,18970.5,18943.5,18950.0,1.5906,1.8744,2,624.02,624.02,0.0
2025-05-08T08:55:00.000000,2025-05-08T08:56:00.000000,2025-05-08,2025,2025-05,8,56,short,20015.75,20030.0,19987.25,14.25,28.5,2.0,target,1,1,33.75,-8.25,20028.0,19979.0,19989.75,1.9225,1.6413,4,652.52,652.52,0.0
2025-06-23T10:36:00.000000,2025-06-23T10:37:00.000000,2025-06-23,2025,2025-06,10,37,short,21795.5,21808.75,21769.0,13.25,26.5,2.0,target,1,1,57.25,-7.75,21806.75,21761.75,21764.5,2.4242,1.7889,1,679.02,679.02,0.0
2025-07-16T08:58:00.000000,2025-07-16T08:59:00.000000,2025-07-16,2025,2025-07,8,59,short,22985.12,22994.5,22966.38,9.38,-9.38,-1.0,stop_same_bar,1,1,19.38,-9.62,22992.5,22963.0,22966.75,1.5157,1.3089,3,669.64,679.02,-9.379999999999995
2025-09-03T10:40:00.000000,2025-09-03T10:41:00.000000,2025-09-03,2025,2025-09,10,41,short,23415.56,23424.0,23398.69,8.44,16.88,2.0,target,1,1,17.81,-0.44,23422.0,23396.25,23397.5,2.3303,5.1267,3,686.52,686.52,0.0
2025-11-04T10:40:00.000000,2025-11-04T10:41:00.000000,2025-11-04,2025,2025-11,10,41,short,25780.38,25790.25,25760.62,9.88,19.75,2.0,target,1,1,24.62,-1.12,25788.25,25756.75,25758.5,1.9921,1.3118,2,706.27,706.27,0.0
2025-11-06T08:41:00.000000,2025-11-06T08:42:00.000000,2025-11-06,2025,2025-11,8,42,short,25613.56,25624.75,25591.19,11.19,22.38,2.0,target,1,1,22.81,-0.69,25622.75,25586.0,25597.75,1.6136,1.9882,4,728.65,728.65,0.0
2025-12-04T08:34:00.000000,2025-12-04T08:35:00.000000,2025-12-04,2025,2025-12,8,35,short,25604.44,25621.25,25570.81,16.81,33.62,2.0,target,1,1,53.69,-9.81,25619.25,25560.0,25566.5,3.4649,4.3888,4,762.27,762.27,0.0
2025-12-17T08:36:00.000000,2025-12-17T08:37:00.000000,2025-12-17,2025,2025-12,8,37,short,25368.5,25382.75,25340.0,14.25,28.5,2.0,target,1,1,30.25,-0.0,25380.75,25331.75,25347.0,2.7034,3.2974,3,790.77,790.77,0.0
2026-01-08T08:38:00.000000,2026-01-08T08:39:00.000000,2026-01-08,2026,2026-01,8,39,short,25706.19,25717.5,25683.56,11.31,22.62,2.0,target,1,1,29.94,-1.81,25715.5,25678.25,25688.5,1.8766,1.6635,4,813.39,813.39,0.0
2026-02-10T10:09:00.000000,2026-02-10T10:10:00.000000,2026-02-10,2026,2026-02,10,10,short,25374.12,25384.0,25354.38,9.88,19.75,2.0,target,1,1,23.12,-4.38,25382.0,25350.5,25350.75,1.7213,1.419,2,833.14,833.14,0.0
2026-02-10T10:22:00.000000,2026-02-10T10:23:00.000000,2026-02-10,2026,2026-02,10,23,short,25358.06,25369.0,25336.19,10.94,21.88,2.0,target,1,1,24.31,-5.94,25367.0,25331.25,25336.75,2.0056,2.0887,2,855.02,855.02,0.0
2026-02-18T08:34:00.000000,2026-02-18T08:35:00.000000,2026-02-18,2026,2026-02,8,35,short,24799.31,24812.5,24772.94,13.19,26.38,2.0,target,1,1,43.56,-6.94,24810.5,24765.75,24767.75,2.1034,1.6544,3,881.4,881.4,0.0
2026-03-16T08:47:00.000000,2026-03-16T08:48:00.000000,2026-03-16,2026,2026-03,8,48,short,24658.12,24669.5,24635.38,11.38,22.75,2.0,target,1,1,25.62,-4.12,24667.5,24630.0,24632.5,1.694,1.1219,1,904.15,904.15,0.0
2026-03-18T10:35:00.000000,2026-03-18T10:36:00.000000,2026-03-18,2026,2026-03,10,36,short,24848.75,24856.75,24832.75,8.0,16.0,2.0,target,1,1,16.75,-1.0,24854.75,24830.75,24831.5,1.8551,2.22,3,920.15,920.15,0.0
