stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_market,2025-06-23 10:33:00,2025-06-23 10:34:00,2025-06-23,21815.75,21837.25,21808.5,21815.5,21839.25,21768.75,21768.75,2025-06-23 10:36:00,win,23.5,47.0,2.0,54.0,-4.5
step1_market,2025-06-23 10:34:00,2025-06-23 10:35:00,2025-06-23,21795.5,21820.25,21793.5,21796.25,21822.25,21742.0,21742.0,2025-06-23 10:37:00,win,26.75,53.5,2.0,57.25,-11.25
step1_market,2025-06-23 10:36:00,2025-06-23 10:37:00,2025-06-23,21763.75,21806.75,21761.75,21764.5,21808.75,21673.75,21808.75,2025-06-23 10:38:00,loss,45.0,-45.0,-1.0,25.5,-51.25
step1_market,2025-06-25 08:50:00,2025-06-25 08:51:00,2025-06-25,22480.0,22499.5,22478.75,22480.75,22501.5,22437.0,22501.5,2025-06-25 08:58:00,loss,21.5,-21.5,-1.0,4.25,-21.75
step1_market,2025-06-25 09:32:00,2025-06-25 09:33:00,2025-06-25,22430.25,22455.0,22429.0,22430.75,22457.0,22376.75,22457.0,2025-06-25 09:37:00,loss,26.75,-26.75,-1.0,0.25,-28.5
step1_market,2025-06-25 10:20:00,2025-06-25 10:21:00,2025-06-25,22424.0,22435.5,22422.25,22424.75,22437.5,22397.0,22437.5,2025-06-25 10:23:00,loss,13.5,-13.5,-1.0,3.75,-14.25
step1_market,2025-06-27 11:18:00,2025-06-27 11:19:00,2025-06-27,22781.0,22790.5,22780.75,22781.25,22792.5,22758.0,22758.0,2025-06-27 11:44:00,win,11.5,23.0,2.0,54.0,-5.75
step1_market,2025-06-27 11:22:00,2025-06-27 11:23:00,2025-06-27,22776.5,22784.0,22773.75,22776.5,22786.0,22757.5,22757.5,2025-06-27 11:44:00,win,9.5,19.0,2.0,49.5,-4.75
step1_market,2025-06-27 11:23:00,2025-06-27 11:24:00,2025-06-27,22769.75,22777.0,22767.5,22769.5,22779.0,22751.25,22779.0,2025-06-27 11:31:00,loss,9.25,-9.25,-1.0,4.25,-9.25
step1_market,2025-07-01 08:33:00,2025-07-01 08:34:00,2025-07-01,22748.0,22776.25,22744.0,22748.5,22778.25,22687.5,22687.5,2025-07-01 08:46:00,win,30.25,60.5,2.0,65.75,-7.75
step1_market,2025-07-01 08:58:00,2025-07-01 08:59:00,2025-07-01,22675.75,22697.75,22674.5,22676.0,22699.75,22627.75,22699.75,2025-07-01 09:02:00,loss,24.0,-24.0,-1.0,5.5,-29.0
step1_market,2025-07-03 10:51:00,2025-07-03 10:52:00,2025-07-03,23048.0,23058.0,23047.0,23048.25,23060.0,23024.0,23060.0,2025-07-03 10:56:00,loss,12.0,-12.0,-1.0,20.5,-14.5
step1_market,2025-07-03 10:59:00,2025-07-03 11:00:00,2025-07-03,23056.5,23072.0,23056.75,23056.75,23074.0,23021.5,23039.0,2025-07-03 17:15:00,win,17.5,17.5,1.0,34.5,-14.25
step1_market,2025-07-07 08:56:00,2025-07-07 08:57:00,2025-07-07,22891.0,22909.0,22888.75,22891.0,22911.0,22851.0,22911.0,2025-07-07 09:02:00,loss,20.0,-20.0,-1.0,8.5,-25.5
step1_market,2025-07-08 11:17:00,2025-07-08 11:18:00,2025-07-08,22886.75,22903.5,22885.75,22887.0,22905.5,22849.25,22905.5,2025-07-08 11:23:00,loss,18.75,-18.75,-1.0,11.0,-23.0
step1_market,2025-07-09 08:36:00,2025-07-09 08:37:00,2025-07-09,22971.25,22993.0,22962.5,22971.25,22995.0,22923.75,22995.0,2025-07-09 08:38:00,loss,23.75,-23.75,-1.0,3.5,-27.25
step1_market,2025-07-10 09:13:00,2025-07-10 09:14:00,2025-07-10,22943.25,22961.5,22942.5,22943.5,22963.5,22902.75,22963.5,2025-07-10 09:16:00,loss,20.25,-20.25,-1.0,3.25,-22.0
step1_market,2025-07-11 09:14:00,2025-07-11 09:15:00,2025-07-11,22915.75,22940.25,22914.0,22915.75,22942.25,22862.75,22942.25,2025-07-11 09:20:00,loss,26.5,-26.5,-1.0,7.0,-36.75
step1_market,2025-07-15 08:43:00,2025-07-15 08:44:00,2025-07-15,23132.25,23153.25,23131.5,23132.0,23155.25,23086.25,23155.25,2025-07-15 08:46:00,loss,23.0,-23.0,-1.0,0.25,-26.25
step1_market,2025-07-15 08:51:00,2025-07-15 08:52:00,2025-07-15,23124.0,23149.0,23123.75,23124.75,23151.0,23070.0,23151.0,2025-07-15 09:22:00,loss,27.0,-27.0,-1.0,28.0,-27.0
step1_market,2025-07-15 09:14:00,2025-07-15 09:15:00,2025-07-15,23126.75,23144.0,23125.75,23126.5,23146.0,23088.25,23146.0,2025-07-15 09:20:00,loss,19.25,-19.25,-1.0,5.0,-19.5
step1_market,2025-07-15 10:54:00,2025-07-15 10:55:00,2025-07-15,23124.0,23139.75,23123.75,23125.0,23141.75,23088.5,23088.5,2025-07-15 10:57:00,win,17.75,35.5,2.0,41.0,-6.75
step1_market,2025-07-15 10:56:00,2025-07-15 10:57:00,2025-07-15,23105.5,23126.0,23100.75,23106.0,23128.0,23060.5,23128.0,2025-07-15 11:02:00,loss,22.5,-22.5,-1.0,22.5,-27.25
step1_market,2025-07-16 08:58:00,2025-07-16 08:59:00,2025-07-16,22966.5,22992.5,22963.0,22966.75,22994.5,22910.5,22994.5,2025-07-16 08:59:00,loss,28.0,-28.0,-1.0,0.75,-28.25
step1_market,2025-07-16 09:19:00,2025-07-16 09:20:00,2025-07-16,22940.75,22976.5,22936.0,22941.0,22978.5,22865.25,22978.5,2025-07-16 09:27:00,loss,37.75,-37.75,-1.0,42.25,-38.25
step1_market,2025-07-16 09:30:00,2025-07-16 09:31:00,2025-07-16,22943.75,22985.0,22933.0,22943.25,22987.0,22857.25,22857.25,2025-07-16 09:36:00,win,43.25,86.5,2.0,98.25,-8.0
step1_market,2025-07-18 11:01:00,2025-07-18 11:02:00,2025-07-18,23174.75,23188.75,23174.25,23175.25,23190.75,23142.75,23190.75,2025-07-18 11:05:00,loss,16.0,-16.0,-1.0,2.75,-18.75
step1_market,2025-07-18 11:10:00,2025-07-18 11:11:00,2025-07-18,23176.5,23191.0,23174.25,23177.0,23193.0,23143.5,23193.0,2025-07-18 11:12:00,loss,16.5,-16.5,-1.0,2.5,-18.5
step1_market,2025-07-23 08:34:00,2025-07-23 08:35:00,2025-07-23,23151.25,23167.25,23150.5,23151.25,23169.25,23115.25,23169.25,2025-07-23 08:36:00,loss,18.0,-18.0,-1.0,0.75,-18.25
step1_market,2025-07-29 09:31:00,2025-07-29 09:32:00,2025-07-29,23455.5,23474.75,23455.25,23455.75,23476.75,23413.0,23476.75,2025-07-29 09:32:00,loss,21.25,-21.25,-1.0,2.0,-23.5
