stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,retrace_fill_bars,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_2_deep_retrace,2025-08-21 10:26:00,2025-08-21 10:30:00,2025-08-21,23196.38,23202.25,23178.75,23178.75,4,23204.25,23180.62,23204.25,2025-08-21 10:31:00,loss,7.88,-7.88,-1.0,15.62,-8.38
step1_2_deep_retrace,2025-08-21 10:58:00,2025-08-21 11:03:00,2025-08-21,23172.81,23180.25,23150.5,23151.0,5,23182.25,23153.94,23182.25,2025-08-21 11:04:00,loss,9.44,-9.44,-1.0,8.06,-10.19
step1_2_deep_retrace,2025-08-25 10:37:00,2025-08-25 10:39:00,2025-08-25,23597.62,23600.25,23589.75,23592.5,2,23602.25,23588.38,23602.25,2025-08-25 10:42:00,loss,4.62,-4.62,-1.0,4.62,-5.88
step1_2_deep_retrace,2025-08-26 09:16:00,2025-08-26 09:20:00,2025-08-26,23526.75,23531.75,23511.75,23512.75,4,23533.75,23512.75,23533.75,2025-08-26 09:24:00,loss,7.0,-7.0,-1.0,7.0,-8.25
step1_2_deep_retrace,2025-08-26 09:34:00,2025-08-26 09:35:00,2025-08-26,23506.0,23510.25,23493.25,23494.25,1,23512.25,23493.5,23493.5,2025-08-26 09:35:00,win,6.25,12.5,2.0,12.75,-1.75
step1_2_deep_retrace,2025-08-26 11:10:00,2025-08-26 11:12:00,2025-08-26,23521.94,23525.0,23512.75,23515.0,2,23527.0,23511.81,23511.81,2025-08-26 11:12:00,win,5.06,10.12,2.0,12.19,-0.31
step1_2_deep_retrace,2025-08-26 11:15:00,2025-08-26 11:19:00,2025-08-26,23527.69,23530.25,23520.0,23520.75,4,23532.25,23518.56,23532.25,2025-08-26 11:21:00,loss,4.56,-4.56,-1.0,3.19,-8.31
step1_2_deep_retrace,2025-08-27 09:32:00,2025-08-27 09:33:00,2025-08-27,23588.19,23590.75,23580.5,23582.75,1,23592.75,23579.06,23592.75,2025-08-27 09:34:00,loss,4.56,-4.56,-1.0,5.69,-7.06
step1_2_deep_retrace,2025-08-27 10:26:00,2025-08-27 10:28:00,2025-08-27,23557.69,23560.5,23549.25,23552.25,2,23562.5,23548.06,23548.06,2025-08-27 10:28:00,win,4.81,9.62,2.0,12.44,-1.81
step1_2_deep_retrace,2025-08-29 08:50:00,2025-08-29 08:55:00,2025-08-29,23446.38,23453.0,23426.5,23429.0,5,23455.0,23429.12,23429.12,2025-08-29 08:55:00,win,8.62,17.25,2.0,20.88,-0.62
step1_2_deep_retrace,2025-08-29 10:05:00,2025-08-29 10:07:00,2025-08-29,23447.31,23452.0,23433.25,23434.75,2,23454.0,23433.94,23454.0,2025-08-29 10:08:00,loss,6.69,-6.69,-1.0,6.31,-7.69
step1_2_deep_retrace,2025-08-29 11:04:00,2025-08-29 11:07:00,2025-08-29,23445.75,23450.5,23431.5,23432.75,3,23452.5,23432.25,23432.25,2025-08-29 11:10:00,win,6.75,13.5,2.0,15.5,-2.0
step1_2_deep_retrace,2025-08-29 11:15:00,2025-08-29 11:20:00,2025-08-29,23420.06,23425.0,23405.25,23405.5,5,23427.0,23406.19,23427.0,2025-08-29 11:21:00,loss,6.94,-6.94,-1.0,6.81,-13.44
step1_2_deep_retrace,2025-09-02 09:50:00,2025-09-02 09:55:00,2025-09-02,23048.5,23053.25,23034.25,23034.5,5,23055.25,23035.0,23035.0,2025-09-02 09:55:00,win,6.75,13.5,2.0,13.5,-3.25
step1_2_deep_retrace,2025-09-03 10:40:00,2025-09-03 10:41:00,2025-09-03,23415.56,23422.0,23396.25,23397.5,1,23424.0,23398.69,23398.69,2025-09-03 10:41:00,win,8.44,16.88,2.0,17.81,-0.44
step1_2_deep_retrace,2025-09-04 10:27:00,2025-09-04 10:30:00,2025-09-04,23524.12,23528.0,23512.5,23513.0,3,23530.0,23512.38,23530.0,2025-09-04 10:30:00,loss,5.88,-5.88,-1.0,8.88,-8.38
step1_2_deep_retrace,2025-09-08 09:46:00,2025-09-08 09:50:00,2025-09-08,23851.5,23856.0,23838.0,23839.75,4,23858.0,23838.5,23858.0,2025-09-08 09:51:00,loss,6.5,-6.5,-1.0,12.75,-7.5
step1_2_deep_retrace,2025-09-08 11:07:00,2025-09-08 11:10:00,2025-09-08,23798.62,23802.5,23787.0,23787.5,3,23804.5,23786.88,23804.5,2025-09-08 11:11:00,loss,5.88,-5.88,-1.0,7.38,-7.12
step1_2_deep_retrace,2025-09-11 10:52:00,2025-09-11 10:53:00,2025-09-11,24001.69,24004.25,23994.0,23995.5,1,24006.25,23992.56,24006.25,2025-09-11 10:54:00,loss,4.56,-4.56,-1.0,6.19,-7.06
step1_2_deep_retrace,2025-09-11 11:18:00,2025-09-11 11:20:00,2025-09-11,24022.44,24025.5,24013.25,24014.0,2,24027.5,24012.31,24027.5,2025-09-11 11:25:00,loss,5.06,-5.06,-1.0,8.44,-7.56
step1_2_deep_retrace,2025-09-17 08:50:00,2025-09-17 08:53:00,2025-09-17,24424.62,24429.25,24410.75,24412.25,3,24431.25,24411.38,24431.25,2025-09-17 08:54:00,loss,6.62,-6.62,-1.0,5.38,-7.38
step1_2_deep_retrace,2025-09-24 08:32:00,2025-09-24 08:36:00,2025-09-24,24820.62,24825.75,24805.25,24806.75,4,24827.75,24806.38,24806.38,2025-09-24 08:40:00,win,7.12,14.25,2.0,16.12,-3.38
step1_2_deep_retrace,2025-09-24 09:14:00,2025-09-24 09:16:00,2025-09-24,24789.44,24793.5,24777.25,24778.25,2,24795.5,24777.31,24795.5,2025-09-24 09:20:00,loss,6.06,-6.06,-1.0,10.19,-11.81
step1_2_deep_retrace,2025-09-24 09:33:00,2025-09-24 09:37:00,2025-09-24,24780.25,24783.5,24770.5,24771.0,4,24785.5,24769.75,24769.75,2025-09-24 09:38:00,win,5.25,10.5,2.0,14.0,-4.5
step1_2_deep_retrace,2025-09-24 09:41:00,2025-09-24 09:42:00,2025-09-24,24770.56,24774.0,24760.25,24761.0,1,24776.0,24759.69,24759.69,2025-09-24 09:42:00,win,5.44,10.88,2.0,12.31,-1.44
step1_2_deep_retrace,2025-09-25 10:40:00,2025-09-25 10:42:00,2025-09-25,24636.44,24644.25,24613.0,24617.0,2,24646.25,24616.81,24616.81,2025-09-25 10:53:00,win,9.81,19.62,2.0,20.94,-8.06
step1_2_deep_retrace,2025-09-25 11:21:00,2025-09-25 11:25:00,2025-09-25,24591.0,24596.5,24574.5,24579.0,4,24598.5,24576.0,24576.0,2025-09-25 11:25:00,win,7.5,15.0,2.0,24.0,-5.75
step1_2_deep_retrace,2025-09-29 10:17:00,2025-09-29 10:19:00,2025-09-29,24846.38,24853.25,24825.75,24829.25,2,24855.25,24828.62,24855.25,2025-09-29 10:23:00,loss,8.88,-8.88,-1.0,6.38,-12.12
step1_2_deep_retrace,2025-10-02 08:46:00,2025-10-02 08:48:00,2025-10-02,25047.0,25054.0,25026.0,25026.5,2,25056.0,25029.0,25056.0,2025-10-02 08:48:00,loss,9.0,-9.0,-1.0,7.75,-9.75
step1_2_deep_retrace,2025-10-02 09:37:00,2025-10-02 09:39:00,2025-10-02,25021.75,25028.75,25000.75,25005.5,2,25030.75,25003.75,25030.75,2025-10-02 09:41:00,loss,9.0,-9.0,-1.0,11.75,-18.25
step1_2_deep_retrace,2025-10-07 09:36:00,2025-10-07 09:41:00,2025-10-07,25049.69,25057.0,25027.75,25029.25,5,25059.0,25031.06,25059.0,2025-10-07 09:43:00,loss,9.31,-9.31,-1.0,17.44,-18.31
step1_2_deep_retrace,2025-10-07 10:58:00,2025-10-07 11:00:00,2025-10-07,25028.12,25033.5,25012.0,25018.0,2,25035.5,25013.38,25035.5,2025-10-07 11:01:00,loss,7.38,-7.38,-1.0,13.62,-7.38
step1_2_deep_retrace,2025-10-07 11:12:00,2025-10-07 11:14:00,2025-10-07,25049.88,25056.25,25030.75,25031.75,2,25058.25,25033.12,25058.25,2025-10-07 11:23:00,loss,8.38,-8.38,-1.0,14.12,-11.38
step1_2_deep_retrace,2025-10-09 10:40:00,2025-10-09 10:45:00,2025-10-09,25247.62,25251.75,25235.25,25238.5,5,25253.75,25235.38,25253.75,2025-10-09 10:45:00,loss,6.12,-6.12,-1.0,10.12,-7.12
step1_2_deep_retrace,2025-10-09 10:41:00,2025-10-09 10:43:00,2025-10-09,25233.88,25238.75,25219.25,25220.5,2,25240.75,25220.12,25240.75,2025-10-09 10:43:00,loss,6.88,-6.88,-1.0,7.88,-10.88
step1_2_deep_retrace,2025-10-10 08:36:00,2025-10-10 08:37:00,2025-10-10,25334.5,25340.0,25318.0,25323.75,1,25342.0,25319.5,25342.0,2025-10-10 08:37:00,loss,7.5,-7.5,-1.0,10.0,-11.75
step1_2_deep_retrace,2025-10-10 09:02:00,2025-10-10 09:03:00,2025-10-10,25061.69,25080.25,25006.0,25022.0,1,25082.25,25020.56,25082.25,2025-10-10 09:03:00,loss,20.56,-20.56,-1.0,50.94,-29.81
step1_2_deep_retrace,2025-10-15 09:50:00,2025-10-15 09:54:00,2025-10-15,24915.25,24926.5,24881.5,24886.0,4,24928.5,24888.75,24928.5,2025-10-15 09:55:00,loss,13.25,-13.25,-1.0,17.75,-25.5
