stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,retrace_fill_bars,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_2_3_continuation,2025-09-25 11:21:00,2025-09-25 11:25:00,2025-09-25,24591.0,24596.5,24574.5,24579.0,4,24598.5,24576.0,24576.0,2025-09-25 11:25:00,win,7.5,15.0,2.0,24.0,-5.75
step1_2_3_continuation,2025-10-15 10:45:00,2025-10-15 10:49:00,2025-10-15,24932.19,24938.5,24913.25,24917.0,4,24940.5,24915.56,24915.56,2025-10-15 10:50:00,win,8.31,16.62,2.0,23.19,-3.81
step1_2_3_continuation,2025-10-16 10:32:00,2025-10-16 10:35:00,2025-10-16,24808.12,24825.5,24756.0,24759.0,3,24827.5,24769.38,24769.38,2025-10-16 10:35:00,win,19.38,38.75,2.0,42.62,-18.88
step1_2_3_continuation,2025-10-29 08:49:00,2025-10-29 08:51:00,2025-10-29,26270.94,26274.75,26259.5,26260.75,2,26276.75,26259.31,26259.31,2025-10-29 08:51:00,win,5.81,11.62,2.0,19.94,-4.31
step1_2_3_continuation,2025-10-29 09:10:00,2025-10-29 09:13:00,2025-10-29,26256.5,26262.0,26240.0,26243.0,3,26264.0,26241.5,26241.5,2025-10-29 09:15:00,win,7.5,15.0,2.0,18.5,-4.75
step1_2_3_continuation,2025-10-29 09:50:00,2025-10-29 09:53:00,2025-10-29,26245.19,26249.25,26233.0,26233.25,3,26251.25,26233.06,26233.06,2025-10-29 09:56:00,win,6.06,12.12,2.0,18.69,-4.31
step1_2_3_continuation,2025-10-29 10:04:00,2025-10-29 10:08:00,2025-10-29,26225.56,26229.75,26213.0,26213.75,4,26231.75,26213.19,26213.19,2025-10-29 10:09:00,win,6.19,12.38,2.0,14.81,-5.44
step1_2_3_continuation,2025-10-31 10:00:00,2025-10-31 10:04:00,2025-10-31,26043.56,26053.0,26015.25,26022.0,4,26055.0,26020.69,26020.69,2025-10-31 10:09:00,win,11.44,22.88,2.0,36.06,-9.94
step1_2_3_continuation,2025-11-04 10:40:00,2025-11-04 10:41:00,2025-11-04,25780.38,25788.25,25756.75,25758.5,1,25790.25,25760.62,25760.62,2025-11-04 10:41:00,win,9.88,19.75,2.0,24.62,-1.12
step1_2_3_continuation,2025-11-04 10:56:00,2025-11-04 10:59:00,2025-11-04,25757.12,25767.25,25726.75,25730.0,3,25769.25,25732.88,25732.88,2025-11-04 11:01:00,win,12.12,24.25,2.0,30.12,-0.62
step1_2_3_continuation,2025-11-05 08:34:00,2025-11-05 08:37:00,2025-11-05,25532.0,25542.5,25500.5,25501.5,3,25544.5,25507.0,25507.0,2025-11-05 08:37:00,win,12.5,25.0,2.0,37.25,-11.75
step1_2_3_continuation,2025-11-06 08:41:00,2025-11-06 08:42:00,2025-11-06,25613.56,25622.75,25586.0,25597.75,1,25624.75,25591.19,25591.19,2025-11-06 08:42:00,win,11.19,22.38,2.0,22.81,-0.69
step1_2_3_continuation,2025-11-06 10:55:00,2025-11-06 11:00:00,2025-11-06,25260.38,25270.75,25229.25,25233.25,5,25272.75,25235.62,25235.62,2025-11-06 11:00:00,win,12.38,24.75,2.0,40.12,-2.88
step1_2_3_continuation,2025-11-10 10:00:00,2025-11-10 10:03:00,2025-11-10,25517.19,25525.25,25493.0,25501.75,3,25527.25,25497.06,25497.06,2025-11-10 10:03:00,win,10.06,20.12,2.0,20.94,-1.56
step1_2_3_continuation,2025-11-12 09:36:00,2025-11-12 09:37:00,2025-11-12,25563.75,25575.5,25528.5,25536.5,1,25577.5,25536.25,25536.25,2025-11-12 09:37:00,win,13.75,27.5,2.0,28.75,-4.75
step1_2_3_continuation,2025-11-20 10:22:00,2025-11-20 10:25:00,2025-11-20,24935.06,24949.25,24892.5,24908.5,3,24951.25,24902.69,24902.69,2025-11-20 10:25:00,win,16.19,32.38,2.0,48.81,-7.94
step1_2_3_continuation,2025-11-20 10:38:00,2025-11-20 10:39:00,2025-11-20,24813.5,24829.5,24765.5,24781.75,1,24831.5,24777.5,24777.5,2025-11-20 10:40:00,win,18.0,36.0,2.0,56.75,-11.75
step1_2_3_continuation,2025-12-04 08:34:00,2025-12-04 08:35:00,2025-12-04,25604.44,25619.25,25560.0,25566.5,1,25621.25,25570.81,25570.81,2025-12-04 08:35:00,win,16.81,33.62,2.0,53.69,-9.81
step1_2_3_continuation,2025-12-05 09:56:00,2025-12-05 09:57:00,2025-12-05,25743.38,25750.5,25722.0,25725.25,1,25752.5,25725.12,25725.12,2025-12-05 09:57:00,win,9.12,18.25,2.0,27.12,-7.62
step1_2_3_continuation,2025-12-08 08:48:00,2025-12-08 08:50:00,2025-12-08,25774.0,25786.0,25738.0,25742.25,2,25788.0,25746.0,25746.0,2025-12-08 08:52:00,win,14.0,28.0,2.0,28.5,-7.0
step1_2_3_continuation,2025-12-08 10:01:00,2025-12-08 10:05:00,2025-12-08,25654.75,25662.0,25633.0,25634.0,4,25664.0,25636.25,25636.25,2025-12-08 10:06:00,win,9.25,18.5,2.0,27.25,-1.5
step1_2_3_continuation,2025-12-10 11:26:00,2025-12-10 11:27:00,2025-12-10,25632.0,25635.5,25621.5,25625.5,1,25637.5,25621.0,25621.0,2025-12-10 11:30:00,win,5.5,11.0,2.0,14.5,-5.0
step1_2_3_continuation,2025-12-12 09:08:00,2025-12-12 09:10:00,2025-12-12,25455.12,25464.5,25427.0,25431.5,2,25466.5,25432.38,25432.38,2025-12-12 09:10:00,win,11.38,22.75,2.0,30.62,-2.62
step1_2_3_continuation,2025-12-12 09:28:00,2025-12-12 09:32:00,2025-12-12,25357.81,25369.0,25324.25,25331.0,4,25371.0,25331.44,25331.44,2025-12-12 09:32:00,win,13.19,26.38,2.0,31.56,-2.69
step1_2_3_continuation,2025-12-17 08:36:00,2025-12-17 08:37:00,2025-12-17,25368.5,25380.75,25331.75,25347.0,1,25382.75,25340.0,25340.0,2025-12-17 08:37:00,win,14.25,28.5,2.0,30.25,0.0
step1_2_3_continuation,2025-12-26 09:01:00,2025-12-26 09:04:00,2025-12-26,25865.88,25873.0,25844.5,25850.75,3,25875.0,25847.62,25847.62,2025-12-26 09:11:00,win,9.12,18.25,2.0,25.62,-6.38
step1_2_3_continuation,2025-12-31 08:45:00,2025-12-31 08:50:00,2025-12-31,25616.88,25626.25,25588.75,25594.5,5,25628.25,25594.12,25594.12,2025-12-31 08:50:00,win,11.38,22.75,2.0,24.12,-0.12
step1_2_3_continuation,2026-01-02 08:32:00,2026-01-02 08:37:00,2026-01-02,25702.5,25717.0,25659.0,25670.5,5,25719.0,25669.5,25669.5,2026-01-02 08:37:00,win,16.5,33.0,2.0,35.0,-1.75
step1_2_3_continuation,2026-01-06 09:55:00,2026-01-06 09:57:00,2026-01-06,25695.5,25701.75,25676.75,25680.0,2,25703.75,25679.0,25679.0,2026-01-06 10:00:00,win,8.25,16.5,2.0,24.25,-4.5
