signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume
2022-02-04T08:37:00.000000,2022-02-04T08:38:00.000000,2022-02-04,2022,2022-02,8,38,short,14465.81,14478.0,14441.44,12.19,24.38,2.0,target,1,1,27.81,-6.94,14476.0,14435.25,14440.75,1.5613,1.2893
2022-02-25T08:31:00.000000,2022-02-25T08:32:00.000000,2022-02-25,2022,2022-02,8,32,short,13939.0,13947.5,13922.0,8.5,17.0,2.0,target,1,1,19.25,-7.75,13945.5,13919.5,13925.25,1.79,3.5686
2022-03-08T10:26:00.000000,2022-03-08T10:27:00.000000,2022-03-08,2022,2022-03,10,27,short,13205.88,13218.0,13181.62,12.12,24.25,2.0,target,5,1,58.62,-6.62,13216.0,13175.5,13186.5,1.616,1.4974
2022-05-02T09:27:00.000000,2022-05-02T09:28:00.000000,2022-05-02,2022,2022-05,9,28,short,12861.62,12872.75,12839.38,11.12,22.25,2.0,target,1,1,28.88,-7.12,12870.75,12834.25,12834.25,1.5137,1.3855
2022-07-22T09:37:00.000000,2022-07-22T09:38:00.000000,2022-07-22,2022,2022-07,9,38,short,12442.94,12452.0,12424.81,9.06,18.12,2.0,target,1,1,19.69,-0.81,12450.0,12421.75,12424.0,1.9912,2.3369
2022-09-02T10:37:00.000000,2022-09-02T10:38:00.000000,2022-09-02,2022,2022-09,10,38,short,12268.88,12277.25,12252.12,8.38,-8.38,-1.0,stop_same_bar,1,1,17.62,-8.62,12275.25,12249.75,12252.25,1.562,1.5578
2022-09-08T10:07:00.000000,2022-09-08T10:08:00.000000,2022-09-08,2022,2022-09,10,8,short,12199.06,12208.75,12179.69,9.69,-9.69,-1.0,stop,1,1,13.56,-9.69,12206.75,12176.0,12185.5,2.2083,2.6655
2022-09-27T10:13:00.000000,2022-09-27T10:14:00.000000,2022-09-27,2022,2022-09,10,14,short,11285.75,11295.25,11266.75,9.5,19.0,2.0,target,2,1,19.5,-0.5,11293.25,11263.25,11268.25,2.0725,2.8039
2022-12-01T08:37:00.000000,2022-12-01T08:38:00.000000,2022-12-01,2022,2022-12,8,38,short,12084.56,12092.75,12068.19,8.19,-8.19,-1.0,stop_same_bar,2,1,26.06,-9.94,12090.75,12066.0,12071.25,1.988,1.6307
2022-12-07T09:00:00.000000,2022-12-07T09:01:00.000000,2022-12-07,2022,2022-12,9,1,short,11464.88,11474.0,11446.62,9.12,18.25,2.0,target,1,1,24.38,-2.12,11472.0,11443.5,11449.0,1.5458,2.1864
